name_hotel,url
Hotel Xoai,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d2634001-Reviews-Hotel_Xoai-Can_Tho_Mekong_Delta.html
Green Village Mekong,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d12603981-Reviews-Green_Village_Mekong-Can_Tho_Mekong_Delta.html
Iris Hotel Can Tho,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d6446809-Reviews-Iris_Hotel_Can_Tho-Can_Tho_Mekong_Delta.html
Azerai Can Tho,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d13558464-Reviews-Azerai_Can_Tho-Can_Tho_Mekong_Delta.html
Villa My Long,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d8825358-Reviews-Villa_My_Long-Can_Tho_Mekong_Delta.html
Khách Sạn Vinpearl Cần Thơ,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d11743875-Reviews-Vinpearl_Hotel_Can_Tho-Can_Tho_Mekong_Delta.html
Nguyen Shack Cần Thơ,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d3242143-Reviews-Nguyen_Shack_Can_Tho-Can_Tho_Mekong_Delta.html
Khu nghỉ dưỡng Victoria Cần Thơ,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d306941-Reviews-Victoria_Can_Tho_Resort-Can_Tho_Mekong_Delta.html
Khách sạn Kim Lân,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d1760471-Reviews-Kim_Lan_Hotel-Can_Tho_Mekong_Delta.html
Khách sạn Kim Long,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d3750930-Reviews-Kim_Long_Hotel-Can_Tho_Mekong_Delta.html
Ivory Bamboo Orchard Resort,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d9800173-Reviews-Ivory_Bamboo_Orchard_Resort-Can_Tho_Mekong_Delta.html
Khoa Phu Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d7723241-Reviews-Khoa_Phu_Hotel-Can_Tho_Mekong_Delta.html
Anh Đào Mekong 2,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d9747989-Reviews-Anh_Dao_Mekong_2-Can_Tho_Mekong_Delta.html
Chambres D'hôtes MEKONG-LOGIS,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d2162577-Reviews-Chambres_D_hotes_MEKONG_LOGIS-Can_Tho_Mekong_Delta.html
Khách sạn cao cấp TTC - Cần Thơ,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d8595509-Reviews-TTC_Hotel_Premium_Can_Tho-Can_Tho_Mekong_Delta.html
Mekong Rustic Can Tho,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d12295295-Reviews-Mekong_Rustic_Can_Tho-Can_Tho_Mekong_Delta.html
Nhà nghỉ Thanh Hà,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d7723238-Reviews-Ms_Ha_Guesthouse-Can_Tho_Mekong_Delta.html
Anh Dao Mekong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d5728909-Reviews-Anh_Dao_Mekong_Hotel-Can_Tho_Mekong_Delta.html
Spring Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d3229215-Reviews-Spring_Hotel-Can_Tho_Mekong_Delta.html
Khách sạn Nam Bo Boutique,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d3200393-Reviews-Nam_Bo_Boutique_Hotel-Can_Tho_Mekong_Delta.html
Mường Thanh Luxury Can Tho Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d8119592-Reviews-Muong_Thanh_Luxury_Can_Tho_Hotel-Can_Tho_Mekong_Delta.html
Khách sạn Kim Thơ,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d1085945-Reviews-Kimtho_Hotel-Can_Tho_Mekong_Delta.html
Khách sạn West,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d6939727-Reviews-West_Hotel-Can_Tho_Mekong_Delta.html
Khách sạn Fortuneland,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d4609181-Reviews-Fortuneland_Hotel-Can_Tho_Mekong_Delta.html
Mekong Delta Inn,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d8298430-Reviews-Mekong_Delta_Inn-Can_Tho_Mekong_Delta.html
Hometravel Mekong Can Tho Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d15132008-Reviews-Hometravel_Mekong_Can_Tho_Hostel-Can_Tho_Mekong_Delta.html
Khách sạn Hậu Giang,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d667806-Reviews-Hau_Giang_Hotel-Can_Tho_Mekong_Delta.html
Green Garden Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d8307520-Reviews-Green_Garden_Homestay-Can_Tho_Mekong_Delta.html
Hung Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d1948569-Reviews-Hung_Homestay-Can_Tho_Mekong_Delta.html
Nam Mon Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d2486947-Reviews-Nam_Mon_Hotel-Can_Tho_Mekong_Delta.html
Minh Viet Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d1237769-Reviews-Minh_Viet_Homestay-Can_Tho_Mekong_Delta.html
Hau Giang 2 Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d5894204-Reviews-Hau_Giang_2_Hotel-Can_Tho_Mekong_Delta.html
Khách Sạn Ruby CT,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d12006902-Reviews-Ruby_CT_Hotel-Can_Tho_Mekong_Delta.html
Danny's Balo Guest House,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d12560241-Reviews-Danny_s_Balo_Guest_House-Can_Tho_Mekong_Delta.html
Amazon 1 Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d14794487-Reviews-Amazon_1_Hostel-Can_Tho_Mekong_Delta.html
White Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d12549712-Reviews-White_Hotel-Can_Tho_Mekong_Delta.html
Mekong Palm House,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d13577049-Reviews-Mekong_Palm_House-Can_Tho_Mekong_Delta.html
G_I_N_K_G_O CAN THO,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d14509605-Reviews-Gingo_Hostel_Can_Tho-Can_Tho_Mekong_Delta.html
