name_hotel,url
Lan Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d13107335-Reviews-Lan_Homestay-Cat_Ba.html
The Whisper of Nature Bungalow,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d1553889-Reviews-The_Whisper_of_Nature_Bungalow-Cat_Ba.html
Woodstock Beach Camp,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d10127492-Reviews-Woodstock_Beach_Camp-Cat_Ba.html
Phuong Mai Family Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d3794980-Reviews-Phuong_Mai_Family_Hotel-Cat_Ba.html
Khách sạn Công Khanh,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d15518020-Reviews-Cong_Khanh-Cat_Ba.html
Thai Bao Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d4131892-Reviews-Thai_Bao_Hotel-Cat_Ba.html
Huyen Vu Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12801028-Reviews-Huyen_Vu_Hotel-Cat_Ba.html
Catba Tropicana Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d16850528-Reviews-Catba_Tropicana_Homestay-Cat_Ba.html
Khách sạn Cát Bà Dream,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d1549561-Reviews-Cat_Ba_Dream_Hotel-Cat_Ba.html
Khách sađn Cát Bà Central,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d9793225-Reviews-Catba_Central_Hotel_2-Cat_Ba.html
Catba Golden Holiday Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12443518-Reviews-Catba_Golden_Holiday_Hotel-Cat_Ba.html
Khách sạn Quỳnh Trang,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d6924059-Reviews-Quynh_Trang_Hotel-Cat_Ba.html
Dolphin Hotel Backpackers,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12975790-Reviews-Dolphin_Hotel_Backpackers-Cat_Ba.html
CatBa Lucky Family Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12962078-Reviews-CatBa_Lucky_Family_Hotel-Cat_Ba.html
Cannon Fort Cat Ba Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d13084640-Reviews-Cannon_Fort_Cat_Ba_Hotel-Cat_Ba.html
Cat Ba Oasis Bungalows,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d15236571-Reviews-Cat_Ba_Oasis_Bungalows-Cat_Ba.html
Monkey Island Resort,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d1842211-Reviews-Monkey_Island_Resort-Cat_Ba.html
Catba Palace Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d2149820-Reviews-Catba_Palace_Hotel-Cat_Ba.html
Khách sạn Nam Phương,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d6521024-Reviews-Nam_Phuong_Motel-Cat_Ba.html
Khách sạn Little Cát Bà,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d8860881-Reviews-Little_Cat_Ba_Hotel-Cat_Ba.html
Central Backpackers Hostel - Catba,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12639330-Reviews-Central_Backpackers_Hostel_Catba-Cat_Ba.html
Hung Long Harbour Hotel Cat Ba Island,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d2290966-Reviews-Hung_Long_Harbour_Hotel_Cat_Ba_Island-Cat_Ba.html
Luna's House,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d14948114-Reviews-Luna_s_House-Cat_Ba.html
Cat Ba Homely,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d13994285-Reviews-Cat_Ba_Homely-Cat_Ba.html
Cat Ba Sweet Potato,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12119574-Reviews-Cat_Ba_Sweet_Potato-Cat_Ba.html
Nhà nghỉ Cát Bà,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d6525417-Reviews-Cat_Ba_Guest_House-Cat_Ba.html
Khách Sạn Full Moon,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d15129469-Reviews-Full_Moon_Party_Hotel-Cat_Ba.html
Cat Ba Green House,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12701470-Reviews-Cat_Ba_Green_House-Cat_Ba.html
Khách Sạn Trang Anh Sea View,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d6210156-Reviews-Trang_Anh_Sea_View_Hotel-Cat_Ba.html
Khách sạn & Nhà hàng Đức Tuấn,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d1892713-Reviews-Duc_Tuan_Hotel_Restaurant-Cat_Ba.html
Cat Ba Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d3256342-Reviews-Cat_Ba_Hostel-Cat_Ba.html
Cat Ba Central Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12959701-Reviews-Cat_Ba_Central_Homestay-Cat_Ba.html
Cat Ba Langur Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d8666355-Reviews-Cat_Ba_Langur_Hostel-Cat_Ba.html
Cat Ba Beach Resort,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d5823617-Reviews-Cat_Ba_Beach_Resort-Cat_Ba.html
Xinh Floating House,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12811762-Reviews-Xinh_Floating_House-Cat_Ba.html
Cat Ba Langur Hostel 2,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d10155239-Reviews-Cat_Ba_Langur_Hostel_2-Cat_Ba.html
Cat Ba Sea View Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d4818264-Reviews-Cat_Ba_Sea_View_Hotel-Cat_Ba.html
Le Pont Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d11958450-Reviews-Le_Pont_Hotel-Cat_Ba.html
Vạn Bội Ecolux Island,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d15201047-Reviews-Van_Boi_Ecolux_Island-Cat_Ba.html
Hai Long Hotel Cat Ba,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d3801153-Reviews-Hai_Long_Hotel_Cat_Ba-Cat_Ba.html
Khách Sạn Quang Tùng,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d15089839-Reviews-Quang_Tung_Hotel_Restaurant-Cat_Ba.html
Cat Ba Santorini Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d13205372-Reviews-Cat_Ba_Santorini_Homestay-Cat_Ba.html
Cat Ba Mountain View Guest House,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d8553866-Reviews-Cat_Ba_Mountain_View_Guest_House-Cat_Ba.html
Khách Sạn Làng Chài,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12459866-Reviews-Lang_Chai_Hotel-Cat_Ba.html
Nhat Anh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12529073-Reviews-Nhat_Anh_Hotel-Cat_Ba.html
Hong Quang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d11986695-Reviews-Hong_Quang_Hotel-Cat_Ba.html
Immanuel Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12483828-Reviews-Immanuel_Hotel-Cat_Ba.html
Green Bamboo Forest,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d15097557-Reviews-Green_Bamboo_Forest-Cat_Ba.html
Thu Hoai Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12498382-Reviews-Thu_Hoai_Hotel-Cat_Ba.html
Trang Toan Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12703074-Reviews-Trang_Toan_Hotel-Cat_Ba.html
Phương Đông Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d12666897-Reviews-Phuong_Dong_Hotel-Cat_Ba.html
Cat Ba Garden House,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d9786944-Reviews-Cat_Ba_Garden_House-Cat_Ba.html
An Tam Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d13350098-Reviews-An_Tam_Hotel-Cat_Ba.html
Victor Charlie Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d13009973-Reviews-Victor_Charlie_Hostel-Cat_Ba.html
Hoang Gia Minh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g737051-d4003859-Reviews-Hoang_Gia_Minh_Hotel-Cat_Ba.html
