name_hotel,url
Nhà Nghỉ Tứ Linh,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d13477491-Reviews-Nha_Nghi_Tu_Linh-Dong_Hoi_Quang_Binh_Province.html
Nhà nghỉ Ocean View,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d7213774-Reviews-Ocean_View_Homestay-Dong_Hoi_Quang_Binh_Province.html
High Dream Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d14077901-Reviews-High_Dream_Hostel-Dong_Hoi_Quang_Binh_Province.html
Khách sạn Mường Thanh Luxury Nhật Lệ,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d8627203-Reviews-Muong_Thanh_Luxury_Nhat_Le_Hotel-Dong_Hoi_Quang_Binh_Province.html
Sunshine Hotel Quang Binh,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d4168259-Reviews-Sunshine_Hotel_Quang_Binh-Dong_Hoi_Quang_Binh_Province.html
Vinpearl Hotel Quang Binh,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d15179918-Reviews-Vinpearl_Hotel_Quang_Binh-Dong_Hoi_Quang_Binh_Province.html
Khách sạn Geminai,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d4895548-Reviews-Geminai_Hotel_Cafe-Dong_Hoi_Quang_Binh_Province.html
Beachside Backpackers,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d8527355-Reviews-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
Buffalo Pub & Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d6649111-Reviews-Buffalo_Pub_Hostel-Dong_Hoi_Quang_Binh_Province.html
Sealand Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d13109601-Reviews-Sealand_Homestay-Dong_Hoi_Quang_Binh_Province.html
Sun Spa Resort Quảng Bình Việt Nam,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d648918-Reviews-Sun_Spa_Resort_Quang_Binh_Vietnam-Dong_Hoi_Quang_Binh_Province.html
Gold Coast Hotel Resort & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d12476908-Reviews-Gold_Coast_Hotel_Resort_Spa-Dong_Hoi_Quang_Binh_Province.html
Bamboo's House,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d14960189-Reviews-Bamboo_s_House-Dong_Hoi_Quang_Binh_Province.html
Bao Ninh Beach Resort,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d3794918-Reviews-Bao_Ninh_Beach_Resort-Dong_Hoi_Quang_Binh_Province.html
Khách sạn Mường Thanh Holiday Quảng Bình,https://www.tripadvisor.com.vn/Hotel_Review-g659924-d4841606-Reviews-Muong_Thanh_Holiday_Quang_Binh_Hotel-Dong_Hoi_Quang_Binh_Province.html
