name_hotel,url
Phuong Binh House,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d3791190-Reviews-Phuong_Binh_House-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Khu Nghỉ Dưỡng Daisy,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d7384453-Reviews-Daisy_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Cassia Cottage - Nhà Tranh Hương Quế,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d678212-Reviews-Cassia_Cottage-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Ngọc Việt Bungalow,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d8806868-Reviews-Ngoc_Viet_Bungalow-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Khu Nghỉ Dưỡng Sao Biển,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d654706-Reviews-Sea_Star_Resort_Phu_Quoc-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Phu Quoc Kim Bungalows On The Beach,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d3323543-Reviews-Phu_Quoc_Kim_Bungalows_On_The_Beach-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Biệt Thự Sun & Wind Paradise,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d11746199-Reviews-Sun_Wind_Paradise_Bungalows-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Cosy Bungalow,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d9750350-Reviews-Cosy_Bungalow-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ dưỡng Thanh Kiều,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d677239-Reviews-Thanh_Kieu_Beach_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Anja Beach Resort & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12393976-Reviews-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
La Mer Resort Phu Quoc,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d4131411-Reviews-La_Mer_Resort_Phu_Quoc-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Bauhinia Resort Phu Quoc,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d8523275-Reviews-Bauhinia_Resort_Phu_Quoc-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ dưỡng La Veranda Phú Quốc - Bộ sưu tập MGallery,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d634189-Reviews-La_Veranda_Resort_Phu_Quoc_MGallery_Collection-Duong_Dong_Phu_Quoc_Island_Kien_Giang_P.html
Free Beach Resort,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d8859116-Reviews-Free_Beach_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
The Hill Resort,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12947404-Reviews-The_Hill_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
