name_hotel,url
AVANI Hai Phong Harbour View,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d451038-Reviews-AVANI_Hai_Phong_Harbour_View_Hotel-Hai_Phong.html
Somerset Central TD Hai Phong City,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d7179446-Reviews-Somerset_Central_TD_Hai_Phong_City-Hai_Phong.html
Lac Long Hotel Hai Phong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d4016228-Reviews-Lac_Long_Hotel_Hai_Phong-Hai_Phong.html
Manoir Des Arts Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13819420-Reviews-Manoir_Des_Arts_Hotel-Hai_Phong.html
Pearl River Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d5532504-Reviews-Pearl_River_Hotel-Hai_Phong.html
Monte Carlo Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3191436-Reviews-Monte_Carlo_Hotel-Hai_Phong.html
Sea Stars Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d2035401-Reviews-Sea_Stars_Hotel-Hai_Phong.html
Camela Hotel & Resort,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d678293-Reviews-Camela_Hotel_Resort-Hai_Phong.html
Quynh Trang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12822977-Reviews-Quynh_Trang_Hotel-Hai_Phong.html
Punt Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12559978-Reviews-Punt_Hotel-Hai_Phong.html
Khách sạn Draco Thăng Long,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d7370194-Reviews-Draco_Thang_Long_Hotel-Hai_Phong.html
Mercure Hai Phong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13530445-Reviews-Mercure_Hai_Phong-Hai_Phong.html
Khách sạn Nam Cường,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d633669-Reviews-Nam_Cuong_Hotel-Hai_Phong.html
Cozi Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d8707269-Reviews-Cozi_Hotel-Hai_Phong.html
Princess Hotel Haiphong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d2708383-Reviews-Princess_Hotel_Haiphong-Hai_Phong.html
F & F Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12265192-Reviews-F_F_Hotel-Hai_Phong.html
Sunflower International Village,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3470932-Reviews-Sunflower_International_Village-Hai_Phong.html
An Hung Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d6578099-Reviews-An_Hung_Hotel-Hai_Phong.html
Song Gia Golf Resort,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d2226116-Reviews-Song_Gia_Golf_Resort-Hai_Phong.html
Motel Mai Về,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d16725508-Reviews-Motel_Mai_Ve-Hai_Phong.html
Imperial Boat Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13506391-Reviews-Imperial_Boat_Hotel-Hai_Phong.html
Dai Thanh Phuc,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d14960239-Reviews-Dai_Thanh_Phuc-Hai_Phong.html
Hoa Phuong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12844168-Reviews-Hoa_Phuong_Hotel-Hai_Phong.html
Motel Tay Ho,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13085922-Reviews-Motel_Tay_Ho-Hai_Phong.html
Hai Au Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d7096944-Reviews-Hai_Au_Hotel-Hai_Phong.html
Phu Vinh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3320856-Reviews-Phu_Vinh_Hotel-Hai_Phong.html
An Tien Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12822675-Reviews-An_Tien_Hotel-Hai_Phong.html
City View Hotel Haiphong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3320515-Reviews-City_View_Hotel_Haiphong-Hai_Phong.html
Vinpearl Hotel Imperia Hải Phòng,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15671162-Reviews-Vinpearl_Hotel_Imperia_Hai_Phong-Hai_Phong.html
Khách sạn Coco,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15699340-Reviews-Coco_Hotel-Hai_Phong.html
Viet 4 Seasons Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15680585-Reviews-Viet_4_Seasons_Hotel-Hai_Phong.html
Khách sạn Coco,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15699340-Reviews-Coco_Hotel-Hai_Phong.html
Thien Nga Vang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3802401-Reviews-Thien_Nga_Vang_Hotel-Hai_Phong.html
Cindy Hotel and Suites,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d8106712-Reviews-Cindy_Hotel_and_Suites-Hai_Phong.html
Dong Duong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d6214060-Reviews-Dong_Duong_Hotel-Hai_Phong.html
Tan An Palace,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12316422-Reviews-Tan_An_Palace-Hai_Phong.html
Khách sạn Tecco Đồ Sơn,https://www.tripadvisor.com.vn/Hotel_Review-g13473001-d12851565-Reviews-Hotel_Tecco_Do_Son-Do_Son_Hai_Phong.html
Tien Thanh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d14801041-Reviews-Tien_Thanh_Hotel-Hai_Phong.html
Classic Hoang Long,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d2514745-Reviews-Classic_Hoang_Long-Hai_Phong.html
Tay Dai Duong Guesthouse,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12095664-Reviews-Tay_Dai_Duong_Guesthouse-Hai_Phong.html
HaiPhong Backpacker hostel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12981060-Reviews-HaiPhong_Backpacker_hostel-Hai_Phong.html
Khách sạn Hanvet Đồ Sơn,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d11657721-Reviews-Hanvet_Hotel_Do_son-Hai_Phong.html
GM International Hotel and Apartment,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15153555-Reviews-GM_International_Hotel_and_Apartment-Hai_Phong.html
Sen Hotel Haiphong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d6826830-Reviews-Sen_Hotel_Haiphong-Hai_Phong.html
Khách sạn Hữu Nghị Hải Phòng,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d633724-Reviews-Huu_Nghi_Hotel_Hai_Phong-Hai_Phong.html
Khách sạn Level,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d5810655-Reviews-Level_Hotel-Hai_Phong.html
Hoi Lake Farmstay,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13503549-Reviews-Hoi_Lake_Farmstay-Hai_Phong.html
Doson Resort Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d2357247-Reviews-Doson_Resort_Hotel-Hai_Phong.html
Duyen Hai Hotel Haiphong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d2408816-Reviews-Duyen_Hai_Hotel_Haiphong-Hai_Phong.html
Noblesse Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15054392-Reviews-Noblesse_Hotel-Hai_Phong.html
Khách Sạn Nam Phong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12505851-Reviews-Nam_Phong_Hotel-Hai_Phong.html
3MG Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d14960777-Reviews-3MG_Hotel-Hai_Phong.html
Hoang Hai Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3200175-Reviews-Hoang_Hai_Hotel-Hai_Phong.html
Van Thong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d4107178-Reviews-Van_Thong_Hotel-Hai_Phong.html
Holiday Hotel Haiphong,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3320820-Reviews-Holiday_Hotel_Haiphong-Hai_Phong.html
Tien Lang Spa Resort,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d1534675-Reviews-Tien_Lang_Spa_Resort-Hai_Phong.html
Viet Trung Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3793997-Reviews-Viet_Trung_Hotel-Hai_Phong.html
Khu Nghỉ Dưỡng Hòn Dầu,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d3198988-Reviews-Hon_Dau_Resort-Hai_Phong.html
Pham Ha Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13380960-Reviews-Pham_Ha_Hotel-Hai_Phong.html
Roxy Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12654423-Reviews-Roxy_Hotel-Hai_Phong.html
Bảo Minh Motel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d15668687-Reviews-Bao_Minh_Motel-Hai_Phong.html
Canh Hung Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d12729009-Reviews-Canh_Hung_Hotel-Hai_Phong.html
Cat Ba Ancienthouse Home Stay,https://www.tripadvisor.com.vn/Hotel_Review-g303944-d13959894-Reviews-Cat_Ba_Ancienthouse_Home_Stay-Hai_Phong.html
