name_hotel,url
The Light Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d6560482-Reviews-The_Light_Hotel-Halong_Bay_Quang_Ninh_Province.html
Halong Paradise Suites Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d4004184-Reviews-Halong_Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Khu nghỉ dưỡng Ocean Beach,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d647426-Reviews-Ocean_Beach_Resort-Halong_Bay_Quang_Ninh_Province.html
London Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d12504083-Reviews-London_Hotel-Halong_Bay_Quang_Ninh_Province.html
Aha Halong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d14171604-Reviews-Aha_Halong_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
SeaStar Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d13336309-Reviews-SeaStar_Hotel-Halong_Bay_Quang_Ninh_Province.html
Khách sạn Crown,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d3186261-Reviews-Crown_Hotel-Halong_Bay_Quang_Ninh_Province.html
Khách sạn Kim Dung Hạ Long,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d7369386-Reviews-Kim_Dung_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html
Sun Hotel in Ha Long Bay,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d13976047-Reviews-Sun_Hotel_in_Ha_Long_Bay-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Quynh Yen Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d12851095-Reviews-Quynh_Yen_Hotel-Halong_Bay_Quang_Ninh_Province.html
Ha Long New Day Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d14982236-Reviews-Ha_Long_New_Day_Hotel-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Khách Sạn Baby Cat,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d12722698-Reviews-Babycat_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
Khách Sạn Golden Gem Tuần Châu,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d12383958-Reviews-Golden_Gem_Tuan_Chau_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Hotel Bai Tu Long,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d1718393-Reviews-Hotel_Bai_Tu_Long-Halong_Bay_Quang_Ninh_Province.html
Halong Central Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d11437136-Reviews-Halong_Central_Hotel-Halong_Bay_Quang_Ninh_Province.html
Iris Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d12912241-Reviews-Iris_Hotel-Halong_Bay_Quang_Ninh_Province.html
Guesthouse VIP Hoa Lan,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d12510524-Reviews-Guesthouse_VIP_Hoa_Lan-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Galaxy Halong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d14003105-Reviews-Galaxy_Halong_Hotel-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Dang Quang Guesthouse,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d12693869-Reviews-Dang_Quang_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
Orestay Homestay HaLong,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d15850211-Reviews-Orestay_Homestay_HaLong-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Linh Dan Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d3198506-Reviews-Linh_Dan_Hotel-Halong_Bay_Quang_Ninh_Province.html
Halong Green Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d14820988-Reviews-Halong_Green_Homestay-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Ruby Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d12866619-Reviews-Ruby_Hotel-Halong_Bay_Quang_Ninh_Province.html
Viet Nhat Halong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d7238090-Reviews-Viet_Nhat_Halong_Hotel-Halong_Bay_Quang_Ninh_Province.html
Vinpearl Resort & Spa Ha Long,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d8595372-Reviews-Vinpearl_Resort_Spa_Ha_Long-Halong_Bay_Quang_Ninh_Province.html
Khách sạn Hạ Long Plaza,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d505954-Reviews-Halong_Plaza_Hotel-Halong_Bay_Quang_Ninh_Province.html
Bhaya The Classic Cruise,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d13813729-Reviews-Bhaya_The_Classic_Cruise-Halong_Bay_Quang_Ninh_Province.html
Wyndham Legend Halong,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d10045871-Reviews-Wyndham_Legend_Halong_Hotel-Halong_Bay_Quang_Ninh_Province.html
Royal Lotus Hotel Halong,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d1975164-Reviews-Royal_Lotus_Hotel_Halong-Halong_Bay_Quang_Ninh_Province.html
Nhà nghỉ Hạ Long Happy,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d8287374-Reviews-Halong_Happy_Hostel-Halong_Bay_Quang_Ninh_Province.html
Minh Duc Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d11877723-Reviews-Minh_Duc_Hotel-Halong_Bay_Quang_Ninh_Province.html
Homestay T&N,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d14037882-Reviews-Homestay_T_N-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Bambou Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d13140424-Reviews-Bambou_Hotel-Halong_Bay_Quang_Ninh_Province.html
Holiday Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d8459816-Reviews-Holiday_Hotel-Halong_Bay_Quang_Ninh_Province.html
Caro's Place,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d15849835-Reviews-Caro_s_Place-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Ha Long Four Seasons,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d8696543-Reviews-Ha_Long_Four_Seasons-Halong_Bay_Quang_Ninh_Province.html
Van Nam Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d3512090-Reviews-Van_Nam_Hostel-Halong_Bay_Quang_Ninh_Province.html
Binh Minh Ha Long Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d3199070-Reviews-Binh_Minh_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html
Hai Trang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293923-d7093108-Reviews-Hai_Trang_Hotel-Halong_Bay_Quang_Ninh_Province.html
Ha Nam Guest House,https://www.tripadvisor.com.vn/Hotel_Review-g13163470-d13324238-Reviews-Ha_Nam_Guest_House-Bai_Chay_Halong_Bay_Quang_Ninh_Province.html
Domo Tuan Chau Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d14016768-Reviews-Domo_Tuan_Chau_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Khách sạn Southern,https://www.tripadvisor.com.vn/Hotel_Review-g3737857-d12905595-Reviews-Southern_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
