name_hotel,url
Luxury Backpackers Hanoi,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d2102670-Reviews-Luxury_Backpackers_Hanoi-Hanoi.html
Essence Palace Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d6988480-Reviews-Essence_Palace_Hotel_Spa-Hanoi.html
La Beaute De Hanoi Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d6691681-Reviews-La_Beaute_De_Hanoi_Hotel-Hanoi.html
Khách sạn Splendid Star Grand,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d1546077-Reviews-Splendid_Star_Grand_Hotel-Hanoi.html
Delicacy Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d15131972-Reviews-Delicacy_Hotel_Spa-Hanoi.html
Hanoi Holiday Diamond Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d2219017-Reviews-Hanoi_Holiday_Diamond_Hotel-Hanoi.html
Hanoi Trendy Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d10815710-Reviews-Hanoi_Trendy_Hotel_Spa-Hanoi.html
Hanoi La Siesta Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d7180030-Reviews-Hanoi_La_Siesta_Hotel_Spa-Hanoi.html
Hanoi La Siesta Central Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d12713861-Reviews-Hanoi_La_Siesta_Central_Hotel-Hanoi.html
Golden Sun Suites Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d5039614-Reviews-Golden_Sun_Suites_Hotel-Hanoi.html
Khách sạn Hà Nội La Siesta Diamond,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d1224737-Reviews-Hanoi_La_Siesta_Diamond_Hotel_Spa-Hanoi.html
Hanoi La Siesta Hotel Trendy,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d9808263-Reviews-Hanoi_La_Siesta_Hotel_Trendy-Hanoi.html
Sofitel Legend Metropole Hà Nội,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d299548-Reviews-Sofitel_Legend_Metropole_Hanoi-Hanoi.html
