name_hotel,url
LongSon MuiNe Backpacker Paradise,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d4996380-Reviews-LongSon_MuiNe_Backpacker_Paradise-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Vietnam Backpacker Hostels - Mui Ne Backpacker Village,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d644972-Reviews-Vietnam_Backpacker_Hostels_Mui_Ne_Backpacker_Village-Mui_Ne_Phan_Thiet_Binh_Thuan_Prov.html
Herbal Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d6774651-Reviews-Herbal_Hotel_Spa-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Oriental Resort Muine,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d12940455-Reviews-Oriental_Resort_Muine-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Sea Winds Resort,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d4475218-Reviews-Sea_Winds_Resort-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Fleur De Vie Bungalows,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d6393314-Reviews-Fleur_De_Vie_Bungalows-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Blue Bay Mui Ne Resort & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d8144901-Reviews-Blue_Bay_Mui_Ne_Resort_Spa-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Serenity by the Sea,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d13394673-Reviews-Serenity_by_the_Sea-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Nhà nghỉ Papaya,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d9456099-Reviews-Papaya_Guest_House-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
Viet's Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1009804-d6352896-Reviews-Viet_s_Hotel-Mui_Ne_Phan_Thiet_Binh_Thuan_Province.html
