name_hotel,url
Camia Resort & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g11236002-d13344570-Reviews-Camia_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
Anja Beach Resort & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d12393976-Reviews-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ mát Eo Xoài,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d596897-Reviews-Mango_Bay_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ dưỡng & Spa Famiana,https://www.tripadvisor.com.vn/Hotel_Review-g12596009-d3812860-Reviews-Famiana_Resort_Spa-Cua_Lap_Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
Khu Nghỉ Dưỡng Nam Nghi Phú Quốc,https://www.tripadvisor.com.vn/Hotel_Review-g6483321-d12275959-Reviews-Nam_Nghi_Phu_Quoc_Island-Cua_Can_Phu_Quoc_Island_Kien_Giang_Province.html
Sunshine Bungalow,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d6000751-Reviews-Sunshine_Bungalow-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Green Bay Phu Quoc Resort & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g11236002-d12422287-Reviews-Green_Bay_Phu_Quoc_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
Cottage Village,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d7399061-Reviews-Cottage_Village-Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ dưỡng Mai House,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d607669-Reviews-Mai_House_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
Khu Nghỉ Dưỡng Chen Sea & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d1308229-Reviews-Chen_Sea_Resort_Spa_Phu_Quoc-Phu_Quoc_Island_Kien_Giang_Province.html
Khu Nghỉ Dưỡng Daisy,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d7384453-Reviews-Daisy_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ dưỡng Ancarine Beach,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d3791417-Reviews-Ancarine_Beach_Resort-Phu_Quoc_Island_Kien_Giang_Province.html
Khách sạn Praha,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d8837684-Reviews-Praha_Hotel-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
Cassia Cottage - Nhà Tranh Hương Quế,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d678212-Reviews-Cassia_Cottage-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Nhà tranh & Nhà hàng Bamboo,https://www.tripadvisor.com.vn/Hotel_Review-g469418-d1638757-Reviews-Bamboo_Cottages_Restaurant-Phu_Quoc_Island_Kien_Giang_Province.html
Khu nghỉ dưỡng La Veranda Phú Quốc - Bộ sưu tập MGallery,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d634189-Reviews-La_Veranda_Resort_Phu_Quoc_MGallery_Collection-Duong_Dong_Phu_Quoc_Island_Kien_Giang_P.html
Khu Nghỉ Dưỡng Mercury Phú Quốc,https://www.tripadvisor.com.vn/Hotel_Review-g1184676-d7202137-Reviews-Mercury_Phu_Quoc_Resort_Villas-Duong_To_Phu_Quoc_Island_Kien_Giang_Province.html
Ngọc Việt Bungalow,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d8806868-Reviews-Ngoc_Viet_Bungalow-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Free Beach Resort,https://www.tripadvisor.com.vn/Hotel_Review-g1184679-d8859116-Reviews-Free_Beach_Resort-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
