name_hotel,url
Eco Palms House,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d8299368-Reviews-Eco_Palms_House-Sapa_Lao_Cai_Province.html
Paos Sapa Leisure Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d12786956-Reviews-Paos_Sapa_Leisure_Hotel-Sapa_Lao_Cai_Province.html
Luckydaisy's  Buffalo House,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d8719338-Reviews-Luckydaisy_s_Buffalo_House-Sapa_Lao_Cai_Province.html
Khách sạn Amazing Hotel Sapa,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d7786873-Reviews-Amazing_Hotel_Sapa-Sapa_Lao_Cai_Province.html
Khu nghỉ dưỡng và Spa Victoria Sa Pa,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d313714-Reviews-Victoria_Sapa_Resort_and_Spa-Sapa_Lao_Cai_Province.html
Sapa Local House,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d8004179-Reviews-Sapa_Local_House-Sapa_Lao_Cai_Province.html
BB Hotel Sapa,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d6621301-Reviews-BB_Hotel_Sapa-Sapa_Lao_Cai_Province.html
Khu Nghỉ Dưỡng Cao Nguyên,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d12324578-Reviews-Sapa_Highland_Resort_Spa-Sapa_Lao_Cai_Province.html
Eco Hills Homestay,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d14801031-Reviews-Eco_Hills_Homestay-Sapa_Lao_Cai_Province.html
Sapa Memory Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d11684879-Reviews-Sapa_Memory_Hotel-Sapa_Lao_Cai_Province.html
Mountain River Homestay Sapa,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d13367960-Reviews-Mountain_River_Homestay_Sapa-Sapa_Lao_Cai_Province.html
Sapa Eco-Home - Mountain Retreat,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d14207680-Reviews-Sapa_Eco_Home_Mountain_Retreat-Sapa_Lao_Cai_Province.html
Khách Sạn Sapa New Orient,https://www.tripadvisor.com.vn/Hotel_Review-g311304-d12049804-Reviews-Sapa_New_Orient_Hotel-Sapa_Lao_Cai_Province.html
