name_hotel,url
Vinh Plaza Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d10154685-Reviews-Vinh_Plaza_Hotel-Vinh_Nghe_An_Province.html
Avatar Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d3241480-Reviews-Avatar_Hotel-Vinh_Nghe_An_Province.html
Mường Thanh Vinh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d1591475-Reviews-Muong_Thanh_Vinh_Hotel-Vinh_Nghe_An_Province.html
Khách sạn Victory,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d8595508-Reviews-Victory_Hotel-Vinh_Nghe_An_Province.html
Khách sạn Mường Thanh Thanh Niên Vinh,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d3195232-Reviews-Muong_Thanh_Thanh_Nien_Vinh_Hotel-Vinh_Nghe_An_Province.html
Hotel Tokyo 1,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d14985166-Reviews-Hotel_Tokyo_1-Vinh_Nghe_An_Province.html
Khách Sạn Anphaan,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d3802411-Reviews-Anphaan_Hotel-Vinh_Nghe_An_Province.html
Khach san Thuong mai,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d14781284-Reviews-Khach_san_Thuong_mai-Vinh_Nghe_An_Province.html
Amazon Vinh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d15674682-Reviews-Amazon_Vinh_Hotel-Vinh_Nghe_An_Province.html
Binh Minh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d14048855-Reviews-Binh_Minh_Hotel-Vinh_Nghe_An_Province.html
Khu Nghỉ Dưỡng Vinpearl Discovery Cửa Hội,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d12215518-Reviews-Vinpearl_Discovery_Cua_Hoi-Vinh_Nghe_An_Province.html
Khách Sạn Mường Thanh Grand Cửa Đông,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d12138405-Reviews-Muong_Thanh_Grand_Cua_Dong_Hotel-Vinh_Nghe_An_Province.html
Khách sạn Mường Thanh Luxury Sông Lam,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d4504894-Reviews-Muong_Thanh_Luxury_Song_Lam_Hotel-Vinh_Nghe_An_Province.html
Thanh Dat Guesthouse,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d12553945-Reviews-Thanh_Dat_Guesthouse-Vinh_Nghe_An_Province.html
Khách sạn Mường Thanh Phương Đông,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d2460075-Reviews-Muong_Thanh_Phuong_Dong_Hotel-Vinh_Nghe_An_Province.html
Tecco Sky Hotel & Spa,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d12282645-Reviews-Tecco_Sky_Hotel_Spa-Vinh_Nghe_An_Province.html
Khách sạn Hoàng Ngân 2,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d15816305-Reviews-Hoang_Ngan_2_Hotel-Vinh_Nghe_An_Province.html
Khách sạn Lam Giang,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d10116731-Reviews-Lam_Giang_Hotel-Vinh_Nghe_An_Province.html
Saigon Kim Lien Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d1552294-Reviews-Saigon_Kim_Lien_Hotel-Vinh_Nghe_An_Province.html
Hong Kong 2 Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d10822417-Reviews-Hong_Kong_2_Hotel-Vinh_Nghe_An_Province.html
Anh Quan Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d3947012-Reviews-Anh_Quan_Hotel-Vinh_Nghe_An_Province.html
Duy Tan Vinh Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d6930240-Reviews-Duy_Tan_Vinh_Hotel-Vinh_Nghe_An_Province.html
Hoang Anh 2 Guest House,https://www.tripadvisor.com.vn/Hotel_Review-g1554764-d4322354-Reviews-Hoang_Anh_2_Guest_House-Vinh_Nghe_An_Province.html
