username_author,link_username_author,link_content_comment
lavender,https://www.tripadvisor.com.vn/Profile/laverder164,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d4895548-r666839860-Geminai_Hotel_Cafe-Dong_Hoi_Quang_Binh_Province.html
Connector820355,https://www.tripadvisor.com.vn/Profile/Connector820355,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d4895548-r622013514-Geminai_Hotel_Cafe-Dong_Hoi_Quang_Binh_Province.html
Fearless815619,https://www.tripadvisor.com.vn/Profile/Fearless815619,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d4895548-r616826676-Geminai_Hotel_Cafe-Dong_Hoi_Quang_Binh_Province.html
Cao M,https://www.tripadvisor.com.vn/Profile/CaoM17,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d4895548-r530075079-Geminai_Hotel_Cafe-Dong_Hoi_Quang_Binh_Province.html
philippe l,https://www.tripadvisor.com.vn/Profile/philippel752,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d4895548-r489741580-Geminai_Hotel_Cafe-Dong_Hoi_Quang_Binh_Province.html
Sofia,https://www.tripadvisor.com.vn/Profile/Sofia_9200,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d14077901-r660127662-High_Dream_Hostel-Dong_Hoi_Quang_Binh_Province.html
Leonie G,https://www.tripadvisor.com.vn/Profile/AnotherGreyNomad,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d8527355-r666869533-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
Quỳnh T,https://www.tripadvisor.com.vn/Profile/Relax402164,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d7213774-r612271724-Ocean_View_Homestay-Dong_Hoi_Quang_Binh_Province.html
dishwasher70,https://www.tripadvisor.com.vn/Profile/dishwasher70,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d14077901-r638748170-High_Dream_Hostel-Dong_Hoi_Quang_Binh_Province.html
Sarah C,https://www.tripadvisor.com.vn/Profile/sarahcI4372RF,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d14077901-r592902393-High_Dream_Hostel-Dong_Hoi_Quang_Binh_Province.html
John W,https://www.tripadvisor.com.vn/Profile/Q6863IUjohnw,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d14077901-r592878576-High_Dream_Hostel-Dong_Hoi_Quang_Binh_Province.html
Jan B,https://www.tripadvisor.com.vn/Profile/159janb,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d14077901-r592625916-High_Dream_Hostel-Dong_Hoi_Quang_Binh_Province.html
AKBarnwal,https://www.tripadvisor.com.vn/Profile/AKBarnwal,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d8527355-r594739589-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
annahartmann27,https://www.tripadvisor.com.vn/Profile/annahartmann27,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d8527355-r592107236-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
Sunflowerpower88,https://www.tripadvisor.com.vn/Profile/Sunflowerpower88,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d8527355-r590126218-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
Mike R,https://www.tripadvisor.com.vn/Profile/mikerosany,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d8527355-r589684586-Beachside_Backpackers-Dong_Hoi_Quang_Binh_Province.html
Hữu C,https://www.tripadvisor.com.vn/Profile/Traveler786037,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d7213774-r585455707-Ocean_View_Homestay-Dong_Hoi_Quang_Binh_Province.html
163_cm_l,https://www.tripadvisor.com.vn/Profile/163_cm_l,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d7213774-r585452291-Ocean_View_Homestay-Dong_Hoi_Quang_Binh_Province.html
KangMai9x,https://www.tripadvisor.com.vn/Profile/KangMai9x,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d7213774-r566612154-Ocean_View_Homestay-Dong_Hoi_Quang_Binh_Province.html
Hiền T,https://www.tripadvisor.com.vn/Profile/Inspiration756084,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d7213774-r561139364-Ocean_View_Homestay-Dong_Hoi_Quang_Binh_Province.html
Tom,https://www.tripadvisor.com.vn/Profile/Elche12,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d15179918-r664771211-Vinpearl_Hotel_Quang_Binh-Dong_Hoi_Quang_Binh_Province.html
hoaithanh5042002,https://www.tripadvisor.com.vn/Profile/hoaithanh5042002,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d8627203-r628350858-Muong_Thanh_Luxury_Nhat_Le_Hotel-Dong_Hoi_Quang_Binh_Province.html
hien271091,https://www.tripadvisor.com.vn/Profile/hien271091,https://www.tripadvisor.com.vn/ShowUserReviews-g659924-d4168259-r600738895-Sunshine_Hotel_Quang_Binh-Dong_Hoi_Quang_Binh_Province.html
