username_author,link_username_author,link_content_comment
CARLOS V,https://www.tripadvisor.com.vn/Profile/728carlosv,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d647426-r201027805-Ocean_Beach_Resort-Halong_Bay_Quang_Ninh_Province.html
Rajinder H,https://www.tripadvisor.com.vn/Profile/67rajinderh,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d647426-r498073596-Ocean_Beach_Resort-Halong_Bay_Quang_Ninh_Province.html
Ngô T,https://www.tripadvisor.com.vn/Profile/Experience699323,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d7369386-r588809764-Kim_Dung_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html
namnguyen0702,https://www.tripadvisor.com.vn/Profile/namnguyen0702,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d7369386-r293781663-Kim_Dung_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html
Connector720937,https://www.tripadvisor.com.vn/Profile/Connector720937,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d7369386-r505673803-Kim_Dung_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html
camiatrefs,https://www.tripadvisor.com.vn/Profile/camiatrefs,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d7369386-r469614108-Kim_Dung_Ha_Long_Hotel-Halong_Bay_Quang_Ninh_Province.html
Lavender294,https://www.tripadvisor.com.vn/Profile/Lavender294,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d6560482-r595443714-The_Light_Hotel-Halong_Bay_Quang_Ninh_Province.html
Peterson1208,https://www.tripadvisor.com.vn/Profile/Peterson1208,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d6560482-r583769680-The_Light_Hotel-Halong_Bay_Quang_Ninh_Province.html
Annie Hoang,https://www.tripadvisor.com.vn/Profile/anhducmatto93,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d6560482-r573640380-The_Light_Hotel-Halong_Bay_Quang_Ninh_Province.html
Thu Hương P,https://www.tripadvisor.com.vn/Profile/Go722879,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d6560482-r505151095-The_Light_Hotel-Halong_Bay_Quang_Ninh_Province.html
Mike-jino,https://www.tripadvisor.com.vn/Profile/Mike-jino,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d6560482-r486270756-The_Light_Hotel-Halong_Bay_Quang_Ninh_Province.html
Long Kyto,https://www.tripadvisor.com.vn/Profile/longlon999,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d4004184-r644672340-Halong_Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Andre N,https://www.tripadvisor.com.vn/Profile/AndreN1313,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d4004184-r636970939-Halong_Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
An Mai,https://www.tripadvisor.com.vn/Profile/nguyenmai,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d4004184-r629416145-Halong_Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Happiness772382,https://www.tripadvisor.com.vn/Profile/Happiness772382,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d4004184-r621635452-Halong_Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
minhhaiqn94,https://www.tripadvisor.com.vn/Profile/minhhaiqn94,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d4004184-r614614332-Halong_Paradise_Suites_Hotel-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
erik_palmer99,https://www.tripadvisor.com.vn/Profile/erik_palmer99,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d3186261-r201341822-Crown_Hotel-Halong_Bay_Quang_Ninh_Province.html
charlotte_noe,https://www.tripadvisor.com.vn/Profile/charlotte_noe,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d3186261-r565977969-Crown_Hotel-Halong_Bay_Quang_Ninh_Province.html
David Capper,https://www.tripadvisor.com.vn/Profile/Luv2Bonholidays,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d3186261-r527689051-Crown_Hotel-Halong_Bay_Quang_Ninh_Province.html
Vids,https://www.tripadvisor.com.vn/Profile/stepv920215,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d12722698-r645923743-Babycat_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
fecjo,https://www.tripadvisor.com.vn/Profile/fecjo,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d12722698-r581028116-Babycat_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
Charlotte S,https://www.tripadvisor.com.vn/Profile/X188NMcharlottes,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d12722698-r538231779-Babycat_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
codyand,https://www.tripadvisor.com.vn/Profile/codyand,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d12722698-r527713275-Babycat_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
Boo B,https://www.tripadvisor.com.vn/Profile/boob576,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d12722698-r523620287-Babycat_Guesthouse-Halong_Bay_Quang_Ninh_Province.html
Bell_NhiHo,https://www.tripadvisor.com.vn/Profile/Bell_NhiHo,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d12510524-r630220030-Guesthouse_VIP_Hoa_Lan-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Imen R,https://www.tripadvisor.com.vn/Profile/681imenr,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d12510524-r574771211-Guesthouse_VIP_Hoa_Lan-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Violet139,https://www.tripadvisor.com.vn/Profile/Violet139,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d12510524-r572394252-Guesthouse_VIP_Hoa_Lan-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
dianamR62CF,https://www.tripadvisor.com.vn/Profile/dianamR62CF,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d12510524-r560957182-Guesthouse_VIP_Hoa_Lan-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
AxelP007,https://www.tripadvisor.com.vn/Profile/AxelP007,https://www.tripadvisor.com.vn/ShowUserReviews-g3737857-d12510524-r556733956-Guesthouse_VIP_Hoa_Lan-Tuan_Chau_Island_Halong_Bay_Quang_Ninh_Province.html
Đức Lâm,https://www.tripadvisor.com.vn/Profile/Duclam123,https://www.tripadvisor.com.vn/ShowUserReviews-g293923-d12912241-r648061155-Iris_Hotel-Halong_Bay_Quang_Ninh_Province.html
