username_author,link_username_author,link_content_comment
mymy123,https://www.tripadvisor.com.vn/Profile/dunhgung123,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2102670-r647096083-Luxury_Backpackers_Hanoi-Hanoi.html
Thao123,https://www.tripadvisor.com.vn/Profile/thaonguyen123123,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2102670-r647094549-Luxury_Backpackers_Hanoi-Hanoi.html
Dungnguyen,https://www.tripadvisor.com.vn/Profile/Dungnguyen269,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2102670-r647093638-Luxury_Backpackers_Hanoi-Hanoi.html
xuanlan123,https://www.tripadvisor.com.vn/Profile/xuanlan123,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2102670-r647086257-Luxury_Backpackers_Hanoi-Hanoi.html
Hanoitattoo 10 Ngõ Huyện,https://www.tripadvisor.com.vn/Profile/tattoo10ngohuyen,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2102670-r627422603-Luxury_Backpackers_Hanoi-Hanoi.html
Yan B,https://www.tripadvisor.com.vn/Profile/954yanb,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d15131972-r636775561-Delicacy_Hotel_Spa-Hanoi.html
bedeptrai,https://www.tripadvisor.com.vn/Profile/bdeptrai,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d15131972-r634634531-Delicacy_Hotel_Spa-Hanoi.html
Josh B,https://www.tripadvisor.com.vn/Profile/Daydream754677,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d15131972-r633969395-Delicacy_Hotel_Spa-Hanoi.html
Cannelle D,https://www.tripadvisor.com.vn/Profile/317cannelled,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d15131972-r633928950-Delicacy_Hotel_Spa-Hanoi.html
Loueen A,https://www.tripadvisor.com.vn/Profile/l0ueena,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d15131972-r632787964-Delicacy_Hotel_Spa-Hanoi.html
Adrian B,https://www.tripadvisor.com.vn/Profile/adrianbT321RD,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6988480-r654506494-Essence_Palace_Hotel_Spa-Hanoi.html
Malgosk,https://www.tripadvisor.com.vn/Profile/Malgosk,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6988480-r652900953-Essence_Palace_Hotel_Spa-Hanoi.html
Hyeon,https://www.tripadvisor.com.vn/Profile/Hyeonjukim,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6988480-r651877202-Essence_Palace_Hotel_Spa-Hanoi.html
Nguyet Rocci,https://www.tripadvisor.com.vn/Profile/nguyetb2016,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6988480-r651586262-Essence_Palace_Hotel_Spa-Hanoi.html
Dee K,https://www.tripadvisor.com.vn/Profile/deek31,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d6988480-r649022816-Essence_Palace_Hotel_Spa-Hanoi.html
Giangg T,https://www.tripadvisor.com.vn/Profile/GianggT,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2219017-r584703017-Hanoi_Holiday_Diamond_Hotel-Hanoi.html
Swagat Kumar Panda,https://www.tripadvisor.com.vn/Profile/Swagat1985,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2219017-r654302296-Hanoi_Holiday_Diamond_Hotel-Hanoi.html
Lellouch07,https://www.tripadvisor.com.vn/Profile/Lellouch07,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2219017-r652883388-Hanoi_Holiday_Diamond_Hotel-Hanoi.html
Anna H,https://www.tripadvisor.com.vn/Profile/G9199BNannah,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2219017-r645748344-Hanoi_Holiday_Diamond_Hotel-Hanoi.html
mahphm,https://www.tripadvisor.com.vn/Profile/mahphm,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d2219017-r642907342-Hanoi_Holiday_Diamond_Hotel-Hanoi.html
laitrannguyen,https://www.tripadvisor.com.vn/Profile/laitrannguyen,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d7180030-r644856443-Hanoi_La_Siesta_Hotel_Spa-Hanoi.html
Mr Nguyễn Thành Nam,https://www.tripadvisor.com.vn/Profile/ThanhNamHS,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d7180030-r637573824-Hanoi_La_Siesta_Hotel_Spa-Hanoi.html
Jet768191,https://www.tripadvisor.com.vn/Profile/Jet768191,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d7180030-r630458279-Hanoi_La_Siesta_Hotel_Spa-Hanoi.html
MrQuy896,https://www.tripadvisor.com.vn/Profile/MrQuy896,https://www.tripadvisor.com.vn/ShowUserReviews-g293924-d7180030-r629262874-Hanoi_La_Siesta_Hotel_Spa-Hanoi.html
