username_author,link_username_author,link_content_comment
mountaintortoise,https://www.tripadvisor.com.vn/Profile/mountaintortoise,https://www.tripadvisor.com.vn/ShowUserReviews-g1184679-d12393976-r602740073-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
viviangem,https://www.tripadvisor.com.vn/Profile/viviangem,https://www.tripadvisor.com.vn/ShowUserReviews-g1184679-d12393976-r594736803-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
HuynyG,https://www.tripadvisor.com.vn/Profile/HuynyG,https://www.tripadvisor.com.vn/ShowUserReviews-g1184679-d12393976-r593887452-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
buingocminhtrang0501,https://www.tripadvisor.com.vn/Profile/buingocminhtrang0501,https://www.tripadvisor.com.vn/ShowUserReviews-g1184679-d12393976-r593416442-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
FlavioM,https://www.tripadvisor.com.vn/Profile/FlavioM,https://www.tripadvisor.com.vn/ShowUserReviews-g1184679-d12393976-r589888063-Anja_Beach_Resort_Spa-Duong_Dong_Phu_Quoc_Island_Kien_Giang_Province.html
Lâm N,https://www.tripadvisor.com.vn/Profile/Explorer715673,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d7399061-r492654448-Cottage_Village-Phu_Quoc_Island_Kien_Giang_Province.html
Explore780970,https://www.tripadvisor.com.vn/Profile/Explore780970,https://www.tripadvisor.com.vn/ShowUserReviews-g11236002-d13344570-r631815819-Camia_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
Ngọc L,https://www.tripadvisor.com.vn/Profile/329ng_cl,https://www.tripadvisor.com.vn/ShowUserReviews-g11236002-d12422287-r614367377-Green_Bay_Phu_Quoc_Resort_Spa-Ong_Lang_Phu_Quoc_Island_Kien_Giang_Province.html
Linh T,https://www.tripadvisor.com.vn/Profile/LinhT541,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d7399061-r492651780-Cottage_Village-Phu_Quoc_Island_Kien_Giang_Province.html
trangsara,https://www.tripadvisor.com.vn/Profile/trangsara,https://www.tripadvisor.com.vn/ShowUserReviews-g469418-d7399061-r283563987-Cottage_Village-Phu_Quoc_Island_Kien_Giang_Province.html
