name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Phu Tran,Khách Sạn Vinpearl Cần Thơ,1,"Đây là lần thứ 2 tôi đến Vinpearl Cần Thơ, và cũng là lần thứ n ở tại hệ thống Vinpearl trên toàn quốc. Thật sự tôi rất thất vọng về kì nghỉ này vì Vinpearl đã thay đổi mọi thứ trong setup phòng. Phòng ngủ bây giờ không giống như lúc trước nữa, không còn sự tiện nghi và thoải mái nữa bởi vì Vinpearl đã cắt bỏ mọi thứ. Thứ nhất, mini bar không được free như xưa, thay vào đó là tính tiền với giá trên trời. Thứ 2, những vật dụng cá nhân cần thiết hầu như đều bị cắt bỏ, không còn dép đi, không còn muối tắm, thậm chí đến những vật dụng rất nhỏ như dao cạo râu, kim chỉ, hay túi giấy cũng bị Vinpearl cắt bỏ. Mục đích cũng chỉ để hạn chế chi phí vận hành. Nhưng các bạn cắt bỏ những thứ tưởng chừng nhỏ nhặt đó lại khiến hệ thống của các bạn chẳng còn xứng đáng 5* nữa rồi. Khi gọi xuống lễ tân để phản ánh về việc thiếu những vật dụng cá nhân thì nhận được câu trả lời là nếu cần thì sẽ được nhân viên mang lên phòng. Why? Tại sao lại không để ngay trong phòng mà phải gọi mới mang lên. Hay là để hạn chế những khách mới ở lần đầu sử dụng những vật dụng đó,Thứ 3 là về check out. Minibar không free đồng nghĩa với việc check out phải kiểm tra phòng dẫn đến việc check out mất nhiều thời gian và phiền phức. Lúc trước được free minibar thì việc check out chỉ mất có 30 giây, còn bây giờ check out có khi mất đến vài phút. Hôm tôi ở tôi định đi massage tại vincharm mà cũng sắp đến giờ trả phòng nên có gọi lễ tân xin check out muộn. Thay vì đáp lại khách hàng bằng những lý do tế nhị như xin lỗi phòng này sẽ có khách check in sau đó hoặc đại loại thế, thì đằng này tôi nhận được lời từ chối check out muộn rất thẳng thừng rằng phòng này giá cao nên không cho check out muộn. Ôi trời, tôi không thể tin được đây là cách mà nhân viên của khách sạn 5* trả lời với khách hàng như vậy. Thật sự tôi vô cùng thất vọng,Nếu như Vinpearl cứ tiếp tục cách setup phòng như vậy mà giá phòng không thay đổi thì thực sự khách sạn sẽ không xứng đáng với mức 5* mà mình đang có", tháng 1 năm 2019,Đã du lịch theo đôi
Trendond610,Khu nghỉ dưỡng Victoria Cần Thơ,5,"Tất cả các dịch vụ đều tuyệt vời, tôi rất thích và đánh giá cao, nhân viên rất thân thiện và chuyên nghiệp. Giúp tôi có một kì nghĩ dưỡng đúng nghĩa. Nhất định tôi sẽ quay lại đây trong một dịp gần nhất. Cám ơn !", tháng 3 năm 2019,Đã du lịch với gia đình
Ngoc Quynh,Azerai Can Tho,5,"Khách sạn nằm ở cồn đảo ngay giữa thành phố Cần Thơ. Muốn tới khách sạn thì phải đi tàu ra. Khách sạn sạch đẹp. Nhân viên thân thiện, đón tiếp chu đáo. Khách sạn yên tĩnh, phù hợp với nghỉ dưỡng. Có hồ bơi, phòng gym, sân tennis và xe đạp miễn phí để đạp vòng quanh. Phòng sạch sẽ, thiết bị hiện đại. ", tháng 12 năm 2018,Đã du lịch với gia đình
SonHa2015,Hotel Xoai,3,"Phòng dành cho 2 người tại Hotel Xoài có giá vào khoảng 350,000/đêm, khá cao so với những gì khách sạn đem lại. Phòng hơi nhỏ so với để 2 người cùng ở, tuy nhiên trang trí đẹp, đầy đủ máy lạnh, nhưng không tủ lạnh. Vị trí trung tâm, tiện đi chơi buổi đêm.", tháng 6 năm 2016,
Safari829285,Khách Sạn Vinpearl Cần Thơ,5,Chỉ có 3 ngày 2 đêm nghỉ dưỡng tại Vinpearl Hotel Cần Thơ với anh chị đồng nghiệp nhưng thực sự rất thoải mái và vui vẻ. Cảm ơn tất cả mọi người ở Vinpearl Hotel Cần Thơ đã chào đón chúng tôi nồng nhiệt. Cảm ơn anh Thừa - runner HK đã luôn vui vẻ và hỗ trợ chúng tôi những vận dụng cần thiết để sử dụng hàng ngày. Xin chân thành cảm ơn mọi người ở Vinpearl Hotel Cần Thơ. Sẽ có dịp quay lại , tháng 11 năm 2018,Đã du lịch khi công tác
Minh N,Khách Sạn Vinpearl Cần Thơ,4,"Lần thứ hai tôi đến Vinpearl Cần Thơ, mọi thứ vẫn ổn như lần đầu, ngoại trừ thái độ chủa một nhân viên tại nhà hàng Mekong breeze. Theo tôi được biết thì là nhân viên tên Tuấn, vị trí làm việc là supervisor của nhà hàng. Vào buổi buffet sáng 1/1, gia đình tôi có yêu cầu nhân viên dọn bàn để gia đình tôi ngồi, nhưng các nhân viên phục vụ khác dọn bàn rất chậm. Khi đó tôi quyết định chuyển sang bàn khác còn trống để ngồi, thì tôi tình cờ nghe nhân viên tên Tuấn này nói rằng: ""gia đình này ngồi chắc hết cái nhà hàng"". Khi tôi phản ứng thì anh này thanh minh rằng nói gia đình khác chứ không phải nói tôi. Nhưng cho dù là gia đình nào thì anh này cũng không có quyền nói chuyện như vậy với khách. Tôi đề nghị Vinpearl Cần Thơ xử lý nghiêm anh này. Không thể vì một nhân viên mà làm ảnh hưởng đến những ấn tượng tốt đẹp khác mà các nhân viên khác của khách sạn đã cố gắng mang đến khách hàng.", tháng 1 năm 2019,Đã du lịch với gia đình
nguyen j,Khách Sạn Vinpearl Cần Thơ,5,"Nhân viên tử tế, view rất đẹp. Gân trung tâm nên đi lại tiện lợi. ,Khách sạn tích hợp cf, pool bar, nhà hàng khá tiện. Nhà hàng buffet sáng đồ ăn khá là ok . xông hơi và jazzcuzi free .. ,Cảm ơn vì chuyên đi. Rât tuyêt vời !!! ", tháng 11 năm 2018,Đã du lịch theo đôi
nhi l,Khách Sạn Vinpearl Cần Thơ,5,"Tôi và những người bạn đã có kỳ nghỉ tuyệt vời 2đêm 3 ngày ở đây, dịch vụ cực kỳ tốt,khách sạn gần trung tâm thuận tiện đi lại, buffet sáng rất đa dạng. Nhân viên rất nhiệt tình. Kỳ nghỉ trên cả tuyệt vời ", tháng 12 năm 2018,Đã du lịch với bạn bè
Sarah T,Hotel Xoai,3,"Phòng sạch, đẹp, phòng đơn tuy nhỏ nhưng có cửa sổ thoáng mát. Vì là khách sạn gia đình, nên nhân viên phục vụ tân tậm và nhiệt tình. Giá cả phải chăng. ,Có thang máy và các hướng dẫn tour thăm quan Cần Thơ.", tháng 1 năm 2016,Đã du lịch một mình
Einparklenkassistent,Hotel Xoai,4,"Nhân viên quầy lễ tân rất thân thiện và tận tình giúp đỡ. Tôi có thể khuyến nghị dùng các tua thăm quan mà họ cung cấp, đặc biệt là tua thưởng thức đồ ăn hoạt động vào buổi chiều. Phòng ốc rất sạch sẽ, hiên trước trên mái khá đẹp.",,
