name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Theza,Lan Homestay,5,, tháng 12 năm 2018,Đã du lịch với gia đình
Nanda,Catba Tropicana Homestay,5,, tháng 3 năm 2019,Đã du lịch theo đôi
Harvey M,Woodstock Beach Camp,4,, tháng 3 năm 2019,
Martin Ta,Lan Homestay,5,, tháng 12 năm 2018,Đã du lịch theo đôi
Emma S,Lan Homestay,5,, tháng 1 năm 2019,Đã du lịch với bạn bè
OnAir801638,Lan Homestay,5,, tháng 11 năm 2018,Đã du lịch theo đôi
Suzannevanvuure,Catba Tropicana Homestay,5,, tháng 4 năm 2019,Đã du lịch theo đôi
mike s,Woodstock Beach Camp,4,, tháng 2 năm 2019,
jlawton21,The Whisper of Nature Bungalow,3,H,,
Clint C,Woodstock Beach Camp,5,, tháng 1 năm 2019,
Anna W,Woodstock Beach Camp,3,, tháng 7 năm 2018,
DaniShaw,Woodstock Beach Camp,5,, tháng 12 năm 2018,Đã du lịch theo đôi
oceantour12,Thai Bao Hotel,5,"Vị trí trung tâm, thuận tiện cho việc di chuyển và đi chơi phố biển cát bà. Phòng đẹp, view biển, phục vụ chu đáo. Sẽ quay lại khách sạn. Món ăn hài sản ở đây rất ngon vì thực phẩm khá tươi, bể hải sản phong phú.", tháng 9 năm 2018,
Vanessa K,The Whisper of Nature Bungalow,5,, tháng 3 năm 2019,Đã du lịch theo đôi
Roman R,Lan Homestay,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Savy Explorer,The Whisper of Nature Bungalow,5,, tháng 6 năm 2018,
sylwia_labe,Thai Bao Hotel,5,, tháng 10 năm 2018,Đã du lịch theo đôi
Colleendancesf,The Whisper of Nature Bungalow,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Richard Ng,Thai Bao Hotel,5,, tháng 12 năm 2018,Đã du lịch với gia đình
Dayle C,Thai Bao Hotel,5,, tháng 12 năm 2018,Đã du lịch một mình
Resort58069043501,Phuong Mai Family Hotel,5,"Nghỉ tại khách sạn 2 đêm . Phòng rất sạch sẽ thoáng mát, anh chủ nhà đã sếp cho chúng tôi 1 phòng nhìn ra biển tuyệt đẹp.,Anh chị chủ nhà rất thân thiện , liềm nở vui tính, tôi khuyên bạn lên đặt phòng tại đây.", tháng 2 năm 2019,Đã du lịch theo đôi
Matthew Steer,The Whisper of Nature Bungalow,2,, tháng 11 năm 2018,
gianpaolo77,Phuong Mai Family Hotel,5,, tháng 3 năm 2019,Đã du lịch theo đôi
RebeccaJD01,Phuong Mai Family Hotel,4,, tháng 7 năm 2018,
phd2555,Phuong Mai Family Hotel,1,, tháng 12 năm 2018,
ANH M,Thai Bao Hotel,1,"Phòng vị trí thì thoáng nhưng Ks phục vụ quá kém biết là đông khách mua đủ lịch nhưng phải phục vụ đàng hoàng chút, bị tắc nhà và thông báo nửa ngày và thông báo hẳn 3 lần ko có người lên xử lý. Phòng 601", tháng 6 năm 2018,Đã du lịch khi công tác
Sara B,Phuong Mai Family Hotel,1,, tháng 8 năm 2018,
jadoreorange,Dolphin Hotel Backpackers,5,, tháng 8 năm 2018,Đã du lịch theo đôi
Lindsey L,Dolphin Hotel Backpackers,5,, tháng 3 năm 2018,Đã du lịch theo đôi
dandelion,Dolphin Hotel Backpackers,5,"Họ có không gian riêng tương đối biệt lập ngoài rìa thị trấn Cát Bà. Yên tĩnh, thoải mái, nhân viên khá nhiệt tình. Bên cạnh khu nhà chính có một bãi đất rất rộng để đi dạo và thư giãn sau bữa tối rất tuyệt.", tháng 9 năm 2018,Đã du lịch một mình
KellyS3210,Dolphin Hotel Backpackers,5,, tháng 8 năm 2018,Đã du lịch theo đôi
Uncle_Martin,Khách sađn Cát Bà Central,4,, tháng 1 năm 2019,
Mgiaco,Dolphin Hotel Backpackers,2,, tháng 5 năm 2018,Đã du lịch theo đôi
