name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
lavender,Khách sạn Geminai,5,"địa điểm check in lý tưởng. không gian đẹp, thư thái, quán cà phê đẹp ở đồng hới. phòng ốc cơ bản, giá cả là rẻ. địa điểm rất là thuận tiện, đi đâu cũng gần. thấy nhiều người địa phương thương hay lui tới. nên ghé thăm nếu bạn đến Quảng bình.", tháng 4 năm 2019,Đã du lịch với bạn bè
philippe l,Khách sạn Geminai,1,"Chúng tôi đã đăt phòng và báo giờ đến nhận, tuy nhiên khi đến đúng giờ hẹn (19h30) nhưng không có lễ tân, một nhân viên nhà hàng báo không thể bố trí phòng lúc đó.,Khi chúng tôi đi ăn tôi quay lại để nhận phòng thì được bố trí một phòng chất lượng không tôt, trong phòng không có tivi. quá tệ với một khách sạn của thế kỷ 21.", tháng 3 năm 2017,
Sofia,High Dream Hostel,5,, tháng 3 năm 2019,Đã du lịch với bạn bè
Cao M,Khách sạn Geminai,5,"Lần đầu đi du lịch Quảng Bình, lại đúng mùa cao điểm nên mình cũng lo lắng nhiều thứ. Nhưng may mắn là mình book phòng ở Geminai, ở đây các bạn nhân viên rất thân thiện, nhiệt tình đưa ra các tips về chỗ chơi và ăn uống ở. Còn tận tình giúp mình lên lịch phù hợp với chuyến đi. Mình đã đi thử các món ăn nổi tiếng ở QB như: cháo banh canh, bánh lộc... đồ ăn ở đây rất ngon. Nhưng mình thấy vừa tiện, vừa ngon thì vẫn là đồ ăn ngay tầng 1 của khách sạn. Đồ ăn đa dạng có đủ đồ Việt, đồ Tây, đồ chayy... rất hợp khẩu vị của mình. Còn đồ uống thì the best in Đồng Hới khỏi bàn cãi. Giá cả khôg phải là đắt so với nhiều nơi mình đã từng đến. Nói chung là ưng. ,Về phòng thì trang bị cơ bản, hợp lý so với số tiền bỏ ra, đặc biệt nhất là giường rộng và êm ái không phải mấy loại đệm cứng như nằm trên đá của mấy khách sạn cùng phân khúc. View từ đây rất là đắt giá, vị trí thuận tiện không nơi nào có được.,Xin cảm ơn Geminai đã giúp mình có 1 chuyến đi đáng nhớ. Mong sớm có dịp quay trở lại.", tháng 9 năm 2017,Đã du lịch một mình
Leonie G,Beachside Backpackers,2,, tháng 4 năm 2019,Đã du lịch theo đôi
Quỳnh T,Nhà nghỉ Ocean View,5,Không gian trong lành mát mẻ. Mọi người thân thiện vui vẻ đáng yêu. Có thể đi bộ qua bãi biển gần đó. Biển sạch và xanh mát. Đặc biệt có những chú chó với chú mèo Cute. Đồ ăn cũng rất hấp dẫn và ngon miệng., tháng 8 năm 2018,Đã du lịch một mình
Fearless815619,Khách sạn Geminai,5,"Tôi là dân du lịch, vì thế đã ghé thăm, trải nghiệm kha khá các thể loại khách sạn, homestay... nhưng Geminai thực sự làm tôi ấn tượng vô cùng. Tôi book phòng có riverview,phòng khá đơn giản nhưng rất sạch sẽ và yên tĩnh. Ở tầng 1 là nhà hàng và cafe với decor cực kì đẹp, rất phù hợp với những bạn thích sống ảo. Đồ ăn thì đủ thể loại như: đồ tây, đồ địa phương, đồ chay... Tôi ở Geminai 3 ngày và đã thử rất nhiều món ăn ở đây, đồ ăn thực sự rất ngon và hợp khẩu vị. Nước uống cũng rất phong phú, tha hồ cho các bạn lựa chọn, tôi đã thử và bị nghiền món latte ở đây. Các bạn nhân viên thì cực kì thân thiện, tư vấn các địa điểm ăn -chơi và phương tiện đi lại rất nhiệt tình. Geminai ở ngay trung tâm thành phố nên rất tiện cho việc đi lại nữa.", tháng 9 năm 2018,Đã du lịch một mình
Connector820355,Khách sạn Geminai,5,"Geminai được trang trí theo phong cách trẻ trung, hiện đại nhưng cũng không kém phần ấm cúng. Đặc biệt ở đây có rất nhiều món ăn ngon và lạ miệng, nhân viên phục vụ cũng rất chuyên nghiệp. Tôi được thưởng thức rất nhiều món: chè, bánh mì kẹp thịt,.... ,Tất cả đều rất ngon và hợp khẩu vị. Geminaii đã để lại ấn tượng rất tốt đối với tôi", tháng 9 năm 2018,Đã du lịch với bạn bè
dishwasher70,High Dream Hostel,5,, tháng 12 năm 2018,Đã du lịch với bạn bè
annahartmann27,Beachside Backpackers,1,, tháng 6 năm 2018,
AKBarnwal,Beachside Backpackers,4,, tháng 6 năm 2018,
John W,High Dream Hostel,5,, tháng 7 năm 2018,Đã du lịch với bạn bè
Sarah C,High Dream Hostel,5,, tháng 7 năm 2018,Đã du lịch một mình
Jan B,High Dream Hostel,5,, tháng 6 năm 2018,Đã du lịch với gia đình
Sunflowerpower88,Beachside Backpackers,2,, tháng 6 năm 2018,Đã du lịch với bạn bè
Mike R,Beachside Backpackers,5,, tháng 6 năm 2018,Đã du lịch một mình
Hữu C,Nhà nghỉ Ocean View,5,Tôi nghĩ đây là một nơi lý tưởng dành cho tất cả mọi người. Mọi thứ ở đây rất tuyệt.đặc biệt mình rất thíc bạn nam tên Hữu ở đây. Bạn ấy rất đẹp trai. nhiệt tình. Lại còn năng động.hiếu khách.hay giúp đỡ mọi người.nói chung tất cả mọi người ở đây rất thân thiện.hiếu khách. Mọi thứ ở đây làm tôi rất thíc thú. Ngỡ như đang ở nhà vậy. I love all everything's here, tháng 6 năm 2018,Đã du lịch với bạn bè
KangMai9x,Nhà nghỉ Ocean View,5,"Tôi đến đây cùng gia đình vào dịp đầu năm. Khách sạn có khuôn viên khá rộng và nhà hàng rất phong cách. Vị trí cách trung tâm tp tầm 2km, khách sạn là 1 tòa nhà biệt thự nhỏ nằm núp sau hàng dương như một khu vườn cổ tích. Rất yên tĩnh và đẹp. Nhân viên rất thân thiện, hay cười nói và nhiệt tình giúp đỡ khi bạn muốn ăn hoặc muốn đi bất kỳ đâu ở Quảng Bình, đặc biệt là cô lễ tân trẻ. Bữa sáng nhẹ nhàng, phù hợp với giá cả thị trường. Gia đình tôi đã ở đây 3 ngày 2 đêm: thăm bác Giáp và tham quan các hang động.,Tôi sẽ trở lại có thể khi quay về Quảng Bình!", tháng 1 năm 2018,Đã du lịch với gia đình
163_cm_l,Nhà nghỉ Ocean View,5,"Tụi mình đến với homestay vào dịp cuối tuần. Thời tiết khá mát mẻ và dễ chịu. Một chuyến đi 2 đêm 3 ngày của công ty thành công và tốt đẹp. Bạn có thể nhận đc mọi sự tư vấn nhiệt tình về các địa điểm ăn chơi, tham quan, mua sắm... của các anh chị em ở homestay. Chưa biết lúc nào sẽ quay lại QB, nhưng vẫn luôn mong một lần đc trở lại cùng anh em. Thân ái", tháng 6 năm 2018,Đã du lịch khi công tác
Hiền T,Nhà nghỉ Ocean View,5,"Tớ đến cùng người yêu vào dịp nghỉ cuối năm. Mình đã từng trải nghiệm nhiều home stay. Và đây là home stay mình yêu thích nhất. Mọi thứ tuyệt vời và đáng yêu. Home stay có vườn và khu vực bar rất rộng rãi. Bọn mình ở lại đây 2 đêm. Ks có các tour đi hang động, bạn có thể dễ dàng lựa chọn. Ngày tiếp theo mìn thuê xe máy đi dạo phố Đồng Hới. Home stay có nhà hàng rất tốt và phục vụ đa dạng các món ăn. Với giá cả phù hợp và nấu ăn ngon. Hoặc bạn có thể order tôm hùm, tôm thường, cua, mực, cá...  tại ks, để thưởng thức vào buổi tối cùng rượu vang ngoài vườn. Hoặc bạn có thể đi chợ và tự nấu ăn. Với phụ phí nấu ăn khá rẻ. Rất xứng đáng!!!,Mình rất muốn cả gia đình mình đều đến nơi này. Hẹn gặp lại.", tháng 2 năm 2018,Đã du lịch theo đôi
hoaithanh5042002,Khách sạn Mường Thanh Luxury Nhật Lệ,5,"Khách sạn chuẩn đẳng cấp 5 sao, nhân viên phục vụ tân tình và chu đáo. Đối diện với biển Nhật Lệ nên rất dễ đi lại, buổi chiều có gió mát. Khách sạn rất lớn chuẩn 5 sao. Nói chung là gia đình mình rất thích", tháng 10 năm 2018,Đã du lịch với gia đình
Tom,Vinpearl Hotel Quang Binh,5,"Khách sạn nằm bên bờ sông Nhật Lệ tại vị trí trung tâm thành phố. Ks mới đi vào hoạt động, nội thất sang trọng, hồ bơi và phòng gym hướng ra phía sông rất đẹp, nhân viên thân thiện, nhiệt tình, trung tâm thương mại ở cùng toà nhà.", tháng 4 năm 2019,Đã du lịch khi công tác
hien271091,Sunshine Hotel Quang Binh,5,"Lần đầu tiên tới Quảng Bình với đội bạn siêu nhí nhố, thật tình cờ khi nghỉ lại hotel này. Cặp đôi lễ tân Mun siêu đáng yêu và nhiệt tình luôn ý. Phòng ốc sạch sẽ giá cả hợp lý rất thích hợp đi cùng với nhóm bạn và cặp đôi. Chúc các bạn luôn đông khách và giữ phong độ làm việc xuất sắc nhé. Đi rất nhiều nơi nhưng rất hiếm ai nhiệt tình,như các bạn lắm.Hẹn gặp lại Sunshine vào 1 ngày gần nhất. Nhất định sẽ quay lại ", tháng 7 năm 2018,Đã du lịch với bạn bè
Thao 6688,Vinpearl Hotel Quang Binh,5,"Doan chung toi da toi  day nghi tu 4/12 den 7/12/21018 that la tuyet voi va thu vi : ks moi moi thiet bi deu dep, sach va sang trong,vi tri rat dep :  ks nam ben dong Nhat le co tuong dai Me Suot, ben canh cho trung tam tp Dong hoi . ,Doi ngu nhan vien tan tinh chu dao va de thuong, tu le tan den bep an deu lam viec tot va co trach nhiem. Doan chung toi duoc nhan vien ks don tu san bay ve ks luon vui ve va lam tot moi viec khi chung toi hoi ve du lich . Chung toi an tuong ve ban nhan vien Nhan : suot may ngay luu tru o Ks ban Nhan luon hoi han moi viec an o va dich vu .,Chung toi hai long ve moi dich vu o ks va se tro lai day khi co dip ...,", tháng 12 năm 2018,Đã du lịch với gia đình
NGUYEN KHAC CHINH,Vinpearl Hotel Quang Binh,5,"Vinpearl Quảng Bình Hotel là  Khách sạn rất đẹp và sang trọng tôi rất thích. Với đội ngũ nhân viên nhiệt tình làm cho khách sạn càng đẹp hơn ! Khách sạn có thiết kế đẹp cùng như nằm ở vị trí rất đẹp nhìn ra sông, phòng khách sạn đẹp thiết kế theo lối cổ điển Châu Âu nhưng không quá rườm rà gợi sự đẹp mắt và hợp lý. Các nhân viên với thái độ tận tình và phục vụ rất tốt chu đáo !", tháng 12 năm 2018,
Getaway27673053822,Vinpearl Hotel Quang Binh,5,"Khách sạn gần sông Nhật Lệ rất đẹp. bể bơi sạch, trẻ con nhà mình rất thích. Đồ ăn cũng được,tuy nhiên không nhiều sự lựa chọn. Các bạn nhân viên đều rất nhiệt tình. Chỉ tiếc k có khu vơi chơi cho bé.", tháng 11 năm 2018,Đã du lịch với gia đình
Hieu V,Khách sạn Mường Thanh Luxury Nhật Lệ,3,"Mang tiêu chí của 1 khách sạn 5sao giá rẻ, nên việc dịch vụ theo tiêu chuẩn bị hạn chế là chuyện bình thường, khách sạn đẹp, vị trí chưa thật sự tốt do nằm gần cửa biển, bãi tắm không đẹp, ắn sáng ít món, wifi bị lỗi, di chuyển 2 phòng mới ổn, nói chung không hài lòng lắm.", tháng 11 năm 2017,
Tuấn T,Vinpearl Hotel Quang Binh,5,"Tôi đi du lịch cùng gia đình, ở phòng hướng sông cao và đẹp. Các dịch vụ của khách sạn đều rất tốt, nhân viên các bộ phận rất nhiệt tình và thân thiệt, các cháu Nhàn, Yến và Tứ chăm sóc hỏi han chúng tôi rất chu đáo. Nếu có dịp quay lại Quảng Bình tôi vẫn sẽ chọn Vinpearl. Tuyệt vời", tháng 11 năm 2018,Đã du lịch với gia đình
Tuấn Anh H,Khách sạn Mường Thanh Luxury Nhật Lệ,5,"Đây là khách sạn thân thiện nhất mà mình đã ở. Phòng ốc sạch sẽ, thiết kế nội thất rất bắt mắt, hướng nhìn ra cửa sông và cầu nhât lệ rất đẹp. Khách sạn ở gần biển có thể đi dạo vào buổi sáng và tắm biển vào buổi chiều. Nhân viên rất nhiệt tình trong việc tư vấn những địa điểm ăn ngon và điểm du lịch trong thành phố. Rất cảm ơn bạn Ngọc - trưởng lễ tân đã hỗ trợ gia đình mình rất tận tình, giới thiệu cho gia đình mình nhà hàng ăn chay cực ngon và địa điểm mua đặc sản về làm quà cho họ hàng rất ngon. Hè năm sau chắc chắn sẽ chọn khách sạn Mường Thanh Nhật Lệ để công ty mình đi du lịch.", tháng 9 năm 2018,
linhnd2018,Khách sạn Mường Thanh Luxury Nhật Lệ,4,"Công ty vừa trải nghiệm 1 kỳ nghỉ thú vị tại Quảng Bình, đồng hành cùng chúng tôi là các bạn CBNV của khách sạn. Xin cảm ơn bạn Thủy, anh Linh đã rất nhiệt tình, chu đáo. Mong các bạn cải thiện được vấn đề ra bãi tắm để khách đỡ bị phiền hà do bãi tắm cách khách sạn 300m. Cám ơn các bạn nhiều.", tháng 7 năm 2018,
sangnt,Khách sạn Mường Thanh Luxury Nhật Lệ,4,"Đoàn công ty mình đi nghỉ mát ở  Khách Sạn Mường Thanh Nhật Lệ  mọi người trong công ty nhân xét dịch vụ của khách sạn đều tốt, Chỉ có ra bãi tắm là hơi xa khách sạn nên có xe điện đưa đón miễn phí. Cảm ơn bạn Thủy đã trợ giúp đoàn mình rất nhiệt tình và chu đáo nha!", tháng 7 năm 2018,
Min N,Sunshine Hotel Quang Binh,5,"Thích nhất sự nhiệt tình của các bạn! :) Thực sự là chưa đến đâu mà nhận viên nhiệt tinh đến thế. Các bạn chỉ cho mình chố chơi, điểm ăn uống hạp lý. Nướng mực, nhậu với bọn mình luôn. Nhất định sẽ trở lại. :D", tháng 7 năm 2017,
thang t,Sunshine Hotel Quang Binh,5,E rất thích khách sạn . E sẽ ghé qua nhiều hơn hihi . Chúc anh chị 1 ngày làm việc thật vui vẻ . E cảm ơn sự đón tiếp nồng hậu đó nó rất ý nghĩa đối với em . Hẹn gặp anh chị một ngày gần nhất có thể anh chị nhá, tháng 2 năm 2018,Đã du lịch với bạn bè
Mai P,Sunshine Hotel Quang Binh,5,"Nhân viên thân thiện nhiệt tình, nhất là bé lễ tân trang moon siêu dễ thương. Phòng ốc ok phù hợp đi với nhóm bạn. Ấn tượng để lại rất tốt. Điểm 10 cho sự đón tiếp, phục vụ. Điểm 8 cho phòng ốc nhé :)))", tháng 7 năm 2017,Đã du lịch với bạn bè
nguyenthichinhk12017,Sunshine Hotel Quang Binh,5,"phòng ốc sạch sẽ, giá cả hợp lí, đầy đủ các dịch vụ. tiện nhất là có thể thuê xe tại khách sạn.  đặc biệt các bạn lễ tân rất tận tình và vui vẻ. nếu lần thứ hai trở lại tôi sẽ chọn sunshine hotel, đến với quảng bình đầy nắng và gió này.", tháng 10 năm 2017,
Lewis B,Buffalo Pub & Hostel,4,, tháng 9 năm 2018,Đã du lịch theo đôi
NguyenLyVN,Buffalo Pub & Hostel,4,"Chị chủ và nhân viên thân thiện, nhiệt tình. Đồ ăn khá ngôn. Có pub ở bên dưới tiện lợi cho việc giải trí.,Phòng thì chỉ ở mức trung bình. Nhà vệ sinh không tiện nghi, đôi khi hơi có mùi chút. Chỉ cần nâng cao thêm chất lượng phòng ốc là ok", tháng 4 năm 2017,Đã du lịch với bạn bè
doombar123,Buffalo Pub & Hostel,4,, tháng 9 năm 2017,Đã du lịch theo đôi
amyleez,Buffalo Pub & Hostel,5,, tháng 9 năm 2017,
Brackpacker,Buffalo Pub & Hostel,5,, tháng 1 năm 2018,Đã du lịch theo đôi
tư thúy t,Sealand Homestay,5,"Ngôi nhà xinh xinh nhiều  hoa và nắng,những con cún dể  thương,  nhà gần biển gió mát lạnh ,nv nhiệt tình lắm, chỉ dẩn cụ thể từng địa điểm vui chơi giải  trí,  book hộ vé tàu xe ,có thể nấu nướng tổ chuc bbq , đi chợ mua đồ tự nấu vừa tiết kiệm vừa vui.   Yêu nơi đây", tháng 2 năm 2019,Đã du lịch theo đôi
