name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Mengheang,Phuong Binh House,5,, tháng 4 năm 2018,
Lê G,Cosy Bungalow,5,"View khá đẹp. Nhân viên thân thiện. Anh chị chủ thì khỏi bàn, dễ thương hết chỗ chê.,Không gian thân thiện, nhiều cây tạo bóng mát khá thích thú khi nằm võng hay cafe cùng bạn bè.,Thiết kế trang nhã, cực thích nền gạch kiểu của nhà ngày xưa", tháng 4 năm 2017,Đã du lịch một mình
hau2015,Phuong Binh House,4,"Phòng sạch sẽ, nhân viên thân thiện. khách sạn nằm sát bên biển nên về đêm rất tĩnh lặng, thích nhất là được nghe tiếng sóng biển, được đi dạo trên cát dưới ánh trăng về đêm. So romantic!,Nếu lần sau đến Phú Quốc, chắc chắn mình sẽ quay lại khách sạn này.", tháng 3 năm 2015,
Thong V,Cosy Bungalow,4,"Thoải mái, tự do, nhân viên tận tình, lịch sự, giá phòng hợp lý cho du lịch khám phá địa danh Phú Quốc. Các bạn có thể mua hải sản tươi sống mang về khách sạn nhờ nhà hàng chế biến tùy thích và thưởng thức hương vị ngọt ngào hải sản bạn chọn mua. Chi phí chế biến theo Kilogram. trung bình 300.000VNĐ -500.000VNĐ/Bửa chế biến nấu và phục vụ ,- 30.000VNĐ/kg hấp, luột.,- Lẩu : 70.000 - 100.000VNĐ/kg", tháng 6 năm 2016,
Susan832014,Phuong Binh House,5,"Gia đình tôi rất hài lòng về dịch vụ của khách sạn này.,Nằm ngay biển nên rất tiện cho các bé vui chơi tắm biển, hồ bơi khách sạn sạch sẽ.,Khi bạn có vấn đề cần giải quyết, tiếp tân nơi đây rất tận tinh hỗ trợ với thái độ rất vui vẻ.,Rất hài lòng và sẽ quay lại sớm :)", tháng 6 năm 2018,
unia895,Cosy Bungalow,5,"Nhân viên thân thiện, lịch sự và hổ trợ hết mình....đó là những gì tôi cảm nhận về Cosy bungalow...giá cả hợp lý theo từng thời điểm, không gian thoáng mát đã làm cho chuyến đi của tôi thêm phần thú vị...cám ơn tất cả những gì mà cosy đã mang lại cho tôi...đây đúng là một nơi tuyệt vời dành cho tôi khi đến phú quốc...", tháng 10 năm 2016,
klamaryia,Phuong Binh House,5,, tháng 4 năm 2018,
maria r,Phuong Binh House,5,, tháng 5 năm 2018,
TranKimDinh,Khu Nghỉ Dưỡng Sao Biển,5,Sao Biển là nơi hiếm hoi tại đảo PQ khi ta có thể tìm được  một không gian nguyên sơ ngay giữa lòng thị trấn Dương Đông. Nơi đây ít có các dịch vụ giải trí hiện đại nhưng lại có thừa không khi trong lành và món ngon khó từ chối., tháng 10 năm 2016,
minhchaumoon,Phu Quoc Kim Bungalows On The Beach,5,"Phú Quốc Kim (PhuQuocKim), một bungalows- nhà vườn nghỉ dưỡng - resort bình dân ở Phú Quốc, nằm sát biển, được thiết kế theo phong cách làng quê ở Vn, nhà mái ngói lợp kiểu cũ, sân gạch, vườn cây với những loại cây hết sức quen thuộc với làng quê bắc bộ như cây tre, dâm bụt, cây chanh, cây cau, bụi chuối, lu nước.... Mỗi phòng nghỉ là một căn nhà biệt lập, ngoài các trang bị hiện đại như một phòng 2 sao của khách sạn, còn được trồng nhiều cây xanh, hoa lá xung quanh, với một bàn trà, 2 ghế để khách có thể thư thả ngồi uống trà, coffee, đọc sách... Như một làng quê ở bắc bộ, nhưng chỉ cần đi vài bước chân là xuống bờ biển, đó là điểm thú vị của PQK.,Trong chuỗi dịch vụ của mình, Phú Quốc Kim còn có một quán caphe - ăn nhẹ nhìn ra biển để khách có thể thư thái ngồi cả buổi hóng gió mát, đọc sách, tự kỷ..... ; một quán bán bánh Pháp (do ông xã người Pháp của em quản lý Phú Quốc Kim tự tay làm lấy), ăn ngon hơn, mộc hơn của Daddy Paris; và các ghế dài nằm trên bờ biển dành cho chính các du khách của Phú Quốc Kim.,PQK được điều hành bởi bạn Kim Oanh, một bạn được đào tạo chuyên nghiệp trong môi trường khách sạn 5 sao (từng làm quản lý ở Sofitel nhiều năm... ) bắn 2 thứ tiếng Anh Pháp vèo vèo nên dù theo đuổi phong cách gia đình, gần gũi nhưng dịch vụ của PQK cũng hết sức chuyên nghiệp, nhân viên thân thiện, cởi mở, do đó khá được các bạn Tây ưa thích.", tháng 2 năm 2017,
Thân T,Khu Nghỉ Dưỡng Sao Biển,4,"Khu nghỉ dưỡng yên tĩnh, khá thoáng mát, nhân viên thân thiện, phòng ốc đầy đủ tiện nghi cơ bản, dc miễn phí thêm trái cây có lẽ là ưu điểm lớn nhất. Tuy nhiên buffet sáng hơi ít lựa chọn, hồ bơi xử lý hoá chất khá nhiều nên khá khó chịu khi mở mắt.", tháng 7 năm 2017,Đã du lịch với gia đình
RöBSëY,Cosy Bungalow,4,, tháng 2 năm 2019,Đã du lịch một mình
Kali,Khu Nghỉ Dưỡng Sao Biển,4,"Chúng tôi đến Phú Quốc không đặt trước và chọn Sao Biển (Sea Star) từ Lonely Planet. Khu nhà Garden Bungalow cho chúng tôi giá 56$ Mỹ một đêm (chúng tôi chỉ ở một đêm), tôi cho là hơi quá.,Ừ thì họ có khu đất đẹp, ừ thì hàng hiên trước nhà khá đẹp nhưng giường thì cứng như đá, tủ lạnh thì không chạy và cái gương duy nhất (không kể cái gương nhỏ trên bồn rửa) nằm ngay cạnh cửa phòng tắm - cái cửa hoàn toàn không có chỗ hở gì trên nó !,Vị trí của nó (so với cái Le Veranda xa hơn phía dưới và một đống những nhà trọ thân thiện rẻ tiền hơn) tiết kiệm khoảng 20 phút đi bộ tới chợ đêm và một số hàng quán tuyệt vời trên đường chính.,Nên nếu bạn là một người lữ hành  ý thức về ngân sách mà vẫn thích những điểm tinh tế thì tôi khuyên nên ở dưới Than Kim hoặc Phương Bình xa hơn xuống phía biển - phong cảnh ở đây thực sự chẳng đáng thêm vài đồng phải bỏ ra và nếu bạn thực sự không muốn đi bộ thì có thể đi taxi một chuyến khứ hồi chỉ khoảng $5 từ nơi khác đến chợ đêm.,Ngoài ra, hình như đây là một trong những thứ khó hiểu lâu lâu nhảy ra trong đầu tôi thôi. Họ có bảng đề thân thiện môi trường và đó là lý do họ dùng nước nóng năng lượng mặt trời (cái này thì xuất sắc). Tuy nhiên thân thiện môi trường chỗ nào mà phải chờ nước chảy 3  phút rồi mới nóng ? Phải có hệ thống phục hồi nước tại chỗ để bù trừ chứ. Với lại cho khách những chai nước nhỏ nhỏ nhỏ chỉ tổ góp phần vào toàn bộ thứ rác thải nhựa trên đảo, so với nước cất miễn phí !!",,
Joonas17,Khu Nghỉ Dưỡng Sao Biển,2,, tháng 1 năm 2019,Đã du lịch theo đôi
Denisse,Cosy Bungalow,5,, tháng 11 năm 2018,Đã du lịch với bạn bè
Marie H,Khu Nghỉ Dưỡng Sao Biển,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Habitualuser,Phu Quoc Kim Bungalows On The Beach,4,, tháng 1 năm 2019,
RacingAl,Phu Quoc Kim Bungalows On The Beach,4,, tháng 1 năm 2019,
Kirill G,Phu Quoc Kim Bungalows On The Beach,4,, tháng 12 năm 2017,Đã du lịch một mình
Ánh N,Ngọc Việt Bungalow,5,"Bungalow sạch sẽ, nhiều cây xanh, không gian yên tĩnh. Rất thích hợp với gia đình mình có người già và trẻ em. Nhân viên nhiệt tình thân thiện. Vị trí hợp lý, gần trung tâm. Nói chung rất hài lòng cho 5 đêm vừa rồi ", tháng 8 năm 2018,Đã du lịch với gia đình
Louise J,Phu Quoc Kim Bungalows On The Beach,4,, tháng 1 năm 2019,
Voyager704368,Ngọc Việt Bungalow,5,"Gia đình tôi đã ở 2 ngày tuyệt vời ở đây, phòng trang trí đẹp, có vườn hoa, hồ cá xinh xắn, giá cả rẻ so với chất lượng dịch vụ. Phục vụ chu đáo tận tình. Từ đây ra biển khoảng 500m. Cách chợ Dương Đông nhiều quán ăn uống ngon rẻ", tháng 5 năm 2017,Đã du lịch với gia đình
daenz,Ngọc Việt Bungalow,4,, tháng 3 năm 2019,
acpgee,Ngọc Việt Bungalow,5,, tháng 1 năm 2019,Đã du lịch theo đôi
niyazdua,Ngọc Việt Bungalow,5,, tháng 9 năm 2018,
