name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Tran Trong Nghia,AVANI Hai Phong Harbour View,5,"Tôi có một chuyến công tác hội nghị về y tế ở Hải Phòng và ở tại khách sạn AVANI Harbour View. Khách sạn khá đẹp và sạch sẽ, có kiến trúc cổ điển kiểu Pháp. Phía trước khách sạn là công viên nên khá yên tĩnh. Khách sạn cũng gần trung tâm thành phố nên có nhiều địa điểm vui chơi giải trí Dịch vụ tại đây khá tốt, nhân viên nhiệt tình, đặc biệt là nhân viên lễ tân.", tháng 2 năm 2019,
Margaret G,Monte Carlo Hotel,3,, tháng 12 năm 2017,Đã du lịch một mình
Sally C,Monte Carlo Hotel,5,, tháng 5 năm 2017,Đã du lịch với gia đình
ruichardsjul15,Monte Carlo Hotel,5,, tháng 6 năm 2017,
hungvu2018,AVANI Hai Phong Harbour View,5,"Chất lượng dịch vụ rất tốt; Nhân viên thân thiện, cởi mở, nhiệt tình; Phòng ốc đẹp, sạch sẽ; Đồ ăn ngon; Tiện ích đầy đủ; Vị trí giao thông thuận lợi. ,Chắc chắn tôi sẽ quay lại khi có dịp đến Hải Phỏng làm việc.", tháng 5 năm 2018,
Huyen Nguyen,AVANI Hai Phong Harbour View,5,"Nhân viên hỗ trợ khách nhiệt tình từ sale, banquet, lễ tân, bell Mr Đức, Ms Trang, Mr Hoan, Ms Huyền, Ms Hiền sale.,Cảm ơn tất cả vì đã mang tới những trải nghiệm tuyệt vời trong suốt thời gian ở lại đây.,Hope see you soon!", tháng 12 năm 2018,
HuyP,AVANI Hai Phong Harbour View,5,"Tôi vừa kết thúc Hội thảo y tế 2 ngày tại khách sạn Harbour View. Khách sạn gần trung tâm,có xe đạp cho khách mượn đi dạo. Nhân vien lễ tân, nhà hàng nhiệt tình, thân thiện. Nếu có dịp du lịch, sẽ quay lại hải phòng và harbour view", tháng 3 năm 2019,Đã du lịch khi công tác
No.1 hero,AVANI Hai Phong Harbour View,5,"Khách sạn đẹp. 1 nơi tuyệt vời để đón năm mới xa nhà. Công viêc ở trước cửa. Sáng sớm có thể đi bộ tận hưởng không khí trong lành. Lễ tân đón tiếp nồng hậu và nhiệt tình, chu đáo luôn quan tâm đến khách.", tháng 1 năm 2019,Đã du lịch một mình
Manh H,Camela Hotel & Resort,4,"Lý tưởng để nghỉ ngơi. Phòng sạch sẽ, nhân viên thân thiện, nhiệt tình, món ăn ngon. Có nhiều dịch vụ thể thao để tham gia, không gian nhiều cây xanh và vườn cây. Nếu bạn thực sự muốn một nơi yên bình để nghỉ ngơi nên chọn ở đây.", tháng 11 năm 2016,
Nguyenduykhang,Camela Hotel & Resort,5,"- Tổ chức hội nghị: công ty chúng tôi đã từng tổ chức hội nghị tại đây, đây là khách sạn được chúng tôi đánh giá là sạch sẽ, thoáng mát, nhân viên nhiệt tình và sẵn sàng đáp ứng yêu cầu của khách hàng, chính vì điều này mà chúng tôi không phải lo lắng khi tổ chức hội nghị tại đây.,- Phòng rộng rãi, thoáng mát, có đầy đủ tiện nghi, buổi tối có thể đi dạo xung quanh khách sạn với nhiều cây xanh, không khí trong lành, câu cá giải trí ....,- Giá cả hợp lý, nhân viên tận tình, chu đáo, mỗi khi đi công tác công ty cũng như đối tác nước ngoài của chúng tôi đều chọn nơi đây là địa điểm lý tưởng để nghỉ ngơi.", tháng 10 năm 2014,
ledung19886,Camela Hotel & Resort,5,"Tôi rất ấn tượng về sự trong lành và rộng rãi của khách sạn. Nhân viên rất nhiệt tình, họ hướng dẫn tôi nên đi mua sắm ở đâu, và đi phương tiện gì là hợp lý. Nói chung là tôi sẽ quay lại khách sạn này cho lần công tác tới..", tháng 11 năm 2014,
Frazzle35,Camela Hotel & Resort,4,, tháng 9 năm 2017,Đã du lịch với bạn bè
denisejackie,Camela Hotel & Resort,4,"Sau khi đọc các đánh giá tiêu cực, tôi đã nghĩ đến điều tồi tệ nhất. Tuy vậy, khi vào phòng tôi đã rất ấn tượng bởi kích thước phòng và thảm thì rất sạch và gần như mới tinh. Có lẽ chúng tôi đã may mắn và được nhận một phòng tốt như vậy. Thế nhưng, các bạn của tôi cũng nhận được một phòng tương tự. Ở hành lang có một chút mùi thức ăn bay lên nhưng mùi đó cũng không đến nỗi là không chịu đựng được. Đây là nơi nghỉ chân tốt cho chúng tôi. ",,
phamthithai78,Somerset Central TD Hai Phong City,5,"Tôi đã ở tại tòa nhà này 2 ngày và tôi thấy xứng đáng với những  gì được nhận. Thật là thú vị khi ở tại đây. Rất thuận lợi ở ngay trung tâm mua sắm. Nhân viên thân thiện, nhiệt tình. Phòng ở sạch sẽ, đầy đủ tiện nghi phù hợp với gia đình. Tôi rất yêu quý nơi này và sẽ đến trong những lần tiếp theo.", tháng 4 năm 2016,
Barbara T,Somerset Central TD Hai Phong City,5,, tháng 2 năm 2019,Đã du lịch với gia đình
Suzie F,Somerset Central TD Hai Phong City,5,, tháng 10 năm 2018,Đã du lịch với gia đình
n927athalieh,Somerset Central TD Hai Phong City,2,, tháng 10 năm 2018,
clutch7,Somerset Central TD Hai Phong City,5,, tháng 7 năm 2018,
