name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
CARLOS V,Khu nghỉ dưỡng Ocean Beach,5,"Các căn nhà gỗ thật tuyệt vời, lớn và thoải mái. Thức ăn phục vụ thực sự ngon và nhiều. Bãi biển đẹp, mặc dù có một số viên đá cuội khi thủy triều xuống. Tôi chọn một gói du lịch với hãng Ocean Tours bao gồm  một đêm trong khu nghỉ mát này và một tour khác trên thuyền một chiếc thuyền Loại A ở Vịnh Hạ Long, nhưng khu nghỉ mát vẫn tốt hơn. Lần tới tôi sẽ ở lại trong khu nghỉ mát này thay vì ngủ trong một con tàu thông thường được bao quanh bởi hàng chục chiếc thuyền khác. Không có nước nóng, không có WiFi, không có TV nhưng tôi không quan tâm vì đây là một nơi để thư giãn và tránh xa các đường phố đông đúc. Không có điều hòa không khí nhưng nhà gỗ có khá nhiều cửa sổ và quạt. Họ cần phải cải thiện thuyền được sử dụng để đưa khách từ tàu lớn vào bãi biển hoặc ít nhất là tránh quá tải cho thuyền.",,
Rajinder H,Khu nghỉ dưỡng Ocean Beach,3,, tháng 7 năm 2017,Đã du lịch một mình
namnguyen0702,Khách sạn Kim Dung Hạ Long,4,"Đến đấy 1 lần vào dịp nghỉ lễ, mình có đặt trước qua người bạn quen, ,Dù khách đông mà chị chủ không tăng giá phòng so với giá niêm yết là mấy ,Chị chủ thì thân thiên mà gần gũi và còn miễn phí nước lọc nữa.  ,Không gian khu này thoáng đãng, mát mẻ vì xung quanh ko có nhiều nhà, trước mặt là 1 cái hồ lớn, bên phải là 1 cánh rừng. ,Phòng thì hình như đi vào hoạt động chưa lâu nên rất  mới và sạch sẽ. ,Sẽ quay lại nếu đến Hạ Long", tháng 4 năm 2015,
Connector720937,Khách sạn Kim Dung Hạ Long,3,, tháng 7 năm 2017,
Peterson1208,The Light Hotel,1,"Trong chuyến đi của mình, ở The Light Hotel 3 ngày 2 đêm thì có ngày mất điện nóng kinh khủng, có ngày mất cáp không thể xem được tivi. Báo dọn phòng thì nhân viên lễ tân ok nhưng rồi cũng không thấy phòng được dọn. Đến khi trả phòng thì còn quên không trả chứng minh thư cho mình. Thật sự rất thất vọng với chất lượng dịch vụ ở đây. Đúng là giá rẻ thì đi kèm với chất lượng thấp. Tôi sẽ không bao giờ quay lại khách sạn này.", tháng 5 năm 2018,
Lavender294,The Light Hotel,4,"Mình ở đây 1 đêm trong chuyến công tác và mọi thứ khá tốt. Nhân viên thân thiện và dịch vụ tốt, phòng sạch sẽ và ổn. Khách sạn gần biển và công viên Sunworld nên có thể đi bộ được. View phòng không được đẹp lắm nhưng cũng thoáng.", tháng 7 năm 2018,
camiatrefs,Khách sạn Kim Dung Hạ Long,3,, tháng 7 năm 2016,
Annie Hoang,The Light Hotel,3,"Giá cả phải chăng, phòng ốc sạch sẽ và nhân viên thân thiện, the light cách bãi chãy, halong park không xa, khách sạn có dịch vụ cho thuê xe máy, tuy nhiên xe hơi cũ. Ở đây mình cũng tiện đi qua cầu bãi cháy để sang hòn gai chơi, thăm quan bảo tàng, núi bài thơ, ... ,Phòng thì không có view đẹp đâu, nhưng cũng thoáng.Tổng thể, tạm chấp nhận được", tháng 5 năm 2017,
Thu Hương P,The Light Hotel,4,Khá may mắn khi tìm được ks này trên booking ngay giữa mùa du lịch. Giá rẻ 600k/ phòng 4 ng/ 1 đêm. Phòng ở rộng rãi sạch sẽ dù chúng tớ ở 4 người. Thiết bị đầy đủ tiện nghi hiện đại. Chú trông cửa vui tính hài hước lại còn dự báo thời tiết rất đúng :)) Cô chủ ở đây cũng cực kỳ thân thiện nhiệt tình chu đáo. VLLị trí khách sạn rất gần biển và quần thể công viên Sunworld như  Typhoon water park và Dragon park nên có thể đi bộ ra. Phòng rất rộng. Điểm trừ là ks nằm trên đồi nên đi bộ lên hơi dốc nhưng bù lại dưới chân dốc có rất nhiều quán ăn và phòng 4 bọn tớ ờ dưới tầng ngầm nên wifi hay sóng 3G hơi yếu :)) nếu có lần sau đi Hạ Long chắc chắn sẽ lại đến đây., tháng 6 năm 2017,Đã du lịch với bạn bè
Mike-jino,The Light Hotel,4,"Tối ngày 20 tôi đã ghé qua khách sạn này,Tôi thấy khá ổn, nhưng bị 1 khuyết điểm là không có view gì cả, nhưng thoáng,giá cả hợp lý nhân viên nhiệt tình, gần các nơi vui chơi như công viên nước và gần chỗ ăn uống", tháng 5 năm 2017,
Ngô T,Khách sạn Kim Dung Hạ Long,3,"Phòng đẹp. Giá hơi đắt. Đường vào gặp mưa thì rất là bẩn, nước đọng trên mặt đường gây khó khăn đi lại cho người đi bộ. Khách sạn cảnh hồ phong cảnh rất đẹp không khí trong lành. Hơi xa trung tâm, không gần bãi tắm.", tháng 2 năm 2018,Đã du lịch với bạn bè
Happiness772382,Halong Paradise Suites Hotel,4,"phòng ốc khách sạn to và đẹp, tuy nhiên khách sạn có điểm trừ là đường ra bể bơi rất xa và biển nhân tạo thì bẩn vô cùng. nhìn chung đáng giá tổng thể thì được. đồ ăn sáng phong phú, nhân viên ngoan ngoãn, nhiệt tình", tháng 7 năm 2018,
An Mai,Halong Paradise Suites Hotel,5,"Khuôn viên khách sạn rất phù hợp để đi bộ buổi sáng, không khí trong lành. Đầy đủ các dịch vụ, đặc biệt với khu biển nhân tạo. Nhân viên rất nhiệt tình. Bữa buffet sáng đầy dinh dưỡng với rất nhiều sự lựa chọn. Dễ dàng đi thăm quan bến cảng, hồ bơi cách 500m di chuyển bằng xe điện rất thuận tiện. Highly recommended!!!", tháng 10 năm 2018,
Long Kyto,Halong Paradise Suites Hotel,4,"Không mấy khi được đi chơi tìm được đến khách sạn này tôi thấy rất ưng ý chất lượng phục vụ tốt khuôn viên sạch sẽ nhà hàng sang trang, các món ăn đa dạng hấp dẫn không khí trong lành các bạn nên đến đây hưởng thụ", tháng 10 năm 2018,Đã du lịch một mình
Andre N,Halong Paradise Suites Hotel,3,"Tôi khá thích vị trí ở khách sạn này, phòng được trang trí sạch sẽ thoáng mát. Tuy nhiện dịch vụ cần được cải thiện, thái độ nhân viên thiếu chuyện nghiệp đặc biệt những lúc đông khách thì không được niềm nở. Hy vọng lần sau trở lại sẽ được nhiệt tình hơn. ", tháng 11 năm 2018,Đã du lịch theo đôi
