name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
mymy123,Luxury Backpackers Hanoi,5,"Tôi ở đây 1 tuần.  nhận viên rất, thân thiên và giúp tôi rất nhiều.  phòng rât sau sẽ.  nhận viêm thận thuan.  ăn sang ngon và tốt.  zin cam ơn ta,t ở mọi người.  chúc mừng năm mới moihahajakznelmxmdlksiwnxoenxlsđxmdomdiwbdowoxmdie", tháng 1 năm 2019,Đã du lịch một mình
Thao123,Luxury Backpackers Hanoi,5,Tôi và bạn của tôi có chuyến tham quan hanoi 2 ngày 1 đêm .Chúng tôi đã chọn luxury backpacker hanoi . phòng rất sạch và đẹp. Nhân viên thân thiện nhiệt tình. James đã giúp chúng tôi đặt hạ long bay và xe đưa đón sân bay . cảm ơn nhiều, tháng 1 năm 2019,Đã du lịch với bạn bè
xuanlan123,Luxury Backpackers Hanoi,5,"Đây là khách sạn tốt nhất ở Hà Nôi. Nhóm chúng tôi có 8 người . nhân viên rất tốt bụng và dễ thương, nhân viên James giúp chúng tôi book tour đi Halonh và Sapa. phòng rất sạch sẽ và thoải mái. tôi sẽ tới đây thêm nhiều lần. xin cảm ơn luxury backpacker.", tháng 1 năm 2019,Đã du lịch với bạn bè
bedeptrai,Delicacy Hotel & Spa,5,, tháng 11 năm 2018,Đã du lịch theo đôi
Josh B,Delicacy Hotel & Spa,5,, tháng 11 năm 2018,Đã du lịch với bạn bè
Hanoitattoo 10 Ngõ Huyện,Luxury Backpackers Hanoi,5,"Đây là khách sạn tốt nhất mà tôi biết. Khách của tôi đã đến Khách sạn và đã được các bạn nhân viên đón tiếp rất nhiệt tình chu đáo và lịch sự. Phòng khách sạn rất sang trọng với WiFi miễn phí, điều hòa không khí hoàn hảo  sạch sẽ và thoải mái.", tháng 8 năm 2018,
Yan B,Delicacy Hotel & Spa,5,"Nhân viên chuyên nghiệp, thân thiện và vui vẻ. ,Phòng ốc sạch sẽ, thoáng.,Quầy bar có view đẹp, đồ uống tuy không đa dạng nhưng chất lượng.,Ra Hà Nội nên trải nghiệm dịch vụ như 5 sao của hotel Delicacy.", tháng 11 năm 2018,Đã du lịch khi công tác
Dungnguyen,Luxury Backpackers Hanoi,5,Chúng tôi có chuyến tham quan đến hà nội và đã lựa chọn ở tại luxury backpackers.nhân viên thân thiện giúp đỡ chúng tôi rất nhiều .anh james giúp chúng tôi đặt xe đón sân bay và Ha long bay 1 ngày rất tuyệt.Phòng khách sạn rất sạch và thoải mãi.cảm ơn mọi người, tháng 1 năm 2019,Đã du lịch với bạn bè
Cannelle D,Delicacy Hotel & Spa,5,, tháng 11 năm 2018,Đã du lịch với gia đình
Adrian B,Essence Palace Hotel & Spa,5,, tháng 2 năm 2019,Đã du lịch với gia đình
Loueen A,Delicacy Hotel & Spa,5,, tháng 11 năm 2018,
Malgosk,Essence Palace Hotel & Spa,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Dee K,Essence Palace Hotel & Spa,5,, tháng 1 năm 2019,Đã du lịch với bạn bè
Hyeon,Essence Palace Hotel & Spa,5,, tháng 2 năm 2019,
Nguyet Rocci,Essence Palace Hotel & Spa,5,, tháng 2 năm 2019,Đã du lịch với gia đình
