name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Hồng Hạnh,Alagon Zen Hotel & Spa,5,"Chúng tôi đã có thời gian nghỉ tại ks  Alagon Zen Hotel & Spa  từ ngày 2/1-4/1/2019. Cảm nhận của chúng tôi về dịch vụ của khách sạn rất tuyệt vời, đặc biệt là bạn Chung -nhân viên hành lý đã chăm sóc khách rất chu đáo. ,Hy vọng thời gian tới sẽ quay lại ở ks các bạn.", tháng 1 năm 2019,
laitrannguyen,Khách sạn Bích Duyên,5,"Tôi đã ở đây 2 ngày với 1 người bạn, phòng đẹp và thoải mái. Nhân viên thân thiện.,Vị trí gần trung tâm để tham quan và tiện lợi di chuyển, ngay khu phố tây. Sẽ trở lại. dịch vụ chấp nhận được với mức giá", tháng 10 năm 2018,Đã du lịch với bạn bè
Khang,Alagon Zen Hotel & Spa,5,"Khách sạn tọa lạc sát bên chợ Bến Thành luôn nên rất thuận tiện để tham quan. Đặc biệt Rooftop bar mình cảm nhận rất hài lòng, view đẹp, cocktail ngon, nhân viên thân thiện. Facilities đầy đủ và bày trí rất đẹp mắt. Sẽ quay lại khi có cơ hội. ", tháng 9 năm 2018,Đã du lịch theo đôi
Go823273,Alagon Zen Hotel & Spa,5,"Vị trí khách sạn tuyệt vời,phòng ngủ tắm sạch sẽ,tiện nghi.Bữa ăn sáng cũng rất ngon.Nhân viên khách sạn cực kỳ nhiệt tình ,thân thiện.Tôi chưa từng đến khách sạn nào tuyệt với như ở đây.Nói chung tôi cực kỳ hài lòng", tháng 10 năm 2018,Đã du lịch với bạn bè
Patrick,Khách sạn Bích Duyên,4,"khách sạn có vị trí trung tâm du lịch. ngay cạnh bên tiệm giặt là, trong mọt con hẻm vui nhộn. Lễ tân rất nhiệt tình, chuyên nghiệp luôn làm hài lòng du khách. tuy nhiên khách sạn quá củ, chìa khóa hơi bất tiện. không có thang máy. ăn sáng quá tệ. hình như cô phục vụ buổi sáng chưa có được học cách phục vụ là như thế nào, có thể cô ấy thật lòng tốt bụng nhưng cách cô nói với khách và đưa thức ăn thì không thiện cảm chút nào. hy vọng qly khách sạn khắc phục được. ", tháng 1 năm 2018,Đã du lịch với bạn bè
Natalie11479,Khách sạn Bích Duyên,5,, tháng 2 năm 2019,Đã du lịch theo đôi
thg251000,Alagon Zen Hotel & Spa,5,"Khách sạn alagon zen là một khách sạn rất tuyệt vời , phòng ngủ có đầy đủ tiện nghi , sạch sẽ  . Đồ ăn buffet rất ngon nhân viên rất tận tình ( uyên , trinh) , chúng tôi sẽ quay lại khách sạn trong thời gian gần nhất , thanks", tháng 10 năm 2018,Đã du lịch với gia đình
Escape822301,Alagon Zen Hotel & Spa,5,"Khách sạn alagon zen là một khách sạn tốt , nhân viên phục vụ tận tình , khi check in vào thì bộ phận lễ tân rất thân thiện ( miss Mai) , phòng ở gọn gàng ngăn nắp, đầy đủ tiện nghi . Chúng tôi sẽ quay lại trong thời gian gần nhất , thanks", tháng 10 năm 2018,Đã du lịch với bạn bè
dvyco,Khách sạn Bích Duyên,5,, tháng 1 năm 2019,
Bi66les70,Khách sạn Bích Duyên,5,, tháng 2 năm 2019,Đã du lịch một mình
ozzycruisers,The Airport Hotel,3,, tháng 4 năm 2019,Đã du lịch theo đôi
KonstantinIliev,The Airport Hotel,5,, tháng 3 năm 2019,
Duy Bảo,Ibis Saigon Airport,3,"Tôi không thích cách ứng xử của một chị tên Đào trong khách sạn IBIS Tân Sơn Nhất.,Thái độ có vẻ khó chịu khi tôi quan sát được kể cả với khách lẫn nhân viên cấp dưới. Mong chị Đào thân thiện hơn với khách hàng lẫn nhân viên.", tháng 3 năm 2019,Đã du lịch một mình
544J101,The Airport Hotel,3,, tháng 12 năm 2018,
canddsyd,The Airport Hotel,4,, tháng 8 năm 2018,
heatherrussellalaska,The Airport Hotel,4,, tháng 11 năm 2018,
thanhxuan31121990,Ibis Saigon Airport,4,"Khách sạn nhìn bên ngoài bình thường nhưng vào bên trong rất đẹp, sạch sẽ văn minh với đội ngũ nhân viên khá lịch sự. Tôi rất thích các món ăn ở đây và các em phục vụ nhà hàng khá nhẹ nhàng và chuyên nghiệp.,Tôi sẽ trở lại đây trong đợi công tác sau tết.,Cám ơn các em.", tháng 10 năm 2018,
jun seo,Ibis Saigon Airport,5,"Khi đến với khách sạn nơi đây điều mà mình cảm thấy hài lòng đầu tiên là phong cách phục vụ của nhân viên nơi đây rất thân thiện, phong cách phục vụ rất chuyên nghiệp.Phòng thì tiện nghi,sắp xếp khoa học.Đặc biệt tụi nhỏ nhà mình rất thích ở đây vì có bể bơi khá rộng và sạch sẽ.đồ ăn cũng hợp khẩu vị nữa,muốn đi tham quan thì có xe đưa đón rất là tiện lợi.,Cảm thấy rất tuyệt khi đến với nơi đây.", tháng 7 năm 2018,
Khang,Ibis Saigon Airport,4,"Thuộc tập đoàn Accor nên mình tương đối hài lòng về mọi thứ. Địa điểm rất rất tiện, sát bên Sân bay Tân Sơn Nhất chỉ vài bước chân vì vậy với mình (thường xuyên bay) thì cực tiện lợi. Nhân viên thân thiện, trang thiết bị đầy đủ, food vừa miệng. ", tháng 8 năm 2018,Đã du lịch theo đôi
Hương Thảo,Liberty Central Saigon Riverside Hotel,5,"Khách sạn có ưu điểm là gần trung tâm Sài Gòn, giá cả phù hợp, bể bơi khá đẹp nằm trên tầng thượng của khách sạn, tuy nhiên hợp với khách Châu Á hơn vì bể bơi hơi nhỏ :) và cũng nhiều khách sử dụng bể bơi vào chiều tối.", tháng 2 năm 2019,
Anna N,Alagon Central Hotel & Spa,5,"Dịch vụ tốt.  Đánh giá rất cao sự phục vụ của nhân viên  tú, thành, tài trong khách sạn. Đồ ăn ngon, thái độ tốt. Phòng thoáng. Vị trí thuận tiện đi lại. Sẽ recommend cho gia đình và người thân ở đây khi đến Tphcm.", tháng 1 năm 2019,Đã du lịch khi công tác
Fer,Ibis Saigon Airport,4,"Khách sạn nằm rất gần sân bay, có xe đưa đón rất tiện.Checkin và out rất nhanh, phòng ốc dễ thương và tiện nghi. nhân viên cực kì thân thiện, đặc biệt các bạn phục vụ tại bar. Bể bơi khá rộng và sạch đẹp. Đồ ăn sáng rất đa dạng, có sẵn ly giấy để khách có thể mang đi. Nói chung, tôi rất hài lòng khi ở đây.", tháng 9 năm 2018,
Trọng Hiếu,Liberty Central Saigon Riverside Hotel,5,"Bên trường Broward College Vietnam vừa tổ chức sự kiện tại đây vào ngày 06/04/2019. Một nơi đẹp và giá cả hợp lý để tổ chức các buổi hội nghị, hội thảo và tiệc. Mình cảm ơn sự trợ giúp của chị Thảo (Bonnie), bạn Vũ (Không biết có nhớ đúng tên không) đã hỗ trợ trường để tổ chức buổi tọa đàm thành công nhé.", tháng 4 năm 2019,
Trinh Cổ,Liberty Central Saigon Riverside Hotel,5,"Công ty tôi có tổ chức tiệc buffet tại đây, để chào mừng BOD mới. Mọi thứ thật tuyệt vời từ dịch vụ đến đồ ăn. Tôi xin cảm ơn bạn Thảo (Bonnine), bạn Trường, bạn Huyền và cả tất cả các bạn trong buổi tiệc hôm ấy (28/3/2019 ). Tôi sẽ ưu tiên đặt tiệc tại đây. Rất tuyệt vời và cảm ơn tất cả các bạn nhé.:))", tháng 3 năm 2019,
cobedethuong_80,Liberty Central Saigon Riverside Hotel,4,"Bể bơi tầng thượng tuyệt vời tuy hơi bé,Nhân viên còn chưa thân thiện lắm, khi check in ko có nước chào đón,Khách sạn trung tâm đi rất gần đến các điểm tham quan,Xung quanh nhiều nhà hàng và cafe tuyệt vời,Phòng ốc sạch sẽ ", tháng 3 năm 2019,Đã du lịch với bạn bè
Hiệp Đặng,Liberty Central Saigon Riverside Hotel,5,"Nhân viên khách sạn phục vụ nhiệt tình, tận tình, chu đáo. Không gian phòng rất đẹp, thoáng mát và thoải mãi. Phòng đầy đủ đồ dùng tiện nghi. View xung quang đẹp khỏi bàn tới . Rất thích hợp đi chơi xả stress với gia đình và bạn bè", tháng 3 năm 2019,Đã du lịch theo đôi
Ben,Alagon Central Hotel & Spa,5,"Thích hợp cho gia đình có con nhỏ thư giãn cuối tuần. Hồ bơi hơi nhỏ nhưng rất sạch sẽ và đa số là khách nước ngoài. ,Nhân viên thân thiện và rất nhiệt tình đặc biệt là anh Jony. ,Sẽ quay trả lại thường xuyên và giới thiệu cho bạn bè.", tháng 12 năm 2018,Đã du lịch với gia đình
nguyenminhthu,Alagon Central Hotel & Spa,5,"Phòng sạch sẽ, thoáng mát, tiện nghi đầy đủ.. Đồ ăn sáng thì ngon và phong phú, điểm dừng chân lí tưởng cho các bạn đến HCM du lịch.,Nhân viên cực kì nhiệt tình,Cảm ơn Mr Tu Nguyen, Nhut, Thanh Nguyen đã rất nhiệt tình, cho gia đình em trong kì nghĩ ở SG trọn vẹn. ,Lần sau sẽ đến", tháng 12 năm 2018,Đã du lịch với gia đình
Angela S,Khách sạn Đức Vượng,5,, tháng 2 năm 2019,Đã du lịch với gia đình
Tour829111,Alagon Central Hotel & Spa,5,"Trước đây mình thường ở khách sạn Nikko, nhưng vị trí đó khá xa trung tâm thành phố nhưng may mắn là do book nhầm ngày nên mình cũng vừa ở được 1 ngày ở đây. Vô tình phát hiện ra ngay trung tâm thành phố có được một nơi ok như khách sạn này. Nhân viên rất nhiệt tình, giá phòng và chất lượng phục vụ rất ok! Lúc check out thì gặp được bạn lễ tân tên là Joe, bạn ấy rất nhiệt tình và dễ thương, lúc nào cũng chào với hỏi thăm làm mình cảm giác cứ như đang ở nhà chứ không phải ở khách sạn vậy đó! Nói chung là khách sạn rất ok, lần sau sẽ book khách sạn này để tiện cho việc đi lại hơn! Good!", tháng 10 năm 2018,Đã du lịch theo đôi
Compass21788914174,Alagon Central Hotel & Spa,5,Khach san hoang hai long khung canh dep tuyet voi minh thich o day co nhieu tro choi vui nhan vien phuc vu vui ve phong oc sach se thoang mat o day con co buffet sang va tra chieu rat tuyet voi rat khuyen khich cac ban o day, tháng 12 năm 2018,Đã du lịch với gia đình
Michele Woods,Khách sạn Đức Vượng,4,, tháng 2 năm 2019,Đã du lịch với gia đình
Daniela,Khách sạn Đức Vượng,5,, tháng 1 năm 2019,
darren subramaniam,Khách sạn Đức Vượng,5,, tháng 12 năm 2018,
Donald O,Khách sạn Đức Vượng,5,, tháng 1 năm 2019,Đã du lịch một mình
813ch_ut,Little Saigon Boutique Hotel,5,"Tôi và chồng tôi qua đêm tại khách sạn sau khi đi chơi về khuya với bạn bè, vì chồng tôi khá say nên chúng tôi quyết định ngủ qua đêm tại đây.,Phòng khá nhỏ nhưng sạch sẽ, nhà vệ sinh là điểm tôi hài lòng nhất, sạch sẽ và khá rộng rãi.,Bữa sáng phục vụ trên lầu 7 tốt, cà phê ngon, view đẹp. Sẽ còn ghé lại vì khách sạn ngay trung, gần chỗ ăn nhậu của chúng tôi.", tháng 12 năm 2015,Đã du lịch theo đôi
Hausi1953,Little Saigon Boutique Hotel,5,, tháng 1 năm 2019,
hoang,Little Saigon Boutique Hotel,5,, tháng 1 năm 2019,Đã du lịch khi công tác
Sylvia  M,Little Saigon Boutique Hotel,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Lucy Y,Little Saigon Boutique Hotel,5,, tháng 1 năm 2019,Đã du lịch với bạn bè
ali d,Silverland Charner Hotel,5,, tháng 4 năm 2019,Đã du lịch theo đôi
YoshiuraFC,Silverland Charner Hotel,5,, tháng 3 năm 2019,
haddlem,Silverland Charner Hotel,5,, tháng 4 năm 2019,Đã du lịch với gia đình
Nicholas Thompson,Silverland Charner Hotel,5,, tháng 4 năm 2019,
Travis,Silverland Charner Hotel,5,, tháng 3 năm 2019,
Traveler830140,Khách sạn Liberty Central Saigon Centre,4,"Hệ thống KS Liberty Central tại Tp. HCM ở khu vực trung tâm thành phố,  rất thuận tiện cho khách lưu trú dù mục đích chuyến đi là công việc, du lịch hay gia đình. Dịch vụ tại đây khá chuyên nghiệp. Nhân viên tận tâm, chu đáo. Dịch vụ phòng đầy đủ, phong phú. Phòng hơi nhỏ và ít ánh sáng nhưng ấm cúng. Nhìn chung là một lựa chọn tốt khi có nhu cầu lưu trú tại khu vực trung tâm thành phố. ", tháng 10 năm 2018,Đã du lịch khi công tác
