name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
thucanh,La Residencia . A Little Boutique Hotel & Spa,5,"Đây là lần thứ 2 mình quay lại đây, cảm thấy rất hài lòng. Mình rất thích không khí ở đây, nhân viên thân thiện Dora va Anna, rất vui khi được hai bạn đón tiếp., Không gian phòng bố trí rất đẹp, chỗ này rất tiện gần phố cổ, đi lại rất thuận tiện. Chắc chắn sẽ quay lại.", tháng 4 năm 2019,Đã du lịch với gia đình
Thu V,Biệt thự Hội An Holiday,5,"Giá thành tương đối hợp lý. Bài trí tương đối sang trọng và tinh tế. ,Chất lượng dịch vụ tốt. Đồ ăn tương đối ngon,Vệ sinh sạch sẽ.,Địa điểm thuận tiện.,Tôi sẽ quay lại đây nghỉ dưỡng nếu có dịp trở lại Hội An.", tháng 11 năm 2016,
Nguyen Hoang Truc Thi,La Residencia . A Little Boutique Hotel & Spa,5,Khách sạn gần phố rất thuận tiện cho việc tham quan của gia đình. Mọi thứ trong phòng đã được hoạt động tốt như mong đợi của chúng tôi. Nhân viên thân thiện đặc biệt là bạn Henry ( nhân viên bảo trì ) và bạn Caroline. Chúng tôi sẽ quay lại khách sạn này lần sau, tháng 2 năm 2019,Đã du lịch với gia đình
Linh Nguyễn,La Residencia . A Little Boutique Hotel & Spa,5,"Khách sạn nằm ngay vị trí thuận lơi,phòng óc thoáng, sạch sẽ, cổ kính nhưng dễ thương, hài lòng về nhân viên. Nếu bạn có ý định ở gần phố cổ thì đây là khách sạn tiện lợi về vấn đề này. Ăn sáng ok ngon ^-^", tháng 11 năm 2018,Đã du lịch theo đôi
Ngân,La Residencia . A Little Boutique Hotel & Spa,5,"Lần đầu gia đình đến khách sạn, dịch vụ tốt, phòng ốc sạch sẽ và đậm chất Hội An. Dora, Caroline, Heri và Linh thân thiện, nhẹ nhàng, lịch sự. Gia đình rất thích và sẽ quay lại trong lần du lịch sắp tới.", tháng 3 năm 2019,Đã du lịch với gia đình
minhtrang400,Biệt thự Hội An Holiday,5,"Phòng trang trí đẹp, dịch vụ tốt, không gian thoáng đãng và đẹp, giá cả tương đối hợp lí.Phòng được trang trí sang trọng và mát mẻ Dịch vụ rất tốt. Tôi sẽ trở lại đây nếu có dịp đến Hội An một lần nữa.", tháng 5 năm 2018,Đã du lịch với gia đình
Hien N,La Residencia . A Little Boutique Hotel & Spa,5,"Khách sạn nhỏ xinh cực đáng yêu giữa lòng Hội An, thật may mắn là vợ chồng mình được upgrade lên phòng suite, chỉ 9 phút đi bộ ra phố cổ . Bữa sáng rất đa dạng và ngon miệng. Bạn lễ tân Dora và Elly rất đáng yêu và thân thiện, also very helpful. Definitely will stay again if i come back", tháng 3 năm 2019,Đã du lịch theo đôi
keotho,Khách Sạn & Spa Venus,5,"mình đã có những trải nghiệm tuyệt vời ở đây.Ngay từ khi bước vào booking phòng đã được mời uống nước chanh và ăn hoa quả.Nhân viên phục vụ rất chu đáo, nhiệt tình, phòng đẹp sạch sẽ, có bàn ghế ở  ban công, phòng tắm cũng rất ok có bồn tắm rộng rãi", tháng 8 năm 2018,
zimbach,Biệt thự Hội An Holiday,5,, tháng 2 năm 2019,
Ran_eamo,Biệt thự Hội An Holiday,5,, tháng 2 năm 2019,Đã du lịch theo đôi
tuyetannnnnnn,Khách Sạn & Spa Venus,5,"Nhân viên thân thiện, phòng triple sạch sẽ, bể bơi đẹp, buffet sáng mặc dù có hơi ít món nhưng các món có sẵn hầu hết rất ngon và hợp khẩu vị. Xe đạp được sử dụng free. Vote là xe đạp siêu xinhhhhhh ", tháng 8 năm 2017,Đã du lịch với bạn bè
Trinh M,Biệt thự Hội An Holiday,5,, tháng 11 năm 2018,Đã du lịch theo đôi
thanhtran0105,Khách Sạn & Spa Venus,5,"Mình đặc biệt ấn tượng với nhân viên khách sạn từ cách các bạn welcome khách. ,Khăn lạnh, nước hoa quả và hoa quả tươi được phục vụ ngay khi chúng mình tới khách sạn. Sau khi hoàn tất các thủ tục check in, bạn Lễ tân đưa cho chúng mình 1 cái bản đồ nhỏ của khu phố. Rất tiện lợi để bỏ túi và đi thăm thú các địa điểm như kế hoạch của chúng mình. ,Vị trí khách sạn năm ngoài khu phố cổ. Rất yên tính. Chỉ mất 5 phút đạp xe hoặc 10 phút đi bộ. Khách ở có thể mượn xe đạp của khách sạn miễn phí. ,Bể bơi ngoài trời tuy nhỏ, nhưng buổi chiều về ánh nắng chiếu đúng hướng bể có thể thoải mái phơi nắng. ,Phòng ở khá rộng và thiết kế hiện đại.", tháng 5 năm 2017,
hoangoclan157,Khách Sạn & Spa Venus,5,"Tôi đã đặt khách sạn này đêm và đã rất hài lòng về dịch vụ ở đây. ,Nhân viên ở đây rất thân thiện và cởi mở. Họ đã giúp ích chúng tôi rất nhiều.,Phòng tuy bé nhưng rất sạch sẽ. Ngủ rất thoải mái. ,Khuyến khích lựa chọn khách sạn này cho nhưng ai phâm vân khi tìm kiếm khách sạn tại Hội An", tháng 10 năm 2016,Đã du lịch với bạn bè
