name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Thu Nguyen,Vinpearl Hotel Huế,5,"Nhân viên Vinpearl rất thân thiện và nhiệt tình, khách của mình ở Hàn về ở 1 đêm và có những phản hồi rất tốt, ca đó có bạn Nhị Trang và bạn lễ tân tên Diệu Huyền rất nhiệt tình và giúp đỡ khách mình hết lòng. Xin cám ơn 2 bạn rất nhiều.", tháng 3 năm 2019,Đã du lịch khi công tác
QuyenLe,Vinpearl Hotel Huế,5,"Chất lượng và dịch vụ tuyệt vời.,Chấm 10 điểm cho thái độ phục vụ đón tiếp của nhân viên ,Buffet sáng đa dạng nhiều món ăn.,Tầng thượng có cafe rooftop tầng 34 view toàn thành phố.,Mình được các bạn Nguyên, Tuyền, Kim Nhã, Quý ( hành lí) hỗ trợ nhiệt tình.", tháng 11 năm 2018,
Navigate01993315746,Khách sạn Thanh Lịch,4,"Tôi và vợ ở phòng 307, được một người bạn giới thiệu nên đến thử. Và tôi không bất ngờ vì ở khách sạn quy mô và rộng lớn. Nhân viên rất chu đáo, tôi rất hài lòng. Nhưng có một điều tôi không vừa lòng một là anh gì tên là Tân, xưng là quản lý khách sạn, tôi thất vọng vì một người đi lau nhà, mô hôi mồ kê, người hôi hám khi tôi đang nói chuyện với chị lễ tân anh ta lại chạy đến ra vẻ này kia và tụe xưng là người có quyền hành, có vấn đề gì cứ trao đổi với anh. Mà thú thật tôi không chê công việc người khác vì tôi cũng xuất thân từ khó khăn ra, nhưng với anh chàng này thì rất ""ra vẻ"" , vợ tôi nhìn anh này mà rất buồn cười. Tôi nghĩ khách sạn quy mô nên tạo hình ảnh nhân viên cho ra dáng leader luôn. Tôi lấy làm xấu hổ cho anh tên là Tân này.", tháng 4 năm 2019,Đã du lịch theo đôi
Thanh Vị,Hotel la Perle - Hue,5,"Mọi thứ ở đây rất tuyệt vời, nhân viên rất thân thiện-nhiệt tình, ăn sáng ngon, tuy phòng hơi nhỏ nhưng sạch sẽ và ổn, khách sạn gần trung tâm rất tiện.,(Nếu có thể bạn nên thay dép trong phòng vì nó không đc đẹp cho lắm),Sẽ quay lại lần sau.", tháng 2 năm 2019,Đã du lịch với bạn bè
Vũ Linh,Vinpearl Hotel Huế,5,"Dịch vụ tốt, nhân viên thân thiện cởi mở với khách. Ấn tượng với nhân viên Phước Bảo, Quỳnh Thi, Thảo Nguyên, Lê Nghĩa rất thân thiện và hướng dẫn tận tình sử dụng các dịch vụ khách sạn. Tôi sẽ quay lại khách sạn này", tháng 10 năm 2018,Đã du lịch với bạn bè
DavidTran111,Hotel la Perle - Hue,5,"Khách sạn với kiến trúc châu Âu rất đẹp, phòng sạch sẽ gọn gàng.Khi đến check in được set up welcome drink, nhân viên nhiệt tình,thân thiện, luôn nở nụ cười trên môi với khách.Khách sạn 3 sao nhưng dịch vụ là 5 sao, nếu có cơ hội tôi nhất định sẽ quay lại.Tôi yêu khách sạn này, tôi yêu con người Huế.", tháng 12 năm 2018,Đã du lịch một mình
Stay24103334407,Vinpearl Hotel Huế,5,"Một lần nữa đến lại vinpearl Huế tôi cực kì thích thú khi ở lại đây, cảm giác như ở nhà, dịch vụ được cải thiện tốt hơn trước, vẫn đặc biệt được gặp lại cậu nhân viên hành lí Phước Bảo nhất nhiệt tình và tinh tế , mọi thứ đều rất tốt từ những bức thư từ tổng quản lý khách sạn , được trải nghiệm ở căn phòng có view đẹp(R2709) và tất cả nhân viên ở khách sạn, tôi đánh giá cao tại nơi đây .", tháng 11 năm 2018,Đã du lịch với bạn bè
EikoVinh,Vinpearl Hotel Huế,5,"Về phòng: mình ở loại phòng excutive suite, phòng rất là rộng và tiện nghi, thích nhất là bảng điều khiển các thiết bị phòng từ xa, có thể bật tắt đèn, quạt từ phòng khách đến nhà tắm, phòng ngủ.,  Dịch vụ tiện ích: được free xông hơi ướt, khô, phòng gym, hồ bơi, rất đẳng cấp.,  Về nhà hàng: thức ăn rất ngon và vừa miệng, đặc biệt là nhà hàng Cung Đình, view rất đẹp, nội thất cao cấp, thiết kế hiện đại; có set món Việt đồ ăn rất nhiều, trang trí đẹp mắt mà giá rất hạt giẻ, chỉ 700k.,  Đặc biệt là có dịch vụ về y tế, free 100% và phục vụ 24/7, nhân viên y tế là nhân viên của bệnh viện vinmec.,  Nhân viên: ân cần, chu đáo, thường xuyên cung cấp thêm nhiều thông tin về các dịch vụ tiện ích kèm theo, vui vẻ, nhiệt tình, có cảm giác như người nhà. Đặc biệt có bạn nhân viên đón tiếp Kim Nhã đã hỗ trợ nhiệt tình mình sắp xếp giờ để mình tham quan phòng tổng thống.", tháng 12 năm 2018,Đã du lịch với bạn bè
Hieu V,Hotel la Perle - Hue,4,"Phòng khách sạn đẹp và được dọn dẹp sạch sẽ, nhân viên thân thiện và nhiệt tình giúp đỡ khách, vị trí thuận lợi gần khu trung trâm và ăn uống, ăn sáng tuy không phong phú nhưng khá ổn, tương xứng với giá trị tiền bỏ ra", tháng 9 năm 2018,
Xuyến Hoa T,Hotel la Perle - Hue,5,"Gia đình tôi ở Huế một ngày tháng 6, một trong những điều ấn tượng nhất là khách sạn. Ngay từ khi check in, nhân viên rất nhẹ nhàng và nhiệt. Chúng tôi đã cảm thấy gần gũi ngay từ phút đầu tiên. ,- Phòng rất sạch sẽ, mọi thứ chu đáo và xinh xắn. Nội thất đẹp, mới và rất tiện nghi. ,- Ăn sáng menu, rất ngon và chuẩn bị tỉ mỉ. Tôi ăn nhiều khách sạn khác, nhưng bữa sáng ở đây thật tuyệt vời,- Nhân viên thân thiện, nhiệt tình và rất nhẹ nhàng đúng điệu gái Huế,Với mức giá phòng như vậy thật xứng đáng đồng tiền bát gạo!!! Nếu có quay lại nhất định tôi không ngần ngại chọn khách sạn này. ,- Tôi sẽ giới thiệu cho bạn bè và khách hàng đến La Perle Huế. Cảm ơn các bạn rata nhiều! ", tháng 6 năm 2018,Đã du lịch với gia đình
