name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
nguyễn n,Khách sạn TriStar,5,"“Nhân viên: Anh chị nhân viên luôn tươi cười, mọi người ai cũng vui vẻ thân thiện,hỗ trợ khách tận tình dù đêm hay ngày.,“Phòng sạch sẽ, giường thoải mái, khách sạn mới và trang trí bắt mắt. Giá cả hợp lí dù trong mùa cao điểm, mình sẽ quay lại nơi này”,“Cho thuê xe máy, gần trung tâm nên từ khách sạn đi đâu cũng khoảng 5-10' ”,ít phòng có ban công, phòng chưa cách âm tốt,thang máy hơi châm.", tháng 4 năm 2018,
Bảo N,Khách sạn TriStar,5,"Khách sạn sạch sẽ, nhân viên thân thiện, chu đáo và chuyên nghiệp.,Có nhân viên hướng dẫn tận tình cũng như hỗ trợ  book tour tham quan các điểm ở Nha Trang và lân cận.,Sẽ là sự lựa chọn đầu tiên khi đến Nha Trang.", tháng 9 năm 2016,Đã du lịch với gia đình
Ha nguyen,Mojzo Inn,5,"Khách sạn ở trung tâm thuận lợi để đi đến các điểm , mới, sạch sẽ, nhân viên nhiệt tình dễ thương. Bữa sáng ok, có phục vụ trà cafe chiều. Chất lượng tốt hơn mình mong đợi so với giá cả.,Nếu có cơ hội sẽ đến lần sau.", tháng 1 năm 2019,Đã du lịch theo đôi
ngdangquang,Mojzo Inn,5,"Nằm trong ngõ 120 Nguyễn Thiện Thuật, bên cạnh một số Hostel và khách sạn giá rẻ khác. Từ đây đi bộ ra biển dọc hết đường Trần Quang Khải (khoảng 200m), thẳng trên bờ biển là Sailing Club luôn đông đúc, cạnh đó là công viên với hàng dừa cao vút xanh mát. Mojzo là một khách sạn khá lý tưởng cho cả khách ta lẫn khách Tây, mặc dù hầu như không có khách Việt tới đây. Khách sạn sạch sẽ và trang trí nội thất rất bắt mắt chắc chắn sẽ làm bạn hài lòng. Nhân viên thì quá là nhiệt tình, tất nhiên là vì công việc thôi, đôi khi nụ cười của họ cũng thể hiện sự mệt mỏi, miễn cưỡng (tất nhiên, một ngày phải cười nói, giải thích cho mấy chục người). Bữa sáng rất tuyệt, quả là không tưởng đối với mức giá thấp của khách sạn, và bạn có thể no tới trưa. Phòng ăn trên tầng 6, là nơi khá thoáng, có thể ngắm sân bay cũ và rặng núi xa xa. Phòng sinh hoạt chung, cũng là phòng du khách có thể nằm, ngồi thoải mái để đợi lấy phòng hay khi trả phòng xong, có nhà vệ sinh và cả tắm nếu muốn. Tóm lại, so với Hostel kiểu 5foot bên Singgapore thì nơi đây vượt trội về dịch vụ, nội thất, và tất nhiên, giá rẻ.", tháng 1 năm 2016,
meohoangotmauxanh,Khách sạn TriStar,5,Dịch vụ khách sạn ổn. Mọi thứ đều tốt. Từ thái độ phục vụ của nhân viên đến chất lượng phòng. Với tôi như thế này đã là thoải mái và tốt. Khi có dịp chúng tôi sẽ quay lại. Không khí trong lành. Phòng dễ thương., tháng 1 năm 2018,
chinhiz,Khách sạn TriStar,3,"Phòng tiêu chuẩn của khách sạn tương đối nhỏ ,mọi thứ đều được tối giản đến mức cao nhất nhưng không gian vẫn rất chật hẹp . Giá cả thuộc loại chấp nhận được chứ không phải rẻ lắm như 1 số đánh giá . Khoảng cách ra biển tương đối xa được 1 điểm bù lại là ra nha trang center khoảng 500m nên có thể ăn nhẹ và ngắm biển được . Ăn sáng gọi món rất bình thường . Cơ sở vật chất cũng đã có dấu hiệu xuống cấp ,phòng cách âm kem nói chung là bình thường.", tháng 4 năm 2017,
Vy Ho,Diamond Bay Resort & Spa,5,"Một địa điểm tuyệt vời để tổ chức tiệc cưới. Bãi biển rất đẹp, sạch, riêng tư, dịch vụ tổ chức tiệc cưới rất chuyên nghiệp, trang hoàng không gian quá đẹp trên mức mong đợi của tôi, nhân viên phục vụ rất tốt, tận tình, chu đáo, chuyên nghiệp, đồ ăn rất ngon và đa dạng, xứng đáng tiêu chuẩn 5 sao đẳng cấp, giá cả rất hợp lý so với các địa điểm khác theo tiêu chuẩn 5 sao. Cảm ơn Diamond Bay đã cho tôi có 1 tiệc cưới thành công tốt đẹp và rất đặc biệt. Tôi rất hài lòng khi đã tổ chức tiệc cưới tại nơi đây và sẽ giới thiệu cho người thân, bạn bè nơi này nếu có nhu cầu tổ chức tiệc cưới.", tháng 3 năm 2019,
chính trực N,Khách sạn TriStar,4,"Phòng khá nhỏ, cách âm chưa được tốt ở phòng mình mà vẫn nghe phòng đối diện nói chuyện, nhân viên lễ tân thân thiện và chuyên nghiệp nhưng dịch vụ dòn phòng chưa tốt lắm, phòng vẫn còn rác và bụi, nói chung sẽ quay lại vào những đợt du lịch sau", tháng 3 năm 2017,
Camila S,Mojzo Inn,5,, tháng 12 năm 2018,Đã du lịch theo đôi
Erin C,Mojzo Inn,5,, tháng 12 năm 2018,
muoinguyenthi,Diamond Bay Resort & Spa,5,"Không gian đẹp, thiên nhiên, phục vụ rất chuyên nghiệp , nơi nghỉ dưỡng rất tốt.nơi đây rất rộng cảm gia như một thành phố thu nhỏ , đi chuyển bằng xe điện hoặc xe đạp tham quan nhiều nơi. Có khu vực hồ bơi rộng và đẹp từ tự nhiên và nhân tạo . Bãi biển nhiều ơn tại một vịnh nổi tiếng của nhà trang . Đến nơi này còn tham quan được các hình người mẫu trên thế giới và Việt nam. Nước uống và thức ăn rất ngon trong gian nhà ăn rộng được thiết kế và trang trí rất đẹp. Nơi tiếp đón đoàn thì đẹp sang trọng , đội ngũ nhân viên chuyên nghiệp , lịch sụ, tận tình phục vụ. Và đặc biệt có đoàn xe chuyên tâm phục vụ đưa đón đến mọi nơi như sân bay và trung tâm thành phố. Siêu thị mua sắm của resort thì phong phú rất nhiều đồ để lựa chọn. Nếu thiếu sót không chọn lựa cho gia đình món quà sức khỏe là yến khánh hoà . Nem ninh Hoà ..... à còn thật đáng tiếc nếu không nói là việc đắm mình vào khu nước nóng khoáng và tắm bùn trăm trứng . Thì ôi thôi thích ơi là thích", tháng 12 năm 2016,Đã du lịch với gia đình
