name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
aaronparker8,Phi Hung's Unique Homestay,5,, tháng 2 năm 2019,Đã du lịch theo đôi
shutchisca,Phi Hung's Unique Homestay,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Jack B,Phi Hung's Unique Homestay,5,, tháng 1 năm 2019,Đã du lịch theo đôi
becky e,Phi Hung's Unique Homestay,5,, tháng 12 năm 2018,
papapip,Tam Coc Family Hotel,3,, tháng 3 năm 2019,
Martin Z,Tam Coc Family Hotel,5,, tháng 3 năm 2019,Đã du lịch với bạn bè
Nicole F,Tam Coc Family Hotel,4,, tháng 2 năm 2019,Đã du lịch theo đôi
Luke W,Phi Hung's Unique Homestay,5,, tháng 12 năm 2018,Đã du lịch theo đôi
netali s,Tam Coc Family Hotel,5,, tháng 1 năm 2019,Đã du lịch với bạn bè
Nguyen Do D,The Vancouver Hotel Ninh Binh,5,"Khach san nam trong hem nhung de tim, xung quanh co nhieu quan an ngon mieng. Phong KS co dien tich vua du, khong qua chat hep. Tien nghi noi that dep, duoc bao tri tot. Nguoi quan ly KS chu dao, tu van nhiet tinh.,Se quay lai KS khi tro lai Ninh Binh.", tháng 6 năm 2018,
NgocNTB,The Vancouver Hotel Ninh Binh,5,"Phòng và khách sạn là khá mới và tất cả mọi thứ được duy trì tốt và sạch sẽ. Người quản lý là rất thân thiện, ông đề nghị chúng tôi một số nơi để đi và chúng tôi tổ chức một trình điều khiển. Nó thực sự là tốt đẹp. Rất khuyến khích.",,
Roger N,The Vancouver Hotel Ninh Binh,5,, tháng 3 năm 2019,
youbloodytourist,Tam Coc Family Hotel,5,, tháng 1 năm 2019,
BRIAN R,The Vancouver Hotel Ninh Binh,5,, tháng 1 năm 2019,
RobnG,The Vancouver Hotel Ninh Binh,5,, tháng 11 năm 2018,
TraceyMelb,An Phu Home Stay,5,, tháng 3 năm 2019,Đã du lịch theo đôi
Emma J,Nhà nghỉ Chez Loan,5,, tháng 2 năm 2019,Đã du lịch với gia đình
Lisaka,An Phu Home Stay,5,, tháng 12 năm 2018,Đã du lịch theo đôi
carolemilie,An Phu Home Stay,5,, tháng 11 năm 2018,Đã du lịch theo đôi
PierCour,Nhà nghỉ Chez Loan,5,, tháng 7 năm 2018,
MattWB,An Phu Home Stay,5,, tháng 11 năm 2018,
Phuc G,Ngoc Anh Hotel,4,"Tôi đã lưu trú tại KS Ngọc Anh trong 05 ngày để thực hiện chuyến du lịch bụi một mình. Khách sạn nằm ngay trung tâm thành phố Ninh Bình, tiện nghi tốt, sạch sẽ, giá cả phải chăng, đặc biệt ấn tượng là sự mến khách và thân thiện của chủ KS cũng như các nhân viên của KS, đây thật sự là một địa chỉ đáng tin cậy để lưu trú và du lịch Ninh Bình. Mọi thông tin du lịch cũng như sự trợ giúp các bạn có thể tìm thấy tại KS này.,P/S: gửi lời cảm ơn chân thành đến Mrs. Ninh, Mr. Hạnh và Mr. Phương nhé.", tháng 2 năm 2017,
Rich T,An Phu Home Stay,5,, tháng 11 năm 2018,Đã du lịch với gia đình
Valerio S,Nhà nghỉ Chez Loan,4,, tháng 8 năm 2018,Đã du lịch theo đôi
Donna I,Nhà nghỉ Chez Loan,2,, tháng 7 năm 2018,
discoverytrip2015,Ngoc Anh Hotel,5,"Chúng tôi  5 người du lịch kết hợp công tác. Ưu ái vị trí tốt của tỉnh lẽ, nơi đây đi đến di sản văn hóa thế giới gần. Giá tốt, hợp vệ sinh và quản lý ở đây thân thiện. Nên đến và giới thiệu cho nhiều người cùng tham gia. Tốt", tháng 1 năm 2015,Đã du lịch khi công tác
billfromtampa,Ngoc Anh Hotel,5,, tháng 3 năm 2019,
55erica,Ngoc Anh Hotel,5,"6 người trong số chúng tôi đã được nhân viên rất thân thiện đón tại nhà ga xe lửa. Chúng tôi rất ấn tượng với khách sạn này vì phòng ở và phòng tắm lớn của họ. Các phòng này đều rất rộng rãi, sạch sẽ và sáng bóng với sàn nhà lát đá cẩm thạch. Ga giường và khăn đều rất sạch sẽ và trắng trông giống như sử dụng hàng mới vậy.,Người quản lý, Bà Thanh Bình và nhân viên của bà rất tốt bụng khi sắp xếp hành trình thú vị cho chúng tôi khi chúng tôi ở đó trong 3 ngày. Người tài xế tuyệt vời của chúng tôi thường xuyên rửa sạch và đánh bóng chiếc xe thuê của chúng tôi. Chúng tôi cảm thấy rất thoải mái khi ngồi trên chiếc xe của anh ấy. Thậm chí anh ấy còn bật một vài băng cát-xét với nhiều bài hát hay mà chúng tôi muốn nghe. Dường như anh ấy biết chính xác những bài chúng tôi muốn nghe trong tâm trí! đây là một điểm cộng lớn khi ngồi trên xe cùng với anh để đi khắp nơi.,Bữa sáng kiểu Âu ngon - do Đầu Bếp Tuyệt vời, Ning nấu.",,
Khoapda,Ngoc Anh Hotel,5,"Khách sạn ngay trung tâm nên rất thuận tiện cho việc thăm quan du lịch. Giá cả hợp lý, phòng ốc sạch sẽ. Đặc biệt là anh quản lý ở đây rất tốt, rất tận tâm hướng dẫn khác. Có thể hỏi anh ấy dịch vụ xe ôm thuê nguyên ngày dể tham quan.", tháng 6 năm 2015,
Red Nose,Khách sạn Nam Hoa,4,"Như nhiều người nhận xét thì khách sạn này cũ thật nhưng vị trí rất thuận tiện. Gần ga Ninh Bình, có thể đi bộ ra bến đò Tam Cốc, khá gần Thung Nham, gia đình chủ rất tốt bụng và nhiệt tình. Có phục vụ đồ ăn, khá nỗi tiếng trong vùng về đặc sản về dê ( cái này là nghe mấy cô lái đò ở Tam Cốc chỉ).,Tình trạng phòng không giống nhau. Phòng 3 giường dù hơi cũ nhưng rất rộng, cảm giác như ở 8-10 người cũng thoải mái. phòng 1 giường đôi thì đẹp, mới, nhưng hơi nhỏ. Chúng tôi đi 4 nữ 2 nam ở 2 phòng đó rất thoải mái. Tivi cũ và tín hiệu hơi trục trặc nhưng thực sự là đi chơi là chính, chỗ ăn ngủ thoải mái, nên chúng tôi bỏ qua tất cả.,Giá thuê xe ở đây cũng như chỗ khác thôi. Chất lượng xe thuê cũng hơi tàng, nhưng phanh, gương, lốp xe ổn là được.,Quên nữa, recommend mọi ngưòi thử món lẫu dê và dê xào lăn. 6 thanh niên béo tốt ăn no nê thậm chí là còn dư, chỉ hết 900k", tháng 2 năm 2017,Đã du lịch với bạn bè
fargovespa,Limestone View Homestay,5,, tháng 12 năm 2018,
robinsoncity,Khách sạn Nam Hoa,5,"Chúng tôi quyết định chọn Nam Hoa Hotel sau khi tìm hiểu qua các đánh giá về khách sạn này, và đây là quyết định vô cùng đúng đắn. Chúng tôi ở lại hai đêm tại khách sạn và thuê một chiếc xe máy để đi lại các điểm du lịch xung quanh. Mặc dù khá xa trung tâm thành phố nhưng đây là địa điểm lý tưởng để nghỉ lại nếu đến du lịch tại Ninh Bình, vì đa số các khách sạn ở Ninh Bình đều nằm trên đường quốc lộ ồn ào và đông đúc, khách sạn Nam Hoa bên ngoài tuy cũ nhưng phòng ốc được chuẩn bị sạch sẽ, đặc biệt là phòng tắm mới rất đẹp và tiện nghi. Ăn sáng khá đơn giản phù hợp với người nước ngoài bao gồm bánh mì, pancakge, bánh ngọt, trứng rán hoạc ốp la, một ly nước ép và trà cà phê ... rất lịch sự và ngon miêng ngay cả đổi với người Việt Nam. View từ nhà hàng tầng 7 rất đẹp, nhìn thấy núi non trùng điệp và các vựa lúa xung quanh. Nhân viên luôn có nụ cười thường trực trên môi, có vẻ toàn bộ là thành viên trong gia đình. Tôi chắc chắn sẽ quay lại KS này nếu có dip đến Ninh Binh.", tháng 5 năm 2016,
GVancouver,Khách sạn Nam Hoa,3,"Nam Hoa là một khách sạn cơ bản và tốt. Nó hơi cũ kỹ và quá hạn nhưng sạch sẽ và được bảo trì tốt. Phòng có điều hoà và nhiều ổ cắm điện chấp nhận đầu cắm của Mỹ để sạc lại toàn bộ thiết bị cho bạn. Có wifi tốc độ cao miễn phí. (Tại sao những khách sạn kinh doanh 4 sao khác giá đắt gấp 4 lần nơi này lại không có nhỉ ???) Khách sạn ở trên đường chính, cách quảng trường và bến thuyền khoảng một hai khu phố. Khu này về đêm hầu như chết nên dù là đường chính nó cũng rất yên tĩnh. Bữa sáng cơ bản như mọi thứ khác. Bánh mì que tươi, trái cây tươi, trứng và trà hoặc cà phê. Cũng ngon và thoả mãn nhưng chẳng đoạt giải nào đâu. Chủ nhân nói tiếng Pháp (có lẽ điều đó giải thích vì sao bữa sáng lại có bánh mì que và trang web tiếngh Pháp) nên những ai nói tiếng Pháp sẽ thấy như ở nhà vậy. Nó không phải là nơi cao cấp 5-sao nhưng nếu bạn muốn một khách sạn sạch sẽ, yên tĩnh với mức giá phải chăng thì khách sạn này rất phù hợp.",,
Alex Webb,Khách sạn Nam Hoa,5,, tháng 4 năm 2019,Đã du lịch với gia đình
Thomas,Khách sạn Nam Hoa,5,, tháng 1 năm 2019,Đã du lịch với gia đình
345sharon57,Limestone View Homestay,5,, tháng 11 năm 2018,Đã du lịch với gia đình
Dangthuhien,Nhà nghỉ Chez Loan,5,"Tôi đã nghỉ tại khách sạn 2 đêm cùng với gia đình và rất ấn tượng với phong cách phục vụ của khách sạn. Chị Loan vô cùng thân thiện, lễ tân rất nhiệt tình. Mọi người đã tư vấn chương trình tour cho tôi rất chu đáo.,Trang thiết bị của Bungalow cũng rất đầy đủ và tiện nghi. Bên cạnh đó, khách sạn còn cho khách mượn xe đạp miễn phí để đi khám phá khu vực xung quanh. ,Nếu có cơ hội quay lại Ninh Bình, nhất định tôi sẽ nghỉ tại khách sạn.", tháng 1 năm 2016,
Grace A,Limestone View Homestay,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Shelly,Limestone View Homestay,5,, tháng 11 năm 2018,Đã du lịch với bạn bè
Fangqi_A,Limestone View Homestay,5,, tháng 11 năm 2018,Đã du lịch với bạn bè
Hieu V,La Belle Vie Tam Coc Homestay,4,"Check in có trục trặc trong việc đóng, mở phòng của khách sạn. Tuy nhiên, nhân viên cũng đã xử lý kịp thời, ổn thỏa và tôi khá hài lòng cách xử lý này. Về phòng ốc hơi hướng cổ điển, vườn cỏ, hoa xinh đẹp được chau chuốt, dù có nhiều côn trùng như muỗi nhưng cũng có màn và thuốc xịt, thức ăn sáng và trưa tương đối, chưa hợp khẩu vị cho lắm. Tuy nhiên, có thể đánh giá đây là một khách sạn tốt từ vị trí đến nhân viên và cả phòng ốc; sẽ giới thiệu bạn bè khi thăm viếng Tam cốc, bích động./.", tháng 3 năm 2018,
Khoa T,La Belle Vie Tam Coc Homestay,5,"Để cảm nhận hết cái chất hoang sơ của Tam cốc, mình lựa chọn ở tại La Bella Vie ngay gần bến đò. Đây là lần đầu tiên mình ở tại một homestay và thật may mắn là mình được tiếp đón bởi gia đình người chủ rất nhiệt tình, thân thiện. Họ quan tâm, chăm chút đến từng chi tiết trong phòng, luôn nhiệt tình chỉ dẫn mình về các địa điểm tham quan và các món ăn đặc sản của Ninh bình. ,Mình rất may mắn khi được upgrade lên hạng phòng có view nhìn ra vườn rất mát và đẹp, phòng vô cùng sạch sẽ, ngăn nắp. Các vật dụng đều được trang bị đầy đủ, hiện đại và nhân viên luôn sẵn sàng nếu bạn có yêu cầu gì thêm. ,Homestay cũng phục vụ các món ăn Âu, Á rất hợp khẩu vị. Thức ăn gọi theo Set rất nhiều, giá cả hợp lý. Mình thích nhất là thưởng thức món ốc núi đặc sản với nước chấm rất ngon và món dê núi cơm cháy cũng k hề kém cạnh. ,Mọi người ở đây luôn sẵn sàng giúp đỡ khi bạn cần chỉ đường đến 1 điểm tham quan, họ còn giúp bạn lên lịch tham quan sao cho hợp lý. Ở đây còn có dịch vụ thuê xe đạp để tham quan xung quanh, xe đạp rất mới, bảo đảm an toàn.,Mình từng du lịch nhiều nơi và việc thuê xe máy đúng là một trò may rủi, nhưng ở đây, gia đình sẵn sàng chọn cho bạn chiếc xe tốt nhất mà họ thường đi giúp việc tham quan dễ dàng hơn rất nhiều.,Nếu quay lại Ninh Bình, mình sẽ dành nhiều thời gian hơn ở tam cốc và vẫn chọn ở tại La Belle Vie", tháng 9 năm 2016,
La P,La Belle Vie Tam Coc Homestay,5,"Tôi thích nơi này. Cám ơn#Labellevie,#Tamcoc. ,Nhân viên hỗ trợ rất tốt việc lưu trú. Thức ăn và nước uống ngon. Có khu du lịch động #Tam Cốc. Đường đi đến đây thuận tiện nếu di chuyển từ Hà Nội mất khoảng 1 tiếng 15 phút bằng oto đi vào đường cao tốc.", tháng 7 năm 2018,Đã du lịch một mình
Hugo B,La Belle Vie Tam Coc Homestay,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Jan L,La Belle Vie Tam Coc Homestay,3,, tháng 1 năm 2019,Đã du lịch với gia đình
Eleanor A,Tam Coc Sunshine Homestay,5,, tháng 4 năm 2019,Đã du lịch theo đôi
go_fun_return123,Tam Coc Sunshine Homestay,5,, tháng 3 năm 2019,
Amanda H,Tam Coc Sunshine Homestay,5,, tháng 4 năm 2019,Đã du lịch với bạn bè
Cleveland S,Tam Coc Sunshine Homestay,5,, tháng 3 năm 2019,Đã du lịch theo đôi
Carlos D,Tam Coc Sunshine Homestay,5,, tháng 12 năm 2018,Đã du lịch theo đôi
Foxhat Nomads,Green Papaya Home Stay,5,, tháng 3 năm 2019,
Jowita de Cracovie,Green Papaya Home Stay,5,, tháng 2 năm 2019,
