name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Joe,Herbal Hotel & Spa,5,, tháng 12 năm 2018,Đã du lịch với gia đình
Wout Willem v,Herbal Hotel & Spa,5,, tháng 10 năm 2018,Đã du lịch với bạn bè
Maria,Herbal Hotel & Spa,5,, tháng 12 năm 2018,Đã du lịch theo đôi
TuanK2019,Khu nghỉ dưỡng Grace Boutique,5,"Gia đình nhỏ chúng tôi vừa có kỳ nghỉ weekend thú vị tại đây. Resort đẹp, yên tĩnh, trong lành. Phòng khá sạch sẽ, điểm tâm ngon miệng, view đẹp. Buổi sáng ngồi nhâm nhi ly cà phê tại quầy bar nhìn ra biển thật tuyệt vời. Resort nằm gần các restaurant, bar, shop... nên cũng khá thuận tiện.  ,Đặc biệt cô chủ dễ thương và vui vẻ. Các nhân viên thân thiện và gần gũi.,Chúng tôi khá hài lòng và hy vọng lúc nào đó sẽ quay lại.,We Love Grace boutique res. Mui ne.", tháng 3 năm 2019,Đã du lịch với gia đình
Stacy6767,Herbal Hotel & Spa,4,, tháng 10 năm 2018,
Hugo,Khu Nghỉ Dưỡng Bốn Biển,4,, tháng 2 năm 2019,Đã du lịch theo đôi
karimyaacoub,Herbal Hotel & Spa,5,, tháng 11 năm 2018,Đã du lịch một mình
Quỳnh Trâm,Khu Nghỉ Dưỡng Bốn Biển,1,"1/ Tiếp tân quá tệ,2/ Để khách Nga lộng hành lấn át khách Việt,3/ Giá thực tế bán tại ks chỉ tầm 1tr5, Agoda đôn lên gấp đôi và nói là giảm giá.,4/ Phòng ốc cũ và quá bình thường để có giá trên.,5/ Phòng không có ổ cắm điện,6/ Thiết bị quá cũ.,7/ Toilet hư dụng cụ xả nước.", tháng 1 năm 2019,Đã du lịch với gia đình
familytriphk,Khu Nghỉ Dưỡng Bốn Biển,5,, tháng 1 năm 2019,Đã du lịch với gia đình
Netta_Koo,Khu Nghỉ Dưỡng Bốn Biển,3,, tháng 11 năm 2018,Đã du lịch với bạn bè
Changlee96,Khu nghỉ dưỡng Grace Boutique,5," Cũnh k nhớ là đến đây năm 2016hay 2017 nữa.nhưng t và bạn t vẫn nhớ như in những khoẳnh khắc đẹp và thú vị,Ở đây đk ăn bữa sáng thật bổ ích và ngon k thể cưỡng lại và chúng t đã ở đó 2 ngày 1 đêm,Sau khi chúng t rời đi là những lời cảm ơn từ ban quản lý khách sạn và lời chào tạm biệt từ nhân viên lễ tân và bồi phòng,Thật tiếc khi phải về.llúc chuẩn bị ra sân bay thì chúng t đk đón bởi xe khách sạn.cảm thấu thật hạnh phúc và thoải mái,Sẽ trở lại một ngày gần nhất", tháng 5 năm 2018,Đã du lịch với bạn bè
Phan_Mai_Huong,Khu nghỉ dưỡng Grace Boutique,5,"- Từ cổng vào cảm nhận ngay được sự đáng yêu của resort với hương hoa thoang thoảng, con đường nhỏ dẫn vào phía trong mở ra khung cảnh của bãi cỏ, hoa lá, hàng dừa chạy ra biển, 2 em cún dễ thương chạy loăng quăng. Sự đối lập giữa nét hiện đại và cổ điển của resort với sự mạnh mẽ dữ dội của sóng biển suốt ngày đêm vỗ vào bờ đá tung bọt trắng xoá tạo nên vẻ sinh động và quyến rũ của nơi đây.,- Gạch lát, hoa văn trên đệm ghế ngồi tươi sáng nhưng không loè loẹt mà tinh tế, hài hoà với cảnh quan chung.,- Hầu hết các phòng có ban công kê bàn ghế ngồi thư giãn nhìn ra biển, bể bơi, vườn,... thoáng mát; các góc nhỏ ở ban công chung cũng trở thành nơi phóng tầm mắt nhìn ra xung quanh.,- Nhà hàng ăn sáng nhìn ra biển với 3 cây dù mái lá hình nấm là điểm nhấn đẹp cho không gian hướng biển; đồ ăn sáng ngon, đa dạng; có nước uống mừng khách đến.,- Góp ý: cần kiểm tra lại P.305 vì không có nước nóng vào khoảng 2:00 AM và 8:00 AM ngày 01/01/2019. Cửa nhà tắm không gắn được vào tường (chắc do chốt cố định bị hỏng). Vì mình cần dùng nước nóng vào sáng sớm và lúc gần check out nên không tiện báo khách sạn ngay mà chỉ báo được khi check out, hi vọng sẽ sớm được khắc phục cho khách sau. Và khu vực mái lá hình nấm đang thi công phần cát nền, bể bơi vô cực nhìn ra biển bị chắn bởi ghế nằm phơi nắng.,- Đánh giá chung: 4,8/5", tháng 12 năm 2018,Đã du lịch theo đôi
