name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
HuynyG,Anja Beach Resort & Spa,4,, tháng 7 năm 2018,Đã du lịch với gia đình
mountaintortoise,Anja Beach Resort & Spa,5,, tháng 12 năm 2017,
viviangem,Anja Beach Resort & Spa,5,, tháng 6 năm 2018,
buingocminhtrang0501,Anja Beach Resort & Spa,5,, tháng 6 năm 2018,Đã du lịch theo đôi
Lâm N,Cottage Village,5,"nhân viên rất nhiệt tình, một trải nghiệm rất thoải mái và hài lòng. Tôi đã có những ngày thư giãn cùng bạn bè rất đáng nhớ tại đây. Bạn bè tôi còn rủ sau này có dịp sẽ quay lại nơi đây. Phục vụ chu đáo nhiệt tình, dễ thương hết chỗ chê.", tháng 12 năm 2016,
Ngọc L,Green Bay Phu Quoc Resort & Spa,4,"Cảnh biển đẹp tuyệt . Đường đi ban ngày tươi mát , ban đêm tối tăm hoang vu cần thiết kế lại . ,Nhân viên lịch sự nhã nhặn . Tôi có uống một loại cocktail có matcha , vị ko ngon đắng hỗn cho cảm giác rất khó chịu , hương ko thơm  .Sự kết hợp này không hợp lý cần xem lại .Các Bạn nên kiểm tra phản hồi của khách đặc biệt là những loại cocktails sáng tạo .", tháng 9 năm 2018,Đã du lịch theo đôi
Explore780970,Camia Resort & Spa,5,"- Gia đình mình đã được resort nâng hạng phòng lên villa miễn phí khi thấy có em bé, cho mượn cũi miễn phí, xe resort đưa đón sân bay và đi ra bãi Ông Lang miễn phí. Đồ ăn tại bar cạnh bãi biển khá ngon, k đắt so với chất lượng và số lượng. Vừa ăn vừa ngắm hoàng hôn + nghe nhạc rất tuyệt. ,-  Resort rất thích hợp cho những gia đình hoặc cặp đôi đi nghỉ dưỡng vì rất yên tĩnh, đẹp, giường rất êm, nhân viên thân thiện, đồ ăn sáng ngon và đa dạng, có hồ bơi và khu vui chơi cho trẻ em riêng. Hồ bơi được làm sạch mỗi sáng và k hề có mùi clo. Resort mới nên mọi thứ trong phòng đều rất mới và sạch sẽ. ,- Không thích hợp với các bạn muốn ở gần khu trung tâm. Quanh resort không có nhiều hàng quán sầm uất. Đi taxi từ resort đến thị trấn Dương Đông mất khoảng 130k. ,- Bãi biển của resort là bãi đá nhé, chỉ thấy Tây xuống tắm thôi. Resort có xe đưa sang bãi Ông Lang vào buổi sáng và buổi chiều nên vẫn ok. ,Kết luận: Gia đình mình rất hài lòng với Camia resort, nếu có lần sau đến PQ mình sẽ tiếp tục ở lại đây.", tháng 10 năm 2018,Đã du lịch với gia đình
FlavioM,Anja Beach Resort & Spa,5,, tháng 6 năm 2018,Đã du lịch theo đôi
Linh T,Cottage Village,5,"Trước khi đặt khách sạn cũng không kì vọng gì . Vì đặt gấp quá,  đi theo cảm hứng .Nhưng  khi đến nơi, ở tại khách sạn  thì nói thật là nó tốt hơn mình mong đợi rất nhiều. ,Không gian tốt,  dịch vụ chu đáo, nhân viên nhiệt tình , cảnh đep..... không còn gì để có thể chê nữa luôn.  Nói chung là quá tuyệt .  Mình Sẽ quay lại", tháng 4 năm 2017,Đã du lịch theo đôi
Gintarė S,Cottage Village,5,, tháng 3 năm 2018,Đã du lịch với bạn bè
Hải Yến T,Camia Resort & Spa,5,Resort quy hoạch đẹp. Nội thất tiện nghi. Phục vụ rất chuyên nghiệp. Buffe sáng ngon. Thích hợp cho du lịch cặp đôi hoặc gia đình. Sẽ dắt gia đình và bạn bè ghé lại nếu có cơ hội ra phú quốc du lịch.., tháng 2 năm 2018,Đã du lịch với bạn bè
venny,Cottage Village,5,, tháng 3 năm 2018,Đã du lịch theo đôi
trangsara,Cottage Village,5,"Gia đình chúng tôi đã có một kỳ nghỉ tốt đẹp ở đây, tuy nhiên đi ngay những ngày mưa nên chúng tôi cũng không có nhiều hoạt động ngoài trời. Dịch vụ tốt, thức ăn ngon, đi ra biển cũng khá gần tầm 10p đi bộ. Khách sạn có cho thuê xe đạp miễn phí, phòng ấm cúng, sạch sẽ, nhân viên thân thiện và nhiệt tình. Tôi sẽ giới thiệu cho người thân mình chỗ nghỉ lý tưởng này.", tháng 6 năm 2015,Đã du lịch với gia đình
Cadee C,Camia Resort & Spa,5,, tháng 1 năm 2019,
NickIbizaHire,Camia Resort & Spa,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Carlyh33,Camia Resort & Spa,3,, tháng 1 năm 2019,Đã du lịch theo đôi
Deborah P,Green Bay Phu Quoc Resort & Spa,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Jungnie M,Sunshine Bungalow,5,"Tuyệt vời! Phòng ốc sạch sẽ, rộng rãi, thiết kế bài trí căn phòng cũng rất đẹp. Khu này ngay gần biển nên rất tiện đi lại, vừa yên tĩnh lại nhỏ nhỏ xinh xinh. Rất thanh bình! Nhất định sẽ quay lại! ", tháng 8 năm 2016,Đã du lịch với gia đình
ToneBone01,Green Bay Phu Quoc Resort & Spa,5,, tháng 2 năm 2019,
Aline BR,Green Bay Phu Quoc Resort & Spa,4,, tháng 12 năm 2018,Đã du lịch theo đôi
Soloentre,Green Bay Phu Quoc Resort & Spa,5,, tháng 12 năm 2018,Đã du lịch với gia đình
thanhkhoi18,Khu nghỉ mát Eo Xoài,5,"Toi khong con tu nao de dien ta cho het ve dep noi day khi hoang hon buong xuong,wow !!!!! nhan vien thi than thien, khong khi thi tuyet voi vo chong toi co mot ky ngoi that su thoi mai sau nhung thang nay lam viec vat va. cam on khach san da cho chung toi nhung ngay binh yen nhat, thank you so much", tháng 7 năm 2016,
andyle666,Khu nghỉ mát Eo Xoài,5,"Nếu muốn du lịch nghỉ dưỡng thì đây là một nơi thích hợp. ,2 vợ chồng mình và cả em bé trong bụng đã thực sự được thoải mái khi đến đây. ,- Phòng view ra biển, rất đẹp, tiện nghi trong phòng tương đối ổn. ,- Địa điểm resort tuy có hơi xa thị trấn một chút, nhưng cũng không phải vấn đề lớn, bạn có thể thuê xe máy / taxi để khám phá Phú Quốc rất dễ dàng. Nhân viên khách sạn sẽ nhiệt tình hỗ trợ và giúp bạn trong vấn đề này. ,- Nhà hàng view rất đẹp, nhất là buổi chiều tối, nếu có thêm piano hoặc acoustic nữa thì sẽ là hoàn hảo. Menu hơi ít món đặc sản địa phương, giá hơi cao, nhưng tính ra vẫn ok khi chất lượng và dịch vụ rất tốt ,- Nhân viên rất nhiệt tình và thân thiện. Luôn hỗ trợ khách hàng tốt nhất có thể.,- Bãi biển đẹp và sạch, không gian, thiên nhiên trong lành, rất tốt cho việc nghỉ dưỡng.,Lời khuyên: nếu như không quan tâm nhiều đến tiện nghi (điều hòa, tủ lạnh, tivi...), thì đây sẽ là địa điểm lý tưởng cho các cặp đôi. ,Góp ý cho Resort: ,- Sẽ là tốt hơn nếu menu nhà hàng có thêm một vài món ăn dinh dưỡng (cho người lớn tuổi - cho bà bầu hoặc trẻ em). ,- Nếu có thêm chương trình piano hay acoustic buồi tối ở nhà hàng nữa thì sẽ thích hơn. (do resort ở xa thi trấn, nên tối chỉ có thể ở resort, hơi buồn).", tháng 6 năm 2016,
