name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Alolove Nguyễn,Life's a Beach,5,"Ngoại ô Quy Nhơn có 1 khu nghỉ ngơi dịp cuối tuần được rất nhiều du khách ưa thích đó là Life's A Beach. Bạn phải đi xe ra khỏi Quy Nhơn 10 km về hướng nam theo đường đi Phú Yên. Tới làng chài Ghềnh Ráng bạn đi vào khu dân cư dẫn lối ra biển và đến được chỗ này. Nhìn chung Life's A Beach rất đẹp và lãng mạn, nhất là không gian về đêm. Đồ ăn và thức uống vừa phải. Thích nhất là sinh tố chuối thơm và ngon.", tháng 6 năm 2018,
Alex G,Life's a Beach,5,, tháng 1 năm 2019,Đã du lịch với gia đình
hachauhealthyshop,Tu Casa Hostel,5,, tháng 10 năm 2018,Đã du lịch một mình
Minh,Life's a Beach,2,, tháng 2 năm 2019,Đã du lịch với gia đình
pgregberry,Life's a Beach,5,, tháng 1 năm 2019,Đã du lịch theo đôi
Phương N,Tu Casa Hostel,5,, tháng 9 năm 2018,Đã du lịch với bạn bè
Bene M,Tu Casa Hostel,5,, tháng 11 năm 2018,Đã du lịch một mình
Solshan,Life's a Beach,5,, tháng 12 năm 2018,
spintp,Tu Casa Hostel,5,, tháng 9 năm 2018,Đã du lịch một mình
kilianayello,Tu Casa Hostel,5,, tháng 10 năm 2018,
Hao T,Anantara Quy Nhon Villas,5,, tháng 1 năm 2019,
Departure02997543962,Anantara Quy Nhon Villas,3,"Dich Vu da Khong tuong xung voi Gia tri cua ten : Anantara Quy Nhon.Anantara Quy Nhon co Vi tri rat dep , Nhung cac dich Vu chua hap dan. Dac biet bua an sang qua te.Can co nhieu dich Vu giai tri ve giai tri o Bien va kham Pha Nui ", tháng 2 năm 2019,
Vince123,Anantara Quy Nhon Villas,5,, tháng 1 năm 2019,
Tung N,Anantara Quy Nhon Villas,5,"rất hài lòng với dịch vụ và chất lượng của villa, đặc biệt là bể bơi. Phòng ốc sạch sẽ, đội ngũ nhân viên vui vẻ nhiệt tình. View rất đẹp ra biển. Giá phòng hợp lý. Sẽ quay trở lại trong thời gian tới. ", tháng 4 năm 2019,
nhocpoca,Casa Marina Resort,4,Đi đến Quy Nhơn một ngày đẹp trời và có những trải nghiệm vui vẻ. Chỉ tiếc 1 điều bữa đó sóng lớn nên bị lật thuyền không đi được Kayak. Nhân viên thuyền nên chú ý hơn để cảnh báo  khách an toàn trước trời sóng lớn. , tháng 10 năm 2018,Đã du lịch với bạn bè
Football19,Anantara Quy Nhon Villas,5,, tháng 2 năm 2019,Đã du lịch theo đôi
PhilTritton,Haven Vietnam,5,, tháng 4 năm 2019,Đã du lịch theo đôi
Eleanor_Matt,Haven Vietnam,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Trần Xuân M,Casa Marina Resort,5,"Lần đầu tiên đánh giá về chất lượng của một khu resort. Mình đã đi rất nhiều nơi và dịch vụ cũng tốt nhưng mà khi mình đến nơi này thì đôi khi có một số thiếu sót không thể tránh khỏi. Nhưng mình đánh giá rất cao về các bạn/anh/chị ở nơi đây rất nhiệt tình, vui vẻ....", tháng 8 năm 2018,Đã du lịch khi công tác
Minhtran2011,AVANI Quy Nhơn Resort & Spa,5,"Tôi và những người bạn đã có kì nghỉ tuyệt vời ở Avani resort and Spa. Resort có phong cách tối giản, gần gũi với thiên nhiên. Nhà hàng view biển, không khí trong lành tuyệt vời. Đồ ăn local rất ngon ( bún cá quy nhơn).,GM ( Mr Hieu) và nhân viên vô cùng thân thiện và chuyên nghiệp. ,Local land tour thực sự là một trải nghiệm tuyệt vời. Cảm ơn Avani team, chúng tôi sẽ nhất định quay trở lại.", tháng 9 năm 2018,Đã du lịch với bạn bè
Carllos L,Haven Vietnam,2,, tháng 1 năm 2019,Đã du lịch theo đôi
Henry Nguyễn,AVANI Quy Nhơn Resort & Spa,1,"Nghe tin anh Khoa nỗi tiếng là đc giải đáp án,Sau 3 tháng hơn vẫn chưa đc 1 lần nghe phản hồi từ khách sạn này,Ngày 9/1/2019 tôi tên Henry cùng đoàn tới Ks này.,Ks chuẩn 4 sao ngay từ khi đến nơi tôi đã ko thiện cảm.,Dẫu gọi đt báo trước nhưng đến nơi tôi và bạn tôi vẫn phải đi bộ từ đầu đường đi xuống tới sảnh khách sạn để nhận phòng.,Do ko thích phòng có số 214 nên tôi đã yêu cầu đổi phòng 213 do phòng đó hiện còn trống và cùng loại phòng với tôi.,Nhân viên Lễ Tân chấp nhận đổi và báo lại đợi dọn phòng xong lúc đó là 4h chiều.,Đến chiều khi bước ra khỏi phòng để ra ngoài ăn tối bạn đó lại hẹn tiếp tục lần 2 là đợi ăn về sẽ đổi.,Đến 8h tối về lại ks thì bạn ấy lại hẹn lần 3 là sáng mai khi ăn sáng xong thì sẽ đổi phòng.,6h20 sáng ăn đến 8h để ra ngoài thì vẫn lễ tân đó kêu phòng chưa xong nên tôi hỏi rõ thì kêu phòng chưa dọn xong trong 2 ngày nên tôi mới kêu chuyển đồ qua phòng bên và tự tay tôi khiên đồ qua.,Rất là khó chịu và có yêu cầu gặp Quản Lý nhưng ko đc.,Đó là vào ngày 10/1.,Đến ngày 11/1 tôi làm trước thủ tục cho 6 phòng còn lại thi bên ks kêu quy định bắt buộc là phải đưa đủ giấy tơ tuỳ thân của tất cả mọi người và ko cho phép đc bảo lãnh cho dù các ks 5 sao khác đều ko có yêu câu này.,Tôi yêu cầu găp quản lý thì bạn đó nói 7h30 quản lý mới đến và tôi đợi tới tối vẫn ko có ai.,Tôi cũng ngậm ngùi đồng ý và kêu ghi tên trước đoàn tới đưa đủ từng giấy tờ thì khách sạn mới chịu.,Đến 5h chiều đoàn đến thì đưa ko thiếu một giấy tờ gì.,Tiếp đo ngày 12/1/2019 một cháu nhỏ đi qua chổ bật cửa gần hồ nước cảnh bị tại nạn trật sơ mi cổ chân.,Cháu ko dám nói vì sợ la và đi cà nhắc suốt từ lúc 7h sáng đến 6h chiều thì đau quá phải đưa đi bẻ chân bó thuốc lại.,Cũng chính chổ đó tôi đã bị tai nạn chóc móng và thâm tím đầu ngón chân cái cũng tại một chô,Lúc đó mới gọi lại noi ks là việc để bật tam cấp giật xuống cùng một màu gạch làm khách đi bình thường bị tai nạn là cái bẫy chết người ks làm vậy là rất khốn nạn.,Bản thân và cháu nhỏ bị như vậy ở một nơi xa đến TP Quy Nhơn du lịch mà chân bị đau cả đoàn phải buồn về tới nơi còn bị gia đình trách mắng.,Khi nghe tới đây thì nhân viên lễ tân mắng tôi là người vô học và kêu nếu ko thích thì đâu cần ở đây đi khách sạn khác ở.,Tôi nói sẽ về ks xử lý và yêu cầu gặp quản lý.,Về tôi nói cách nào hay cố tình kêu cho công an đến thì ks vẫn ko cho gặp quản lý.,1 tiếng sau cho thằng nào làm bếp nói giả là đại diện khách sạn giải quyết với quần áo lếch thếch nên tôi bỏ về phòng. Có chụp hình bên dưới.,Một ks view đẹp.,Phòng hơi cũ và đon giản.,Giá thì mắc và ko đáng với giá trị của đồng tiền.,Rất vắng khách hầu như chỉ có mấy khách nước ngoài ở.,Hồ bơi thì ko có nên phải bơi nhờ bên cạnh cũng thuộc cty của ks này.,Và khi bơi phải giữ trật tự ko đc ồn ào.,......,0968693333 nếu ban quản trị đọc đc dòng này có thể liên hệ để biết rõ.", tháng 1 năm 2019,Đã du lịch khi công tác
cobedethuong_80,AVANI Quy Nhơn Resort & Spa,4,"Resort đẹp tuy nhiên rất xa trung tâm,Ăn sáng còn chưa đa dạng,Nhà hàng chưa nhiều sự lựa chọn,Bãi biển vắng hơi hoang sơ còn chưa thực sự đẹp,Phòng rộng rãi,Bể bơi tuyệt vời,Không gần các điểm tham quan,Nhân viên thân thiện", tháng 12 năm 2018,Đã du lịch với bạn bè
Meander324995,Haven Vietnam,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Dreamer65051104125,AVANI Quy Nhơn Resort & Spa,5,"AVANI có không gian hài hòa với thiên nhiên. Có sự giao hòa giữa núi biển mây trời. Các phòng sạch sẽ yên tĩnh và thoáng mát. Nhân viên chuyên nghiệp nhẹ nhành. Từ điểm lưu trú có thể dễ dàng đến các địa điểm khác tại Quy Nhơn hay Bình Định, Phú Yên. Không gian chung resort đẹp mang lại cảm giác thư thái. Bể bơi hơi nhỏ, nước sạch, phòng gym, game hơi kín không được thoáng mát.", tháng 2 năm 2019,
Camper03432824378,AVANI Quy Nhơn Resort & Spa,5,"Đến Quy Nhơn tôi khuyên các bạn nên ở đây, vì đây là một trong những resort tốt nhất hiện tại. Trong tương lai tôi không chắc, những tôi khuyên các bạn nên chọn AVANI Quy Nhơn. Với đội ngũ nhân viên được đào tạo bài bản, tin rằng chuyến đi của các bạn sẽ giống tôi.", tháng 1 năm 2019,
Jodi R. Clausen,Life's a Beach,4,, tháng 12 năm 2018,Đã du lịch với bạn bè
Cecile2712,Life's a Beach,5,, tháng 7 năm 2018,
MariekevW,Life's a Beach,5,, tháng 7 năm 2018,Đã du lịch với gia đình
Mary-Louise R,Life's a Beach,5,, tháng 7 năm 2018,
Irentedacamper,Life's a Beach,5,, tháng 6 năm 2018,Đã du lịch với gia đình
