name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Phuong Trang,Eco Palms House,5,"Đã nghe nói Sapa mây năm ngần đây phát triển chóng mặt lượng khách đến với Sapa cục bộ vào các ngày cuối tuần, vậy nên trung tâm sapa hơi xô bồ..,   Gia đình tôi lần này đi Sapa cũng nhiều băn khoăn, ăn đâu, nghỉ đâu cho đúng chất Sapa để các con tôi và bốn người bạn từ Canada về cảm nhận được Sapa xanh tươi, hùng vỹ... mình ở thủ đô ồn ào và nhà tầng tầng, vậy mình sẽ lựa nơi yên tĩnh và gần ngũi thiên nhiên.Topas thì quá xa trung tâm sapa mà giờ đây họ cũng quá thương mại, nhìn trên ảnh Eco Palms không đẹp cho lắm nhưng rất gần thiên nhiên.. qua tuyệt rồi mà lại chỉ cách trung tâm 15 phút lái xe.,Tôi đã gọi điện trực tiếp để đặt phòng cho đoàn.. thật không may cho tôi Eco Palms House chỉ còn 1 bungalow riêng duy nhất và 1 nhà ở chung. Vậy là tôi chỉ đặt được 1 bungalow và 4 chỗ trên nhà chung. Đường từ chung tâm hiện giờ đang sửa phải đi chầm chút... Khi đến được Eco Palms thực sự là đáng giá và đáng tiền. Khu nhà chung là nhà sàn cổ được thiết kế và trang chí rất hoàn mỹ theo phòng cách mộc mạc hiếm có. So với hình ảnh trên internet thì thực tế đẹp hơn rất nhiều. Bungalow riêng quá tuyệt, yên tĩnh, riêng tư, thiết kế đẹp theo tự nhiên. 4 người bạn tôi ở trên phòng chung cũng rất tuyệt sạch sẽ, đủ ấm, trải nghiệm cuộc sống chậm lại., Đồ ăn nơi đây quá ngon và tươi, có các món được kết hợp thực phẩm địa phương nhưng chế biến Âu ăn rất ngon, đoàn chúng tôi ở đây 3 ngày thì cả ba bữa tối đều ăn ở đây . Spa massage phong cách làm rất tốt. ,Cám ơn Bạn Nam và các bạn phục vụ ở đây rất nhiệt tình mà mộc mạc như cái tên của Eco, Hai con của tôi được trải nghiệm và không muốn về vì chúng rất thích các chú mèo và chó.,Chúng tôi sẽ quay lại mùa hè sáng năm,", tháng 1 năm 2019,
RM56M,Sapa Local House,4,, tháng 7 năm 2018,Đã du lịch theo đôi
Sherpa28947202574,Eco Palms House,5,"Phải nói tìm và lựa chọn cho kỳ nghỉ nhà mình cũng tôn rất nhiều thời gian, những lần trước khi đi sapa mình hay đặt khách sạn tại thị trấn, nhưng sapa giờ khác trước ồn ào, bụi bặm, mình ở thành phố đi nghỉ ngơi chỉ muốn tìm chỗ nào đẹp,sạch,dịch vụ tốt là tuyệt rồi.,Rất may mắn lần này tìm đc Eco Palms rất mộc mạc, thơ mộng, phòng sạch se , đồ ăn ngon, gia chủ và nhân viên rất thân thiện, thực phẩm rau sạch từ vườn nhà rất tươi!!,_ Lần sau quay lại sapa nhất định phải đặt trước ở đây.", tháng 11 năm 2018,Đã du lịch với gia đình
WeiLynn,Sapa Local House,5,, tháng 11 năm 2018,
DominiqueBee,Sapa Local House,5,, tháng 2 năm 2019,Đã du lịch theo đôi
Anna Suaa,Eco Palms House,5,"Đi du lịch hay cuộc đời là những chuyến đi, nhưng không phải lúc nào đi cũng tìm được điểm nghỉ ngơi  chất mà mình yêu mến và có ý nghĩa.,  Với gia đình mình đi du lịch nước ngoài và cũng đã ở rất nhiều khách sạn đẳng cấp, nhưng không mang lại nhiêu ấn tượng.,Lần này đến Sapa qua bạn bè giới thiệu tôi đã tìm và đặt được Bungalow riêng ở Eco Palms House..ở đây cách trung tâm không xa, đủ yên tĩnh và để thưởng ngoạn cảnh đẹp. Khi đến check in nhìn bao quát chúng mới thấy được cái Tâm và Tầm yêu nghề của gia chủ, khu nghỉ dướng không quá lớn, mộc mạc để mình cảm nhận cuộc sống chậm lại...,   ,Điều thích nhất ở đây là yên bình. cả khu chỉ có 8 Bungalow riêng, 1 khu sapa, một nhà chính là nhà hàng. khách ở đây chủ yêu là khách nước ngoài số lượng khách vừa đủ để mình có sự yên tĩnh và riêng tư. Đặc biết thiết kế của Eco Palms rất tuyệt, bạn cảm nhận được Sapa thiên nhiên hùng vỹ, mây trời bay ngay trước mặt mà vẫn rất văn minh và sang trọng. Từng chi tiết đều rất tỷ mỷ rất có gout thẩm mỹ. Mọi thứ ở đây đều hướng tới một chuyền thông du lịch bảo vệ môi trường y như cai tên Eco của nó. Những đồ dùng bằng nhựa gần như không thấy bóng dáng ở đây. ,Chúng ta cần gì hơn cho kỳ nghỉ dưỡng, ở đây đều có nhân viên và gia chủ rất nhiệt tình và thân thiện.,Cảm ơn các bạn nơi đây mình và bạn bè sẽ quay lại một ngày ngần nhất.", tháng 1 năm 2019,
thliing,Eco Palms House,5,"Phòng nhỏ xinh và được trang trí theo bản sắc của từng dân tộc. Phòng sạch sẽ, nhưng đầy đủ tiện nghi và có được không gian riêng. Sáng sớm có thể ăn sáng, uống trà và ngắm cảnh núi rừng, đây là một trải nghiệm rất thú vị. Đồ ăn chỉ ở mức  trung, có lẽ do không hợp khẩu vị.,Ở đây không có wifi (ngoài khu vực nhà chung) để mọi người có thể nghỉ ngơi đúng nghĩa. ,Các em chó rất dễ thương và thân thiện. Đây là lý do khiến mình muốn quay lại đây nhất :))", tháng 1 năm 2018,
Emma W,Sapa Local House,5,"Mình và anh bạn thân đã có ngày nghỉ tuyệt vời tại Sapa. Rất cảm ơn chú Thanh và gia đình, mọi người rất tốt bụng và thân thiện ạ. Phòng mình ở rất thoáng và sạch sẽ. Nhà nghỉ không ở gần khu thị trấn nên không gian yên tĩnh, điều mà mình rất thích. Đối với các bạn đang tìm nhà nghỉ tại Sapa, thực sự highly recommend với m.n", tháng 6 năm 2018,
Excursion44003023401,Eco Palms House,5,"Khi quyết định đi nghỉ dưỡng ở Sapa gia đình mình đã mất rất nhiều thời gian để tìm kiếm khu nghỉ, vì mình đi Sapa rất nhiều rồi, ở trung tâm thị trấn bây giờ ồn ào và bùi bặm như thành phố. Mình rất may đã tìm được khu nghỉ rất ưng ý, cách trung tâm không quá xa, đi về thung lũng mường hoa đó là Eco Palms House tất cả các Bungalow view tuyệt đẹp lằm trên giường ngắm mây bay, suối Mường Hoa. Nhân viên ở đây rất nhiệt tình, thân thiên, đồ ăn rất ngon, có cả khu Spa, tắm lá thuốc. Bạn cần gì hơn cho một kỳ nghỉ để tái tạo sức khoẻ,Cám ơn Anh chị chủ của Eco và các bạn nhân viên nơi đây,! Có dịp mình nhất định quay lại", tháng 10 năm 2018,Đã du lịch với gia đình
Kenji T,Sapa Local House,5,, tháng 2 năm 2018,Đã du lịch với gia đình
