name_author_comment,name_hotel,rating,content_comments,stay_date,trip_category
Minh N,Vinh Plaza Hotel,5,"Từ Hà Nội về đến Vinh vào đêm muộn và quyết định nghỉ lại KS này vì nằm ngay trên QL1 và bãi đậu xe thuận tiện. Ấn tượng đầu tiên là thái độ phục vụ thân thiện và nhiệt tình của nhân viên tiếp đón mặc dù đã rất khuya. Nhà hàng không phục vụ ăn đêm nhưng bù lại dịch vụ ship hàng theo yêu cầu cũng đáp ứng rất nhanh chóng và ngon miệng, phục vụ tận phòng.,Đặc biệt vị trí của KS rất thuận tiện để thăm và làm việc với các đối tác.,Đánh giá tốt và sẽ quay lại trong lần công tác tới.", tháng 7 năm 2017,
thatswhy2017,Vinh Plaza Hotel,5,"Tôi thấy giao thông khá thuận lợi, ăn uống hợp khẩu vị, bãi đậu xe rộng rãi thoáng mát. Nhiều hội trường lớn nhỏ khác nhau thích hợp cho tiệc cưới, hội nghị khách hàng và tổ chức các sự kiện lớn. Nhân viên nhiệt tình, thân thiện, đặc biệt là nhân viên lễ tân khách sạn.", tháng 5 năm 2017,Đã du lịch khi công tác
ilovetravel_91,Avatar Hotel,4,"Đây là một khách sạn đẹp nằm gần trung tâm thành phố. Phòng sạch sẽ, nhân viên thân thiện và nhiệt tình. Bữa sáng ngon, nhưng không có nhiều sự lựa chọn. Vào ban đêm chúng tôi có cơ hội thưởng thức một trong những đặc sản của Nghệ An, đó là cháo lươn. Nó thực sự ngon!",,
Rin N,Vinh Plaza Hotel,5,Giá phòng khá hợp lý so với cơ sở vật chất của khách sạn. Buffet sáng tuy không quá đa dạng nhưng cũng khá ổn. Nhân viên thân thiện và khách không quá đông nên phục vụ cũng thân thiện. Nhìn chung đây là một khách sạn khá tốt nếu cả gia đình cùng đi du lịch, tháng 8 năm 2016,
baongoc18591,Vinh Plaza Hotel,5,"Phòng ốc sạch sẽ, thoáng đãng, đồ đạc mới. Nhân viên thân thiện. Hồ bơi hơi bé và nước hồ bơi chưa thực sự sạch nhưng vẫn có thể chấp nhận được. Bữa sáng buffet khá ngon, nhiều món nhưng ko thường xuyên đổi món. Nhìn chung chất lượng rất tốt so với giá tiền", tháng 6 năm 2017,Đã du lịch khi công tác
Nam Phuc N,Mường Thanh Vinh Hotel,3,"Khách sạn ở gần ga Vinh. Dịch vụ cho khách khá tốt. Bố trí thiết bị điện kém, nước tắm trong khu vệ sinh rất yếu, không sử dụng được bồn tắm mặc dù đượcbtrang bị. Sử dụng điều hoà rẻ tiền có thương hiệu Hanel, kêu tương đối to. Giá cả tương đối cao so với giá trị nhận được.", tháng 10 năm 2015,Đã du lịch khi công tác
Tranmanhchung,Mường Thanh Vinh Hotel,3,"Do sai lầm không tìm hiểu kỹ rằng ngay trong thành phố Vinh cũng có tới 4 cái Khách sạn Mường Thanh nên mình đã book nhầm ngay cái Mường Thanh Vinh. Có lẽ đây là cái đầu tiên mà anh Thản xây dựng ở Vinh, nó chỉ 3 sao. Mặc dù ở vị trí ngay ga tầu hỏa, cũng khá thuận tiện cho khách, nhưng khách sạn đã xuống cấp khá nhiều. Thái độ dịch vụ nói chung là ổn, nhưng giá cả như hiện nay là khá cao so với điều kiện hiện nay, khi khách sạn đang trong giai đoạn nâng cấp. Có khá nhiều bất tiện hiện nay.", tháng 9 năm 2016,
Pankaj_Joshi,Vinh Plaza Hotel,5,, tháng 2 năm 2017,Đã du lịch khi công tác
Parttimepenguin,Mường Thanh Vinh Hotel,4,, tháng 11 năm 2018,Đã du lịch với gia đình
Tanya H,Mường Thanh Vinh Hotel,4,, tháng 7 năm 2018,Đã du lịch với gia đình
surfdogs88,Thanh Dat Guesthouse,4,, tháng 2 năm 2018,
Idris D,Mường Thanh Vinh Hotel,4,, tháng 12 năm 2017,Đã du lịch với bạn bè
Daniel C,Thanh Dat Guesthouse,3,, tháng 1 năm 2019,Đã du lịch theo đôi
gilly0987654321,Thanh Dat Guesthouse,5,, tháng 3 năm 2018,
Rico,Thanh Dat Guesthouse,5,, tháng 11 năm 2017,
jaypep1,Thanh Dat Guesthouse,4,, tháng 1 năm 2018,Đã du lịch một mình
Langbam,Khách Sạn Mường Thanh Grand Cửa Đông,5,"Khi làm việc với khách sạn, bản thân tôi khá ấn tượng với cách giao tiếp của nhân viên nơi đây, khá thân thiện và nhiệt tình.,Phòng đẹp, ăn sáng hơi đơn giản. Giá cả phải chăng. Nếu có hồ bơi nữa sẽ tuyệt vời hơn nhiều.", tháng 12 năm 2017,Đã du lịch với bạn bè
ARMY,Khách Sạn Mường Thanh Grand Cửa Đông,4,"Đã đến Cửa Lò và Chọn Mường Thanh là nơi nghỉ chân của mình và gia đình.Không có gì để chê về chất lượng và dịch vụ của khách sạn.1 nơi đáng ở khi đến Cửa Lò.,Mình và gia đình đã có khoảng thời gian nghỉ dưỡng tuyệt với tại đây.Phòng ốc sạch sẽ sang trọng, có nhiều mức giá và các loại phòng cho bạn lựa chọn.Chất lượng khỏi chê.1000LIKE", tháng 6 năm 2018,
nguyenthithuylin2018,Khách Sạn Mường Thanh Grand Cửa Đông,5,"trong một chuyến đi chơi xa,tôi được một người bạn tại địa phương giới thiệu cho biết đến khách sạn.Sau những trải nghiệm tại khách sạn thì tôi thấy khách sạn rất  tuyệt vời, phòng nghỉ thì sạch sẽ thoáng mát, thái độ nhân viên phục vụ rất thân thiện,nhiệt tình, bữa ăn sáng thì đa dạng phong phú đặc biệt có đồ uống coffe nguyên chất rất là ngon. Khách sạn gần trung tâm thành phố nên thuận tiện cho mọi hoạt động vui chơi giải trí,mua sắm, tham quan du lịch.Vào ban đêm,từ trên phòng nhìn xuống cảnh vật lung linh ánh đèn tạo cho con người cảm giác thư giãn,thoải mái.", tháng 2 năm 2018,
Hoanghongloan,Khách Sạn Mường Thanh Grand Cửa Đông,5,"Khách sạn có view đẹp và sang trọng!,Có bữa sáng miễn phí!,Một toà cao tầng với nhiều dịch vụ phục vụ cho du khách đến tham quan thành phố Vinh! , Khách sạn được trang bị các thiết bị hiện đại ! ,Rất tuyệt vời!", tháng 8 năm 2017,Đã du lịch với gia đình
Hoanghongloan,Khách Sạn Mường Thanh Grand Cửa Đông,5,"Tôi đã ở đây 3 đêm tại phòng 710 từ ngày 3/8 đến ngày 6/8,Khách sạn gần trung tâm tp , có view đẹp nhìn bao quát thành phố! Nhân viên rất dec thương! ,Bữa ăn sáng rất phong phú và ngon , nhiều món đặc sản!,Nội thất xinh xắn, sạch sẽ , hiện đại! ,Ấn tượng kiểu thiết kế độc đáo!,Nhân viên rất chu đáo , ân cần và lịch sự.,Lần sau về tôi sẽ đến nghỉ tiếp ở đây!,Cảm ơn các bạn nhân viên !", tháng 8 năm 2017,Đã du lịch với gia đình
Dung Phan,Khu Nghỉ Dưỡng Vinpearl Discovery Cửa Hội,5,"phòng sạch, tiên nghi đầy đủ, có hồ bơi, view cực đẹp. Lễ tân niềm nở,chất lượng dịch vụ tốt. Tuy nhiên bãi đỗ xe dưới trời nắng nóng. Thực đơn ăn cho trẻ em chưa phong phú. Về tổng thể thì cũng là 1 nơi để dừng chân", tháng 1 năm 2019,
